frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
1003,3.013915,2,6000.0000,-1000.0000,90.0000,19.7798,8.6890,7.6991,1,1
1004,3.028179,2,6000.0000,-1000.0000,90.0000,19.7791,8.6843,7.6971,1,1
1005,3.428179,2,6000.0000,-1000.0000,90.0000,19.7563,8.6675,7.6900,1,1
1006,3.435439,2,6000.0000,-1000.0000,90.0000,19.7537,8.6692,7.6894,1,1
1007,3.440801,2,6000.0000,-1000.0000,90.0000,19.7534,8.6707,7.6892,1,1
1008,3.451706,2,6000.0000,-1000.0000,90.0000,19.7526,8.6739,7.6887,1,1
1009,3.465140,2,6000.0000,-1000.0000,90.0000,19.7517,8.6778,7.6881,1,1
1010,3.477798,2,6000.0000,-1000.0000,90.0000,19.7545,8.6796,7.6885,1,1
1011,3.490413,2,6000.0000,-1000.0000,90.0000,19.7578,8.6811,7.6891,1,1
1012,3.503178,2,6000.0000,-1000.0000,90.0000,19.7613,8.6813,7.6899,1,1
1013,3.515173,2,6000.0000,-1000.0000,90.0000,19.7650,8.6777,7.6914,1,1
1014,3.527653,2,6000.0000,-1000.0000,90.0000,19.7688,8.6741,7.6930,1,1
1015,3.540452,2,6000.0000,-1000.0000,90.0000,19.7704,8.6713,7.6946,1,1
1016,3.552700,2,6000.0000,-1000.0000,90.0000,19.7700,8.6695,7.6962,1,1
1017,3.563646,2,6000.0000,-1000.0000,90.0000,19.7697,8.6679,7.6976,1,1
1018,3.575946,2,6000.0000,-1000.0000,90.0000,19.7722,8.6690,7.6987,1,1
1019,3.588374,2,6000.0000,-1000.0000,90.0000,19.7757,8.6712,7.6997,1,1
1020,3.601045,2,6000.0000,-1000.0000,90.0000,19.7792,8.6733,7.7008,1,1
1021,3.616078,2,6000.0000,-1000.0000,90.0000,19.7826,8.6758,7.7019,1,1
1022,3.629147,2,6000.0000,-1000.0000,90.0000,19.7854,8.6780,7.7030,1,1
1023,3.641163,2,6000.0000,-1000.0000,90.0000,19.7884,8.6779,7.7045,1,1
