frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
1091,3.010267,2,6000.0000,-1000.0000,90.0000,19.7799,8.6902,7.6997,1,1
1092,3.023616,2,6000.0000,-1000.0000,90.0000,19.7793,8.6858,7.6977,1,1
1093,3.423616,2,6000.0000,-1000.0000,90.0000,19.7585,8.6666,7.6905,1,1
1094,3.431059,2,6000.0000,-1000.0000,90.0000,19.7549,8.6681,7.6897,1,1
1095,3.436268,2,6000.0000,-1000.0000,90.0000,19.7537,8.6694,7.6894,1,1
1096,3.448679,2,6000.0000,-1000.0000,90.0000,19.7528,8.6730,7.6888,1,1
1097,3.461165,2,6000.0000,-1000.0000,90.0000,19.7520,8.6767,7.6882,1,1
1098,3.474506,2,6000.0000,-1000.0000,90.0000,19.7537,8.6792,7.6884,1,1
1099,3.486468,2,6000.0000,-1000.0000,90.0000,19.7568,8.6806,7.6889,1,1
1100,3.500214,2,6000.0000,-1000.0000,90.0000,19.7604,8.6822,7.6896,1,1
1101,3.513368,2,6000.0000,-1000.0000,90.0000,19.7644,8.6783,7.6912,1,1
1102,3.525828,2,6000.0000,-1000.0000,90.0000,19.7683,8.6746,7.6928,1,1
1103,3.538499,2,6000.0000,-1000.0000,90.0000,19.7704,8.6716,7.6944,1,1
1104,3.550722,2,6000.0000,-1000.0000,90.0000,19.7701,8.6698,7.6959,1,1
1105,3.562870,2,6000.0000,-1000.0000,90.0000,19.7697,8.6680,7.6975,1,1
1106,3.575518,2,6000.0000,-1000.0000,90.0000,19.7721,8.6690,7.6987,1,1
1107,3.588593,2,6000.0000,-1000.0000,90.0000,19.7758,8.6712,7.6997,1,1
1108,3.600790,2,6000.0000,-1000.0000,90.0000,19.7792,8.6733,7.7007,1,1
1109,3.613531,2,6000.0000,-1000.0000,90.0000,19.7820,8.6754,7.7017,1,1
1110,3.625035,2,6000.0000,-1000.0000,90.0000,19.7845,8.6773,7.7026,1,1
1111,3.637886,2,6000.0000,-1000.0000,90.0000,19.7875,8.6782,7.7040,1,1
1112,3.650433,2,6000.0000,-1000.0000,90.0000,19.7908,8.6770,7.7060,1,1
1113,3.662970,2,6000.0000,-1000.0000,90.0000,19.7940,8.6757,7.7080,1,1
1114,3.675309,2,6000.0000,-1000.0000,90.0000,19.7945,8.6742,7.7094,1,1
1115,3.688159,2,6000.0000,-1000.0000,90.0000,19.7940,8.6724,7.7107,1,1
1116,3.700668,2,6000.0000,-1000.0000,90.0000,19.7933,8.6708,7.7118,1,1
1117,3.713389,2,6000.0000,-1000.0000,90.0000,19.7902,8.6708,7.7114,1,1
1118,3.725710,2,6000.0000,-1000.0000,90.0000,19.7872,8.6708,7.7110,1,1
1119,3.737858,2,6000.0000,-1000.0000,90.0000,19.7865,8.6706,7.7106,1,1
1120,3.749823,2,6000.0000,-1000.0000,90.0000,19.7897,8.6701,7.7102,1,1
1121,3.762662,2,6000.0000,-1000.0000,90.0000,19.7931,8.6695,7.7096,1,1
1122,3.775228,2,6000.0000,-1000.0000,90.0000,19.7958,8.6680,7.7092,1,1
1123,3.787538,2,6000.0000,-1000.0000,90.0000,19.7982,8.6659,7.7088,1,1
1124,3.800581,2,6000.0000,-1000.0000,90.0000,19.8006,8.6640,7.7085,1,1
1125,3.813312,2,6000.0000,-1000.0000,90.0000,19.8012,8.6658,7.7091,1,1
1126,3.827626,2,6000.0000,-1000.0000,90.0000,19.8019,8.6679,7.7097,1,1
1127,3.840540,2,6000.0000,-1000.0000,90.0000,19.8023,8.6689,7.7099,1,1
1128,3.854021,2,6000.0000,-1000.0000,90.0000,19.8025,8.6691,7.7097,1,1
1129,3.866531,2,6000.0000,-1000.0000,90.0000,19.8028,8.6693,7.7096,1,1
1130,3.878799,2,6000.0000,-1000.0000,90.0000,19.7996,8.6708,7.7080,1,1
1131,3.891888,2,6000.0000,-1000.0000,90.0000,19.7961,8.6725,7.7063,1,1
1132,3.904480,2,6000.0000,-1000.0000,90.0000,19.7935,8.6741,7.7051,1,1
1133,3.918013,2,6000.0000,-1000.0000,90.0000,19.7922,8.6759,7.7046,1,1
1134,3.929840,2,6000.0000,-1000.0000,90.0000,19.7911,8.6775,7.7042,1,1
1135,3.942630,2,6000.0000,-1000.0000,90.0000,19.7887,8.6774,7.7034,1,1
1136,3.954709,2,6000.0000,-1000.0000,90.0000,19.7862,8.6765,7.7026,1,1
1137,3.966618,2,6000.0000,-1000.0000,90.0000,19.7836,8.6757,7.7018,1,1
1138,3.979912,2,6000.0000,-1000.0000,90.0000,19.7840,8.6770,7.7001,1,1
