name,frame,sim_time,yaw
static_000,1348,7.037360,0.000000
static_001,1350,7.450339,0.000000
static_002,1352,7.603155,0.000000
static_003,1354,7.759185,0.000000
static_004,1356,7.914599,0.000000
static_005,1358,8.071977,0.000000
static_006,1360,8.226737,0.000000
static_007,1362,8.377574,0.000000
static_008,1365,8.534315,0.000000
static_009,1367,8.689404,0.000000
pan_000,1824,14.731387,-24.830789
pan_001,1826,14.924979,-22.410885
pan_002,1828,15.092182,-20.320858
pan_003,1830,15.247361,-18.381118
pan_004,1832,15.393841,-16.550112
pan_005,1834,15.540200,-14.720631
pan_006,1836,15.689831,-12.850244
pan_007,1838,15.836921,-11.011614
pan_008,1840,15.989062,-9.109856
pan_009,1842,16.137347,-7.256294
pan_010,1844,16.290891,-5.336993
pan_011,1846,16.445923,-3.399094
pan_012,1848,16.598061,-1.497364
pan_013,1850,16.749644,0.397419
pan_014,1852,16.899233,2.267283
pan_015,1854,17.051071,4.165255
pan_016,1856,17.199834,6.024793
pan_017,1858,17.354238,7.954840
pan_018,1860,17.509474,9.895297
pan_019,1862,17.659099,11.765603
pan_020,1864,17.814273,13.705278
pan_021,1866,17.964700,15.585617
pan_022,1868,18.119617,17.522083
pan_023,1870,18.272376,19.431576
pan_024,1872,18.423216,21.317069
pan_025,1874,18.575391,23.219253
pan_026,1876,18.724884,25.000000
pan_027,1878,18.874964,25.000000
pan_028,1880,19.026367,25.000000
pan_029,1882,19.177913,25.000000
pan_030,1884,19.328376,25.000000
pan_031,1886,19.478027,25.000000
walk_end,2043,21.497272,0.000000
