name,frame,sim_time,yaw
static_000,1175,7.034279,0.000000
static_001,1177,7.444984,0.000000
static_002,1179,7.615409,0.000000
static_003,1181,7.775263,0.000000
static_004,1183,7.935579,0.000000
static_005,1185,8.107659,0.000000
static_006,1187,8.271500,0.000000
static_007,1189,8.431219,0.000000
static_008,1191,8.616821,0.000000
static_009,1193,8.775419,0.000000
pan_000,1657,14.815887,-24.827733
pan_001,1659,15.012412,-22.371178
pan_002,1661,15.175481,-20.332815
pan_003,1663,15.331030,-18.388451
pan_004,1665,15.481264,-16.510525
pan_005,1667,15.634990,-14.588946
pan_006,1669,15.794350,-12.596948
pan_007,1671,15.947081,-10.687817
pan_008,1673,16.102801,-8.741311
pan_009,1675,16.264302,-6.722543
pan_010,1677,16.455841,-4.328314
pan_011,1679,16.623716,-2.229871
pan_012,1681,16.795233,-0.085917
pan_013,1683,16.962401,2.003684
pan_014,1685,17.134887,4.159767
pan_015,1687,17.313671,6.394559
pan_016,1689,17.491122,8.612701
pan_017,1691,17.667925,10.822741
pan_018,1693,17.842405,13.003739
pan_019,1695,18.016530,15.180301
pan_020,1697,18.178646,17.206751
pan_021,1699,18.348426,19.328995
pan_022,1701,18.508870,21.334552
pan_023,1703,18.673688,23.394771
pan_024,1705,18.838456,25.000000
pan_025,1707,19.002874,25.000000
pan_026,1709,19.167719,25.000000
pan_027,1711,19.332013,25.000000
pan_028,1713,19.497830,25.000000
pan_029,1715,19.665966,25.000000
pan_030,1717,19.831998,25.000000
pan_031,1719,20.024075,25.000000
walk_end,1857,22.041796,0.000000
