name,frame,sim_time,yaw
static_000,17776,7.035527,0.000000
static_001,17778,7.210629,0.000000
static_002,17780,7.381105,0.000000
static_003,17782,7.550406,0.000000
static_004,17784,7.720358,0.000000
static_005,17786,7.889150,0.000000
static_006,17788,8.061657,0.000000
static_007,17790,8.263138,0.000000
static_008,17792,8.431684,0.000000
static_009,17794,8.600484,0.000000
pan_000,18304,14.623665,-24.868822
pan_001,18306,14.822451,-22.383999
pan_002,18308,14.994909,-20.228276
pan_003,18310,15.164364,-18.110093
pan_004,18312,15.334603,-15.982094
pan_005,18314,15.532767,-13.505053
pan_006,18316,15.699446,-11.421566
pan_007,18318,15.894199,-8.987154
pan_008,18320,16.060628,-6.906786
pan_009,18322,16.225979,-4.839899
pan_010,18324,16.392452,-2.758985
pan_011,18326,16.559277,-0.673675
pan_012,18328,16.761359,1.852350
pan_013,18330,16.933632,4.005762
pan_014,18332,17.106724,6.169417
pan_015,18334,17.283495,8.379045
pan_016,18336,17.461468,10.603709
pan_017,18338,17.640279,12.838848
pan_018,18340,17.817309,15.051723
pan_019,18342,17.993996,17.260312
pan_020,18344,18.244227,20.388194
pan_021,18346,18.415133,22.524525
pan_022,18348,18.586553,24.667270
pan_023,18350,18.759450,25.000000
pan_024,18352,18.930718,25.000000
pan_025,18354,19.131807,25.000000
pan_026,18356,19.329536,25.000000
pan_027,18358,19.527776,25.000000
pan_028,18360,19.729160,25.000000
pan_029,18362,19.932534,25.000000
pan_030,18364,20.143397,25.000000
pan_031,18366,20.324693,25.000000
walk_end,18530,22.331675,0.000000
