render_tick,elapsed_seconds,file_cache,automatic
0,0.025343016,0,1018
1,0.050727291,0,1003
2,0.071411621,0,992
3,0.502388114,0,5469
4,0.510346054,0,5462
5,0.523743778,0,5455
6,0.542793570,0,5434
7,0.570383475,0,5415
8,0.589362626,0,5403
9,0.606534556,0,5396
10,0.623606383,0,5388
11,0.639512204,0,5387
12,0.657476320,0,5383
13,0.674442055,0,5383
14,0.692665399,0,5372
15,0.710539965,0,5371
16,0.732174045,0,5377
17,0.747149524,0,5377
18,0.762759119,0,5374
19,0.778644519,0,5364
20,0.796557275,0,5364
21,0.814592444,0,5363
22,0.832645074,0,5351
23,0.852708139,0,5348
24,0.868934306,0,5342
25,0.886748630,0,5335
26,0.906200411,0,5307
27,0.922637664,0,5295
28,0.939695811,0,5282
29,0.957832832,0,5273
30,0.976807803,0,5258
31,0.994580455,0,5257
32,1.013573046,0,5252
33,1.030600552,0,5243
34,1.046528213,0,5240
35,1.065479283,0,5214
36,1.081456385,0,5212
37,1.098944342,0,5195
38,1.114974666,0,5194
39,1.133513716,0,5183
40,1.152293422,0,5178
41,1.171771944,0,5175
42,1.189452504,0,5174
43,1.205514338,0,5162
44,1.222539244,0,5160
45,1.240570593,0,5159
46,1.257450766,0,5159
47,1.274501993,0,5159
48,1.291354875,0,5137
49,1.308593276,0,5129
50,1.326577214,0,5122
51,1.342525895,0,5042
52,1.359528171,0,4978
53,1.376499306,0,4951
54,1.394440523,0,4945
55,1.413535706,0,4927
56,1.431526424,0,4904
57,1.449578073,0,4880
58,1.467526040,0,4862
59,1.484503325,0,4827
60,1.501476710,0,4819
61,1.518470095,0,4804
62,1.536890124,0,4788
63,1.554553813,0,4774
64,1.574291341,0,4758
65,1.591512822,0,4738
66,1.613568062,0,4718
67,1.631474308,0,4706
68,1.650427888,0,4682
69,1.667601607,0,4670
70,1.685490453,0,4658
71,1.703448900,0,4634
72,1.721728384,0,4623
73,1.742291371,0,4595
74,1.757017925,0,4574
75,1.776804473,0,4541
76,1.792849677,0,4515
77,1.810582129,0,4489
78,1.827504983,0,4469
79,1.845359218,0,4443
80,1.863529570,0,4429
81,1.883530603,0,4429
82,1.900426936,0,4429
83,1.916396679,0,4429
84,1.933590598,0,4429
85,1.954409191,0,4429
86,1.972627443,0,4429
87,1.989564698,0,4429
88,2.005598841,0,4429
89,2.021721597,0,4429
90,2.039553181,0,4429
91,2.056539866,0,4429
92,2.075591888,0,4428
93,2.093532655,0,4428
94,2.112629168,0,4428
95,2.130590255,0,4420
96,2.148587834,0,4420
97,2.169646511,0,4420
98,2.186538594,0,4419
99,2.202524447,0,4419
100,2.221551538,0,4417
101,2.239707120,0,4415
102,2.260572363,0,4407
103,2.276590396,0,4403
104,2.293688804,0,4399
105,2.311711392,0,4395
106,2.328522794,0,4388
107,2.346567253,0,4380
108,2.364668033,0,4377
109,2.382521638,0,4375
110,2.401585370,0,4368
111,2.420641433,0,4366
112,2.436615455,0,4363
113,2.454543571,0,4361
114,2.472651942,0,4359
115,2.490631730,0,4356
116,2.507593324,0,4353
117,2.524542679,0,4349
118,2.543238563,0,4347
119,2.558521279,0,4343
120,2.575587336,0,4342
121,2.593600624,0,4334
122,2.610579869,0,4328
123,2.628573527,0,4316
124,2.645551702,0,4311
125,2.662518967,0,4308
126,2.681098538,0,4299
127,2.698656066,0,4291
128,2.716535742,0,4277
129,2.733532347,0,4270
130,2.750836509,0,4259
131,2.769578495,0,4254
132,2.785822893,0,4246
133,2.801559140,0,4240
134,2.821576864,0,4230
135,2.837541876,0,4226
136,2.858589563,0,4213
137,2.875600509,0,4209
138,2.891538070,0,4202
139,2.907627085,0,4196
140,2.923577876,0,4188
141,2.940749236,0,4180
142,2.957512886,0,4174
143,2.977652512,0,4161
144,2.993687076,0,4150
145,3.012548404,0,4138
146,3.030637484,0,4129
147,3.047516837,0,4126
148,3.064919791,0,4121
149,3.082704574,0,4112
150,3.099723620,0,4098
151,3.116560432,0,4088
152,3.132562365,0,4080
153,3.151545705,0,4078
154,3.168803976,0,4074
155,3.184618555,0,4073
156,3.203548145,0,4073
157,3.222582336,0,4070
158,3.239635753,0,4064
159,3.258553842,0,4057
160,3.277588203,0,4050
161,3.293630127,0,4044
162,3.310578031,0,4040
163,3.328576289,0,4036
164,3.347539559,0,4031
165,3.364579496,0,4027
166,3.381660623,0,4025
167,3.399580579,0,4021
168,3.416580845,0,4018
169,3.432625049,0,4018
170,3.450057783,0,4018
171,3.468598194,0,4018
172,3.486558632,0,4018
173,3.505596173,0,4015
174,3.536159315,0,4014
175,3.554379648,0,4012
176,3.569876680,0,4008
177,3.588798459,0,4007
178,3.605674332,0,4007
179,3.622741599,0,4002
180,3.640235735,0,4000
181,3.657823764,0,3998
182,3.674855430,0,3996
183,3.691996699,0,3993
184,3.710553459,0,3987
185,3.730103093,0,3985
186,3.748542440,0,3985
187,3.765555496,0,3985
188,3.782595012,0,3980
189,3.802572745,0,3978
190,3.819540270,0,3972
191,3.835600984,0,3968
192,3.853552321,0,3968
193,3.870477635,0,3965
194,3.888480653,0,3959
195,3.906461031,0,3956
196,3.925447781,0,3951
197,3.941685219,0,3949
198,3.959561845,0,3939
199,3.975626929,0,3932
200,3.995568701,0,3924
201,4.012569207,0,3917
202,4.028636701,0,3908
203,4.045588425,0,3899
204,4.064550655,0,3889
205,4.083839213,0,3885
206,4.099571219,0,3882
207,4.118593230,0,3881
208,4.137568511,0,3878
209,4.153636695,0,3873
210,4.171159513,0,3872
211,4.186585162,0,3866
212,4.202625926,0,3863
213,4.218564247,0,3862
214,4.236554245,0,3862
215,4.254748947,0,3856
216,4.274274050,0,3855
217,4.288728868,0,3849
218,4.306574112,0,3847
219,4.324540400,0,3845
220,4.340525562,0,3842
221,4.360568017,0,3838
222,4.378711198,0,3834
223,4.396578523,0,3830
224,4.415573414,0,3826
225,4.433694845,0,3822
226,4.451545849,0,3817
227,4.471182335,0,3809
228,4.485771875,0,3804
229,4.502769700,0,3799
230,4.520718218,0,3793
231,4.537509348,0,3788
232,4.555569278,0,3783
233,4.574161340,0,3778
234,4.591553024,0,3774
235,4.608544769,0,3771
236,4.625606206,0,3770
237,4.642615081,0,3768
238,4.660581198,0,3762
239,4.677587094,0,3759
240,4.694530508,0,3759
241,4.711481533,0,3752
242,4.729515381,0,3752
243,4.746550138,0,3748
244,4.766521770,0,3744
245,4.786632416,0,3742
246,4.805717559,0,3738
247,4.823544773,0,3733
248,4.840517648,0,3731
249,4.859538739,0,3731
250,4.876636467,0,3728
251,4.893529680,0,3723
252,4.909529763,0,3723
253,4.925539835,0,3718
254,4.941553469,0,3713
255,4.960678182,0,3710
256,4.977720948,0,3704
257,4.994548050,0,3700
258,5.011805241,0,3699
259,5.028624012,0,3697
260,5.046589750,0,3690
261,5.064572287,0,3682
262,5.081579003,0,3681
263,5.098633150,0,3679
264,5.114778045,0,3678
265,5.131549866,0,3676
266,5.150697170,0,3675
267,5.167544762,0,3675
268,5.185142640,0,3673
269,5.202605897,0,3670
270,5.218527568,0,3667
271,5.236569267,0,3659
272,5.253577122,0,3649
273,5.274292222,0,3641
274,5.292592687,0,3634
275,5.312560060,0,3626
276,5.330551608,0,3622
277,5.348817211,0,3614
278,5.365717865,0,3609
279,5.381653316,0,3607
280,5.399515131,0,3605
281,5.417576750,0,3603
282,5.434559776,0,3593
283,5.451579441,0,3589
284,5.471287878,0,3584
285,5.487607388,0,3579
286,5.505606676,0,3574
287,5.523555333,0,3568
288,5.541643033,0,3561
289,5.559699492,0,3556
290,5.600021076,0,3554
291,5.607069806,0,3550
292,5.625509224,0,3542
293,5.642564861,0,3538
294,5.660717582,0,3532
295,5.679575920,0,3527
296,5.695642764,0,3519
297,5.712515097,0,3514
298,5.730497035,0,3510
299,5.747511860,0,3508
300,5.763680027,0,3500
301,5.781551182,0,3494
302,5.799497759,0,3489
303,5.816570886,0,3487
304,5.833572511,0,3479
305,5.849692166,0,3473
306,5.865637378,0,3462
307,5.884831553,0,3454
308,5.901563122,0,3446
309,5.920617784,0,3434
310,5.939590385,0,3426
311,5.957637484,0,3419
312,5.975502459,0,3411
313,5.991622224,0,3407
314,6.007656888,0,3401
315,6.024671973,0,3400
316,6.042566039,0,3399
317,6.061619101,0,3396
318,6.078635537,0,3394
319,6.095595171,0,3391
320,6.113621580,0,3390
321,6.131034324,0,3388
322,6.148508201,0,3384
323,6.166642612,0,3381
324,6.184675011,0,3377
325,6.201683346,0,3373
326,6.220016951,0,3364
327,6.241688543,0,3345
328,6.255230949,0,3338
329,6.271802466,0,3336
330,6.287512341,0,3330
331,6.303504273,0,3325
332,6.321543992,0,3320
333,6.337509364,0,3313
334,6.355552843,0,3311
335,6.377076912,0,3306
336,6.393584705,0,3302
337,6.411584914,0,3298
338,6.429671454,0,3295
339,6.448599363,0,3286
340,6.467349478,0,3285
341,6.484290012,0,3282
342,6.502518985,0,3281
343,6.521474465,0,3277
344,6.539804541,0,3272
345,6.557504772,0,3267
346,6.573998436,0,3261
347,6.590294875,0,3256
348,6.606749358,0,3250
349,6.625533224,0,3243
350,6.642526029,0,3238
351,6.660675320,0,3227
352,6.678533935,0,3223
353,6.697496745,0,3209
354,6.715507423,0,3195
355,6.734497404,0,3171
356,6.751641822,0,3152
357,6.769584809,0,3134
358,6.786471172,0,3124
359,6.803482487,0,3111
360,6.821704800,0,3099
361,6.839506954,0,3089
362,6.857482621,0,3076
363,6.876520763,0,3060
364,6.893554859,0,3048
365,6.913853340,0,3026
366,6.930458516,0,3016
367,6.948808392,0,3006
368,6.967962576,0,2998
369,6.985472223,0,2988
370,7.004472453,0,2976
371,7.022486832,0,2967
372,7.040593732,0,2961
373,7.057841304,0,2949
374,7.075465363,0,2939
375,7.094463423,0,2930
376,7.111469299,0,2918
377,7.128703239,0,2909
378,7.146691527,0,2900
379,7.164450670,0,2890
380,7.182006558,0,2878
381,7.199563596,0,2871
382,7.216478799,0,2863
383,7.235451809,0,2861
384,7.252998838,0,2858
385,7.270552135,0,2854
386,7.288504472,0,2848
387,7.307493612,0,2838
388,7.323490285,0,2830
389,7.339687902,0,2820
390,7.357499366,0,2812
391,7.375774090,0,2806
392,7.393512522,0,2800
393,7.410499577,0,2793
394,7.428501225,0,2784
395,7.445569252,0,2780
396,7.465467193,0,2767
397,7.482584361,0,2758
398,7.500475147,0,2753
399,7.517489363,0,2744
400,7.536485443,0,2740
401,7.555523115,0,2734
402,7.573850400,0,2731
403,7.591579342,0,2727
404,7.610013369,0,2716
405,7.628482028,0,2714
406,7.645459843,0,2709
407,7.662508840,0,2698
408,7.679501895,0,2689
409,7.697496413,0,2687
410,7.716478223,0,2680
411,7.732463175,0,2677
412,7.749478581,0,2674
413,7.765455833,0,2668
414,7.783522533,0,2665
415,7.800472187,0,2659
416,7.819458087,0,2654
417,7.836465713,0,2647
418,7.853496359,0,2645
419,7.874063694,0,2643
420,7.943745214,0,2641
421,7.946955917,0,2640
422,7.965362465,0,2636
423,7.983443864,0,2634
424,8.001338860,0,2629
425,8.019372129,0,2627
426,8.037395207,0,2626
427,8.054495325,0,2621
428,8.073513016,0,2618
429,8.092452235,0,2613
430,8.111420525,0,2608
431,8.129403173,0,2598
