render_tick,elapsed_seconds
0,0.025343016
1,0.050727291
2,0.071411621
3,0.502388114
4,0.510346054
5,0.523743778
6,0.542793570
7,0.570383475
8,0.589362626
9,0.606534556
10,0.623606383
11,0.639512204
12,0.657476320
13,0.674442055
14,0.692665399
15,0.710539965
16,0.732174045
17,0.747149524
18,0.762759119
19,0.778644519
20,0.796557275
21,0.814592444
22,0.832645074
23,0.852708139
24,0.868934306
25,0.886748630
26,0.906200411
27,0.922637664
28,0.939695811
29,0.957832832
30,0.976807803
31,0.994580455
32,1.013573046
33,1.030600552
34,1.046528213
35,1.065479283
36,1.081456385
37,1.098944342
38,1.114974666
39,1.133513716
40,1.152293422
41,1.171771944
42,1.189452504
43,1.205514338
44,1.222539244
45,1.240570593
46,1.257450766
47,1.274501993
48,1.291354875
49,1.308593276
50,1.326577214
51,1.342525895
52,1.359528171
53,1.376499306
54,1.394440523
55,1.413535706
56,1.431526424
57,1.449578073
58,1.467526040
59,1.484503325
60,1.501476710
61,1.518470095
62,1.536890124
63,1.554553813
64,1.574291341
65,1.591512822
66,1.613568062
67,1.631474308
68,1.650427888
69,1.667601607
70,1.685490453
71,1.703448900
72,1.721728384
73,1.742291371
74,1.757017925
75,1.776804473
76,1.792849677
77,1.810582129
78,1.827504983
79,1.845359218
80,1.863529570
81,1.883530603
82,1.900426936
83,1.916396679
84,1.933590598
85,1.954409191
86,1.972627443
87,1.989564698
88,2.005598841
89,2.021721597
90,2.039553181
91,2.056539866
92,2.075591888
93,2.093532655
94,2.112629168
95,2.130590255
96,2.148587834
97,2.169646511
98,2.186538594
99,2.202524447
100,2.221551538
101,2.239707120
102,2.260572363
103,2.276590396
104,2.293688804
105,2.311711392
106,2.328522794
107,2.346567253
108,2.364668033
109,2.382521638
110,2.401585370
111,2.420641433
112,2.436615455
113,2.454543571
114,2.472651942
115,2.490631730
116,2.507593324
117,2.524542679
118,2.543238563
119,2.558521279
120,2.575587336
121,2.593600624
122,2.610579869
123,2.628573527
124,2.645551702
125,2.662518967
126,2.681098538
127,2.698656066
128,2.716535742
129,2.733532347
130,2.750836509
131,2.769578495
132,2.785822893
133,2.801559140
134,2.821576864
135,2.837541876
136,2.858589563
137,2.875600509
138,2.891538070
139,2.907627085
140,2.923577876
141,2.940749236
142,2.957512886
143,2.977652512
144,2.993687076
145,3.012548404
146,3.030637484
147,3.047516837
148,3.064919791
149,3.082704574
150,3.099723620
151,3.116560432
152,3.132562365
153,3.151545705
154,3.168803976
155,3.184618555
156,3.203548145
157,3.222582336
158,3.239635753
159,3.258553842
160,3.277588203
161,3.293630127
162,3.310578031
163,3.328576289
164,3.347539559
165,3.364579496
166,3.381660623
167,3.399580579
168,3.416580845
169,3.432625049
170,3.450057783
171,3.468598194
172,3.486558632
173,3.505596173
174,3.536159315
175,3.554379648
176,3.569876680
177,3.588798459
178,3.605674332
179,3.622741599
180,3.640235735
181,3.657823764
182,3.674855430
183,3.691996699
184,3.710553459
185,3.730103093
186,3.748542440
187,3.765555496
188,3.782595012
189,3.802572745
190,3.819540270
191,3.835600984
192,3.853552321
193,3.870477635
194,3.888480653
195,3.906461031
196,3.925447781
197,3.941685219
198,3.959561845
199,3.975626929
200,3.995568701
201,4.012569207
202,4.028636701
203,4.045588425
204,4.064550655
205,4.083839213
206,4.099571219
207,4.118593230
208,4.137568511
209,4.153636695
210,4.171159513
211,4.186585162
212,4.202625926
213,4.218564247
214,4.236554245
215,4.254748947
216,4.274274050
217,4.288728868
218,4.306574112
219,4.324540400
220,4.340525562
221,4.360568017
222,4.378711198
223,4.396578523
224,4.415573414
225,4.433694845
226,4.451545849
227,4.471182335
228,4.485771875
229,4.502769700
230,4.520718218
231,4.537509348
232,4.555569278
233,4.574161340
234,4.591553024
235,4.608544769
236,4.625606206
