name,frame,sim_time,yaw
static_000,689,7.044439,0.000000
static_001,691,7.249829,0.000000
static_002,693,7.421328,0.000000
static_003,695,7.601931,0.000000
static_004,697,7.789829,0.000000
static_005,699,7.980578,0.000000
static_006,701,8.185591,0.000000
static_007,703,8.371177,0.000000
static_008,705,8.554173,0.000000
static_009,707,8.727154,0.000000
pan_000,1094,14.771576,-24.838147
pan_001,1096,14.949009,-22.620243
pan_002,1098,15.139200,-20.242849
pan_003,1100,15.334936,-17.796146
pan_004,1102,15.516274,-15.529430
pan_005,1104,15.697892,-13.259196
pan_006,1106,15.888188,-10.880497
pan_007,1108,16.073308,-8.566502
pan_008,1110,16.262619,-6.200115
pan_009,1112,16.450162,-3.855821
pan_010,1114,16.678377,-1.003134
pan_011,1116,16.865251,1.332789
pan_012,1118,17.050427,3.647483
pan_013,1120,17.249196,6.132096
pan_014,1122,17.427685,8.363213
pan_015,1124,17.607269,10.608010
pan_016,1126,17.809186,13.131972
pan_017,1128,18.023144,15.806452
pan_018,1130,18.200302,18.020929
pan_019,1132,18.373481,20.185666
pan_020,1134,18.544971,22.329283
pan_021,1136,18.745141,24.831409
pan_022,1138,18.916837,25.000000
pan_023,1140,19.088263,25.000000
pan_024,1142,19.261809,25.000000
pan_025,1144,19.429686,25.000000
pan_026,1146,19.605909,25.000000
pan_027,1148,19.782984,25.000000
pan_028,1150,19.991810,25.000000
pan_029,1152,20.167339,25.000000
pan_030,1154,20.344242,25.000000
pan_031,1156,20.555195,25.000000
walk_end,1276,22.567905,0.000000
