name,frame,sim_time,yaw
static_000,17812,7.035566,0.000000
static_001,17814,7.205786,0.000000
static_002,17816,7.374445,0.000000
static_003,17818,7.548728,0.000000
static_004,17820,7.724174,0.000000
static_005,17822,7.898866,0.000000
static_006,17824,8.072299,0.000000
static_007,17826,8.275458,0.000000
static_008,17828,8.470282,0.000000
static_009,17830,8.639099,0.000000
pan_000,18329,14.668831,-24.848478
pan_001,18331,14.851446,-22.565785
pan_002,18333,15.059536,-19.964656
pan_003,18335,15.229111,-17.844976
pan_004,18337,15.398929,-15.722244
pan_005,18339,15.572453,-13.553193
pan_006,18341,15.744701,-11.400100
pan_007,18343,15.921243,-9.193318
pan_008,18345,16.125958,-6.634384
pan_009,18347,16.343013,-3.921197
pan_010,18349,16.537999,-1.483869
pan_011,18351,16.741728,1.062742
pan_012,18353,16.945773,3.613307
pan_013,18355,17.147532,6.135287
pan_014,18357,17.321953,8.315551
pan_015,18359,17.520453,10.796805
pan_016,18361,17.690799,12.926123
pan_017,18363,17.851207,14.931230
pan_018,18365,18.023001,17.078649
pan_019,18367,18.223358,19.583113
pan_020,18369,18.393810,21.713769
pan_021,18371,18.597717,24.262606
pan_022,18373,18.766790,25.000000
pan_023,18375,18.963005,25.000000
pan_024,18377,19.120836,25.000000
pan_025,18379,19.280567,25.000000
pan_026,18381,19.435808,25.000000
pan_027,18383,19.597503,25.000000
pan_028,18385,19.754429,25.000000
pan_029,18387,19.915852,25.000000
pan_030,18389,20.072679,25.000000
pan_031,18391,20.234654,25.000000
walk_end,18567,22.240713,0.000000
