render_tick,elapsed_seconds
0,0.029489310
1,0.511765803
2,0.519221478
3,0.535313532
4,0.552070122
5,0.580564330
6,0.593893833
7,0.612878912
8,0.629738114
9,0.649740865
10,0.666950094
11,0.685919512
12,0.703893758
13,0.724406461
14,0.741972198
15,0.760992417
16,0.776955009
17,0.794107407
18,0.813027044
19,0.829997429
20,0.849003688
21,0.866868352
22,0.885392960
23,0.902582329
24,0.918937009
25,0.935948465
26,0.954879582
27,0.970806773
28,0.987870779
29,1.005890327
30,1.025148051
31,1.042867312
32,1.059860617
33,1.078075538
34,1.097007695
35,1.116049515
36,1.134058432
37,1.151017776
38,1.169672638
39,1.190241381
40,1.207205055
41,1.224647880
42,1.240844697
43,1.257770990
44,1.274751224
45,1.291602646
46,1.308077309
47,1.323886607
48,1.341886104
49,1.360112226
50,1.377969270
51,1.396145500
52,1.412728926
53,1.429975566
54,1.446927510
55,1.465995520
56,1.482950364
57,1.500930091
58,1.517993487
59,1.537887386
60,1.553889138
61,1.571900195
62,1.590927445
63,1.608649836
64,1.624842373
65,1.643828441
66,1.661837038
67,1.677844351
68,1.694884497
69,1.712912134
70,1.733107079
71,1.753091360
72,1.768986010
73,1.786767833
74,1.803901760
75,1.821182361
76,1.837963501
77,1.854945626
78,1.870882037
79,1.888937585
80,1.905794237
81,1.925819468
82,1.942998927
83,1.959767447
84,1.976830343
85,1.993818187
86,2.010838113
87,2.027854668
88,2.046096540
89,2.062887270
90,2.078884943
91,2.096904410
92,2.113833633
93,2.130824768
94,2.146878802
95,2.163907377
96,2.179873249
97,2.197874296
98,2.215823202
99,2.234937163
100,2.251826026
101,2.269908964
102,2.290724973
103,2.308982996
104,2.327901533
105,2.345038450
106,2.362868504
107,2.382061547
108,2.400949763
109,2.419986393
110,2.436774923
111,2.453965702
112,2.471971349
113,2.489065886
114,2.506928680
115,2.525913458
116,2.545058260
117,2.563008426
118,2.579639012
119,2.597241361
120,2.615912462
121,2.631592037
122,2.651091358
123,2.667854798
124,2.688613605
125,2.705613839
126,2.724306712
127,2.741951111
128,2.758178939
129,2.775859189
130,2.791818720
131,2.811346141
132,2.829535272
133,2.847847155
134,2.869486232
135,2.883137664
136,2.900839483
137,2.917767557
138,2.935794414
139,2.952582784
140,2.971529972
141,2.985860108
142,3.004599611
143,3.021157416
144,3.038527059
145,3.054882599
146,3.073033700
147,3.091031707
148,3.107915548
149,3.125872614
150,3.142740716
151,3.160564189
152,3.175973279
153,3.193069147
154,3.210758386
155,3.227327422
156,3.246118106
157,3.262134389
158,3.279849149
159,3.301818793
160,3.314753259
161,3.331755553
162,3.350025636
163,3.365959987
164,3.383837342
165,3.400026248
166,3.417795350
167,3.436959613
168,3.452965596
169,3.471780411
170,3.484936680
171,3.504235817
172,3.519074423
173,3.537175963
174,3.552925279
175,3.568817950
176,3.587996672
177,3.607855340
178,3.625440609
179,3.643059196
180,3.658832864
181,3.675967422
182,3.693810146
183,3.710782450
184,3.727775774
185,3.746835724
186,3.764774820
187,3.781850896
188,3.798766209
189,3.817860270
190,3.835787066
191,3.853786202
192,3.869989619
193,3.887778082
194,3.904778997
195,3.920789210
196,3.936784032
197,3.952815356
198,3.970125567
199,3.986823825
200,4.003837560
201,4.021798576
202,4.040864967
203,4.058796672
204,4.076559314
205,4.093818764
206,4.111815071
207,4.128833776
208,4.145795960
209,4.163098151
210,4.179937473
211,4.198797749
212,4.214838832
213,4.232815889
214,4.249893595
215,4.267812760
216,4.285896629
217,4.302806222
218,4.319795456
219,4.337794733
220,4.356803792
221,4.375846662
222,4.391899736
223,4.409817701
224,4.427841758
225,4.444829093
226,4.465210542
227,4.482828340
228,4.499995669
229,4.517931514
230,4.534937679
231,4.550948792
232,4.572105208
233,4.589544213
234,4.609387210
235,4.626058798
236,4.643164025
237,4.663021623
238,4.680576520
239,4.698968075
240,4.715985050
241,4.733962837
242,4.751971674
243,4.771646468
244,4.786659209
245,4.802050608
246,4.818960241
247,4.835940365
248,4.854058344
249,4.871839237
250,4.889384953
251,4.907474962
252,4.922902952
253,4.940941930
254,4.959186182
255,4.975925331
256,4.993934838
257,5.011938635
258,5.027892817
259,5.044946703
260,5.061923497
261,5.078002251
262,5.094890584
263,5.111050280
264,5.128192508
265,5.146050102
266,5.163895355
267,5.181842091
268,5.199911819
269,5.216114936
270,5.234012431
271,5.249919912
272,5.266130849
273,5.283993473
274,5.304956385
275,5.322912241
276,5.339068267
277,5.356067892
278,5.374078599
279,5.392059815
280,5.411022463
281,5.427148969
282,5.443924749
283,5.460924833
284,5.476997198
285,5.494923433
286,5.511949378
287,5.530016406
288,5.548530134
289,5.566938761
290,5.585071180
291,5.602931844
292,5.620559712
293,5.636914853
294,5.652915376
295,5.671849222
296,5.689980233
297,5.708946691
298,5.727948690
299,5.745926837
300,5.762919040
301,5.782692986
302,5.798900313
303,5.817212508
304,5.837095986
305,5.853953567
306,5.871988806
307,5.889923290
308,5.906951965
309,5.925218759
310,5.940900684
311,5.956926707
312,5.974073856
313,5.992074193
314,6.009165710
315,6.024918886
316,6.042903663
317,6.059950948
318,6.077205099
319,6.094958170
320,6.111951025
321,6.130943173
322,6.150903554
323,6.166907936
324,6.183929632
325,6.201151412
326,6.217926761
327,6.235933788
328,6.253068086
329,6.271714807
330,6.290937941
331,6.308322265
332,6.324911480
333,6.343908308
334,6.362136410
335,6.378995012
336,6.395900605
337,6.411915718
338,6.428928283
339,6.448005543
340,6.467377521
341,6.486520503
342,6.500992141
343,6.517939335
344,6.534911789
345,6.551925674
346,6.572323055
347,6.587928298
348,6.604111715
349,6.621928808
350,6.638119484
351,6.653946813
352,6.672232166
353,6.688972326
354,6.706947692
355,6.723946757
356,6.741071544
357,6.758913587
358,6.775980434
359,6.791937496
360,6.808961341
361,6.827270484
362,6.846018888
363,6.863098124
364,6.878171346
365,6.894921846
366,6.913971856
367,6.930018719
368,6.946963543
369,6.963927997
370,6.981037134
371,6.997969338
372,7.013934230
373,7.031933546
374,7.049197297
375,7.066949628
376,7.085897396
377,7.104966816
378,7.120177071
379,7.138066986
380,7.157065005
381,7.175182924
382,7.192068536
383,7.209046931
384,7.227322163
385,7.244067103
386,7.260108526
387,7.278173635
388,7.296250733
389,7.314499476
390,7.331173003
391,7.348062695
392,7.366727637
393,7.384407506
394,7.401073194
395,7.419316996
396,7.436040375
397,7.453083141
398,7.472320064
399,7.489047643
400,7.505056966
401,7.522050491
402,7.540033078
403,7.558228738
404,7.576249476
405,7.595042420
406,7.611061943
407,7.628069118
408,7.645129924
409,7.663029389
410,7.680074605
411,7.697054789
412,7.715150688
413,7.732085781
414,7.748004892
415,7.765282523
416,7.782990824
417,7.799985108
418,7.819324794
419,7.838001006
420,7.857146338
421,7.876147657
422,7.893932059
423,7.910934064
424,7.926942837
425,7.945028456
426,7.961874837
427,7.979949546
428,7.996910520
429,8.014196030
430,8.034002227
431,8.049979249
432,8.067037085
433,8.083850476
434,8.101905284
435,8.118919979
436,8.137196212
437,8.154059264
438,8.172418668
439,8.189010864
440,8.205027058
441,8.223042575
442,8.240013809
443,8.256023252
444,8.277019675
445,8.291034253
446,8.308515278
447,8.326091666
448,8.344484531
449,8.362155041
450,8.379276859
451,8.398028302
452,8.414032535
453,8.430091539
454,8.448231929
455,8.466243946
456,8.484685982
457,8.501955553
458,8.518261492
459,8.537955067
460,8.555953934
461,8.574038402
462,8.593970122
463,8.613068713
464,8.629943434
465,8.648961203
466,8.669406704
467,8.685567890
468,8.701973312
469,8.719232833
470,8.734962639
471,8.751980014
472,8.771603137
473,8.788322996
474,8.806381334
475,8.822947099
476,8.839930263
477,8.856933328
478,8.876268925
479,8.892047792
480,8.908083116
481,8.926969902
482,8.944001007
483,8.960970191
484,8.979017249
485,8.996148798
486,9.012986108
487,9.031977867
488,9.051024636
489,9.066950358
490,9.083495703
491,9.100073218
492,9.118022964
493,9.134923066
494,9.153947866
495,9.172324161
496,9.190278237
497,9.207989717
498,9.228983690
499,9.246937555
500,9.263935780
501,9.284200297
502,9.301088299
503,9.318051863
504,9.335021397
505,9.352253618
506,9.372577146
507,9.390007729
508,9.405055061
509,9.422147538
510,9.440008242
511,9.458377857
512,9.477119010
513,9.493991602
514,9.509999125
515,9.528422721
516,9.545022677
517,9.561994451
518,9.580024248
519,9.597025103
520,9.614001597
521,9.632146237
522,9.650038672
523,9.667019066
524,9.684910031
525,9.702003917
526,9.719005302
527,9.736001367
528,9.753022912
529,9.772854629
530,9.790445718
531,9.807045273
532,9.824021297
533,9.841008332
534,9.858975888
535,9.877098077
536,9.893047919
537,9.911180048
538,9.930127926
539,9.946970388
540,9.963974392
541,9.981055939
542,9.998137205
543,10.014919355
544,10.032062273
545,10.048971426
546,10.067387402
547,10.085772748
548,10.103156540
549,10.120126375
550,10.138004449
551,10.155493864
552,10.172595142
553,10.189311309
554,10.205990868
555,10.223966024
556,10.242085723
557,10.260509849
558,10.278077277
559,10.296055083
560,10.313047247
561,10.330047532
562,10.346097066
563,10.362059898
564,10.378574011
565,10.400172978
566,10.417057760
567,10.434077386
568,10.452163924
569,10.472480942
570,10.488032275
571,10.507202577
572,10.524090370
573,10.540149194
574,10.558101410
575,10.575050353
576,10.592394905
577,10.610972165
578,10.628065942
579,10.648064183
580,10.667006650
581,10.683996795
582,10.702957493
583,10.720974710
584,10.737150697
585,10.755983392
586,10.775321618
587,10.791173917
588,10.809977772
589,10.827383686
590,10.845984016
591,10.864966414
592,10.881011488
593,10.899985526
594,10.917926692
595,10.935936099
596,10.952927123
597,10.968902306
598,10.987199189
599,11.004187973
600,11.021113826
601,11.036992737
602,11.055973825
603,11.073007180
604,11.089968764
605,11.107040301
606,11.126474289
607,11.144598048
608,11.161222855
609,11.181123844
610,11.197073195
611,11.213046938
612,11.229386177
613,11.246029445
614,11.263299115
615,11.280310060
616,11.295945615
617,11.313997683
618,11.332328507
619,11.348983864
620,11.367098893
621,11.384174020
622,11.402047704
623,11.417958134
624,11.434971379
625,11.452959925
626,11.470486482
627,11.486959105
628,11.504678076
629,11.522015489
630,11.539005862
631,11.556118000
632,11.573259068
633,11.589989526
634,11.608020784
635,11.624915446
636,11.641110714
637,11.656946752
638,11.675988002
639,11.694244105
640,11.712020476
641,11.729956632
642,11.748002019
643,11.765521166
644,11.781020797
645,11.798946302
646,11.815952867
647,11.833949334
648,11.851966411
649,11.872676488
650,11.892100376
651,11.909200854
652,11.926975205
653,11.944991542
654,11.962951248
655,11.979125514
656,11.996592490
657,12.013042992
658,12.030931806
659,12.050003567
660,12.067014132
661,12.085162842
662,12.102922733
663,12.120116612
664,12.137010115
665,12.153965078
666,12.172927877
667,12.190051674
668,12.205931244
669,12.223939531
670,12.240976127
671,12.258073073
672,12.275874256
673,12.290944128
674,12.309098658
675,12.325927249
676,12.344015228
677,12.362076306
678,12.380161325
679,12.397013226
680,12.414148164
681,12.431032906
682,12.446985148
683,12.463178855
684,12.481977279
685,12.499753771
686,12.516570482
687,12.533099996
688,12.551060702
689,12.569073959
690,12.587543737
691,12.603267323
692,12.621130076
693,12.637951867
694,12.657960499
695,12.678172484
696,12.693942082
697,12.710955617
698,12.727924411
699,12.745018308
700,12.763129817
701,12.783017965
702,12.800912450
703,12.816972804
704,12.832930136
705,12.849987462
706,12.866917125
707,12.885170337
708,12.903250215
709,12.918995393
710,12.935281411
711,12.952476180
712,12.972803529
713,12.985944839
714,13.002903623
715,13.021880121
716,13.038948477
717,13.056905883
718,13.075154235
719,13.093949220
720,13.110947004
721,13.130159898
722,13.146943788
723,13.163949553
724,13.181654993
725,13.197914541
726,13.214899256
727,13.233201759
728,13.252015884
729,13.269080100
730,13.284950330
731,13.301959205
732,13.321059976
733,13.339445781
734,13.356305552
735,13.372604551
736,13.389954535
737,13.406955729
738,13.425590840
739,13.443075945
740,13.458923925
741,13.478658779
742,13.494977690
743,13.512949726
744,13.531006434
745,13.549877920
746,13.566950986
747,13.584040753
748,13.602342486
749,13.618996473
750,13.636197952
751,13.653419262
752,13.671647763
753,13.688054976
754,13.705180163
755,13.723044687
756,13.741934404
757,13.759128852
758,13.778010539
759,13.795038434
760,13.812050629
761,13.829134266
762,13.845242681
763,13.861177492
764,13.878262458
765,13.895399726
766,13.913368572
767,13.932305510
768,13.949102580
769,13.967086417
770,13.984360837
771,14.001265470
772,14.020192037
773,14.038090212
774,14.055069146
775,14.073106464
776,14.090032717
777,14.107071252
778,14.125067549
779,14.142175996
780,14.159076179
781,14.178112608
782,14.195248316
783,14.211105516
784,14.229432329
785,14.246005955
786,14.261940845
787,14.280095906
788,14.297030880
789,14.314031605
790,14.330958227
791,14.348191327
792,14.365983689
793,14.382127166
794,14.401048072
795,14.418031306
796,14.433949677
797,14.452771672
798,14.473207043
799,14.491313132
800,14.507022938
801,14.526220382
802,14.543636615
803,14.562073111
804,14.579169349
805,14.596964741
806,14.613904604
807,14.632007583
808,14.650043650
809,14.666987644
810,14.686721379
811,14.699180985
812,14.715948443
813,14.733020900
814,14.750677319
815,14.765893094
816,14.783016342
817,14.800962737
818,14.816962170
819,14.834943316
820,14.852972994
821,14.871087563
822,14.886609456
823,14.903909017
824,14.922922746
825,14.938930809
826,14.956910675
827,14.973000200
828,14.989920303
829,15.007349737
830,15.023132715
831,15.039914385
832,15.057890001
833,15.074989538
834,15.093181509
835,15.110489961
836,15.127946195
837,15.145112903
838,15.165241497
839,15.183192073
840,15.199888661
841,15.216912526
842,15.237909519
843,15.256379917
844,15.273071864
845,15.292120594
846,15.310066080
847,15.326835069
848,15.344869467
849,15.361184296
850,15.377101997
851,15.392840684
852,15.410853051
853,15.430193927
854,15.448097562
855,15.463883010
856,15.482176343
857,15.498820101
858,15.516817867
859,15.534822104
860,15.554263272
861,15.571972213
862,15.591004092
863,15.609437578
864,15.625812440
865,15.643838467
866,15.661917256
867,15.679938893
868,15.697159532
869,15.715378464
870,15.732131953
871,15.748990195
872,15.767210426
873,15.784340174
874,15.800800187
875,15.818797304
876,15.836271029
877,15.851764931
878,15.871787652
879,15.887949358
880,15.906008186
881,15.923920661
882,15.942316136
883,15.958883722
884,15.977322918
885,15.994882345
886,16.012107095
887,16.028241760
888,16.044842487
889,16.061835311
890,16.078259333
891,16.093953189
892,16.110845342
893,16.130363951
894,16.146825865
895,16.164835982
896,16.180966517
897,16.200886946
898,16.216862429
899,16.234939187
900,16.250823557
901,16.267895103
902,16.284503079
903,16.299918109
904,16.320915542
905,16.339112413
906,16.356126698
907,16.372010848
908,16.390863544
909,16.408211626
910,16.425899106
911,16.442912551
912,16.459899246
913,16.477929833
914,16.494842056
915,16.513061887
916,16.529872328
917,16.545788898
918,16.562772402
919,16.581417434
920,16.597788564
921,16.615792461
922,16.635813972
923,16.652796357
924,16.671711244
925,16.690895448
926,16.708907545
927,16.725898058
928,16.742910973
929,16.759440678
930,16.774988361
931,16.793881117
932,16.810900272
933,16.827949649
934,16.843927390
935,16.859889862
936,16.875914855
937,16.893859591
938,16.910049418
939,16.926098432
940,16.942986904
941,16.958983776
942,16.976297718
943,16.993882775
944,17.011866472
945,17.029868609
946,17.045906902
947,17.063976610
948,17.080923044
949,17.098957411
950,17.115019145
951,17.131973729
952,17.150914857
953,17.167988463
954,17.185610362
955,17.203084488
956,17.220063481
957,17.236172267
958,17.254145623
959,17.272994348
960,17.289107943
961,17.308176584
962,17.325064725
963,17.343057052
964,17.362092081
965,17.379136527
966,17.397324519
967,17.414110448
968,17.432088474
969,17.452080105
970,17.469235864
971,17.486986745
972,17.503493849
973,17.521060526
974,17.538177263
975,17.555062495
976,17.572671914
977,17.592012530
978,17.610959977
979,17.630085429
980,17.647916072
981,17.666061632
982,17.684214652
983,17.699932259
984,17.717031685
985,17.733895827
986,17.753051209
987,17.772714513
988,17.789573595
989,17.806944087
990,17.823954122
991,17.841032369
992,17.857968032
993,17.875121830
994,17.891034771
995,17.908215629
996,17.923952577
997,17.942467005
998,17.959974691
999,17.977087078
1000,17.995037313
1001,18.011065727
1002,18.027120930
1003,18.043186375
1004,18.062105472
1005,18.080047497
1006,18.098046534
1007,18.114962087
1008,18.133038685
1009,18.150034130
1010,18.168938767
1011,18.185729587
1012,18.204764007
1013,18.222098288
1014,18.238996511
1015,18.258007440
1016,18.275056336
1017,18.292314796
1018,18.310113048
1019,18.327098593
1020,18.343999215
1021,18.362060903
1022,18.380416358
1023,18.397232319
1024,18.414234953
1025,18.431126476
1026,18.447978857
1027,18.467047978
1028,18.483682405
1029,18.504273778
1030,18.524239118
1031,18.541001698
1032,18.559067046
1033,18.577079703
1034,18.594965847
1035,18.611001721
1036,18.628004846
1037,18.646135405
1038,18.662113517
1039,18.682460075
1040,18.698007229
1041,18.714972963
1042,18.733011710
1043,18.753037712
1044,18.772371327
1045,18.790169980
1046,18.808654967
1047,18.826012900
1048,18.844036707
1049,18.861223726
1050,18.878123269
1051,18.895107893
1052,18.914091282
1053,18.933067110
1054,18.951171439
1055,18.969330869
1056,18.988107733
1057,19.004356471
1058,19.021137571
1059,19.038471083
1060,19.053203388
1061,19.072721107
1062,19.087591695
1063,19.103757112
1064,19.119075050
1065,19.136047424
1066,19.154022060
1067,19.172769533
1068,19.188031420
1069,19.205955595
1070,19.224067634
1071,19.241996899
1072,19.260392775
1073,19.278724508
1074,19.294418355
1075,19.310960850
1076,19.328054636
1077,19.345065931
1078,19.363072448
1079,19.380142704
1080,19.398549480
1081,19.416024785
1082,19.433181413
1083,19.451221051
1084,19.468061082
1085,19.486443497
1086,19.501096990
1087,19.518892352
1088,19.535951169
1089,19.552945233
1090,19.572335971
1091,19.589701073
1092,19.604944039
1093,19.622911425
1094,19.638871907
1095,19.656969655
1096,19.675721519
1097,19.690925134
1098,19.706905466
1099,19.722922949
1100,19.740964047
1101,19.759895594
1102,19.776920599
1103,19.793894924
1104,19.812984594
1105,19.828921066
1106,19.846952003
1107,19.863952988
1108,19.880021732
1109,19.897000086
1110,19.914895801
1111,19.931904476
1112,19.947922739
1113,19.965112688
1114,19.982526192
1115,19.998989914
1116,20.016932830
1117,20.032892802
1118,20.049886756
1119,20.065923480
1120,20.082841563
1121,20.099890328
1122,20.117851754
1123,20.136890214
1124,20.155144126
1125,20.170729970
1126,20.187003668
1127,20.204962944
1128,20.221912258
1129,20.238995874
1130,20.254969787
1131,20.272889552
1132,20.290961670
1133,20.308792203
1134,20.324939589
1135,20.340960452
1136,20.356986025
1137,20.377208161
1138,20.393272096
1139,20.411457536
