name,frame,sim_time,yaw
static_000,977,7.030167,0.000000
static_001,979,7.211593,0.000000
static_002,981,7.385761,0.000000
static_003,983,7.562418,0.000000
static_004,985,7.741813,0.000000
static_005,987,7.915071,0.000000
static_006,989,8.088528,0.000000
static_007,991,8.264951,0.000000
static_008,993,8.440596,0.000000
static_009,995,8.644401,0.000000
pan_000,1490,14.680192,-24.837378
pan_001,1492,14.883373,-22.297620
pan_002,1494,15.054154,-20.162856
pan_003,1496,15.250268,-17.711434
pan_004,1498,15.433724,-15.418232
pan_005,1500,15.594888,-13.403677
pan_006,1502,15.755493,-11.396121
pan_007,1504,15.918295,-9.361099
pan_008,1506,16.080959,-7.327788
pan_009,1508,16.244277,-5.286323
pan_010,1510,16.450133,-2.713118
pan_011,1512,16.620204,-0.587236
pan_012,1514,16.790555,1.542151
pan_013,1516,16.964444,3.715769
pan_014,1518,17.136541,5.866979
pan_015,1520,17.307542,8.004500
pan_016,1522,17.479873,10.158631
pan_017,1524,17.651950,12.309592
pan_018,1526,17.822453,14.440887
pan_019,1528,17.995417,16.602929
pan_020,1530,18.167570,18.754845
pan_021,1532,18.339267,20.901053
pan_022,1534,18.545015,23.472903
pan_023,1536,18.718626,25.000000
pan_024,1538,18.891724,25.000000
pan_025,1540,19.082792,25.000000
pan_026,1542,19.260751,25.000000
pan_027,1544,19.431884,25.000000
pan_028,1546,19.638851,25.000000
pan_029,1548,19.814854,25.000000
pan_030,1550,20.022929,25.000000
pan_031,1552,20.230457,25.000000
walk_end,1699,22.242176,0.000000
