name,frame,sim_time,yaw
static_000,1425,7.036292,0.000000
static_001,1427,7.448186,0.000000
static_002,1430,7.603864,0.000000
static_003,1432,7.758523,0.000000
static_004,1434,7.909007,0.000000
static_005,1436,8.060402,0.000000
static_006,1438,8.229800,0.000000
static_007,1441,8.385710,0.000000
static_008,1443,8.536011,0.000000
static_009,1445,8.688038,0.000000
pan_000,1917,14.719643,-24.859127
pan_001,1919,14.910023,-22.479386
pan_002,1921,15.063939,-20.555428
pan_003,1923,15.214802,-18.669638
pan_004,1925,15.366734,-16.770500
pan_005,1927,15.517902,-14.880887
pan_006,1929,15.668236,-13.001714
pan_007,1931,15.818455,-11.123975
pan_008,1933,15.968855,-9.243976
pan_009,1935,16.119961,-7.355157
pan_010,1937,16.271141,-5.465408
pan_011,1939,16.423646,-3.559097
pan_012,1941,16.611143,-1.215387
pan_013,1943,16.758635,0.628267
pan_014,1945,16.914148,2.572178
pan_015,1947,17.061118,4.409310
pan_016,1949,17.215284,6.336382
pan_017,1951,17.367950,8.244709
pan_018,1953,17.522919,10.181816
pan_019,1955,17.676494,12.101506
pan_020,1957,17.831550,14.039709
pan_021,1959,17.985912,15.969237
pan_022,1961,18.174860,18.331087
pan_023,1963,18.326579,20.227567
pan_024,1965,18.511078,22.533805
pan_025,1967,18.663714,24.441759
pan_026,1969,18.817955,25.000000
pan_027,1971,18.970228,25.000000
pan_028,1973,19.126059,25.000000
pan_029,1975,19.278541,25.000000
pan_030,1977,19.433456,25.000000
pan_031,1979,19.587460,25.000000
walk_end,2160,21.603786,0.000000
