name,frame,sim_time,yaw
static_000,1471,7.029629,0.000000
static_001,1473,7.440742,0.000000
static_002,1475,7.592873,0.000000
static_003,1477,7.745212,0.000000
static_004,1479,7.897885,0.000000
static_005,1481,8.050259,0.000000
static_006,1483,8.203451,0.000000
static_007,1485,8.381341,0.000000
static_008,1487,8.534221,0.000000
static_009,1489,8.714487,0.000000
pan_000,1974,14.729992,-24.860655
pan_001,1976,14.925137,-22.421345
pan_002,1978,15.079098,-20.496830
pan_003,1980,15.232535,-18.578865
pan_004,1982,15.386629,-16.652692
pan_005,1984,15.541166,-14.720973
pan_006,1986,15.694779,-12.800817
pan_007,1988,15.848789,-10.875694
pan_008,1990,16.036255,-8.532359
pan_009,1992,16.194286,-6.556979
pan_010,1994,16.356048,-4.534945
pan_011,1996,16.529351,-2.368661
pan_012,1998,16.689450,-0.367428
pan_013,2000,16.846795,1.599383
pan_014,2002,17.004985,3.576757
pan_015,2004,17.168288,5.618055
pan_016,2006,17.351856,7.912654
pan_017,2008,17.502171,9.791586
pan_018,2010,17.653185,11.679258
pan_019,2012,17.803524,13.558497
pan_020,2014,17.954975,15.451640
pan_021,2016,18.109662,17.385221
pan_022,2018,18.262874,19.300376
pan_023,2020,18.413899,21.188184
pan_024,2022,18.571637,23.159914
pan_025,2024,18.726891,25.000000
pan_026,2026,18.881828,25.000000
pan_027,2028,19.037839,25.000000
pan_028,2030,19.190805,25.000000
pan_029,2032,19.349224,25.000000
pan_030,2034,19.505959,25.000000
pan_031,2036,19.659830,25.000000
walk_end,2194,21.670087,0.000000
