frame,time,phase,age,actor_x,actor_y,actor_z,left_x,left_y,left_z,right_x,right_y,right_z,pelvis_z,left_weight,right_weight,max_contact_error
849,0.004646,1,0.000000,-1000.0000,-900.0000,1088.0000,-989.5355,-919.5183,1008.0561,-1018.8844,-890.1382,1007.7374,1089.1007,0.0000,0.0000,0.2303
850,0.116611,1,0.111965,-1000.0000,-900.0000,1088.0000,-989.5355,-919.5183,1008.0561,-1018.8844,-890.1382,1007.7374,1089.1007,0.0000,0.0000,0.2303
851,0.189321,1,0.184675,-1000.0000,-900.0000,1088.0000,-991.8175,-918.8788,1007.1683,-1021.2563,-895.3084,1007.1382,1088.4311,0.0000,0.0000,0.6881
852,0.204695,1,0.200050,-1000.0000,-900.0000,1088.0000,-991.8138,-918.8850,1007.2500,-1021.2575,-895.3100,1007.2235,1088.4322,0.1230,0.1230,0.6029
853,0.218826,1,0.214181,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8899,1007.3248,-1021.2585,-895.3109,1007.3017,1088.4333,0.2360,0.2360,0.5246
854,0.233022,1,0.228376,-1000.0000,-900.0000,1088.0000,-991.8105,-918.8908,1007.3995,-1021.2595,-895.3089,1007.3803,1088.4345,0.3496,0.3496,0.4460
855,0.246740,1,0.242094,-1000.0000,-900.0000,1088.0000,-991.8102,-918.8917,1007.4716,-1021.2604,-895.3070,1007.4561,1088.4356,0.4594,0.4594,0.3702
856,0.261632,1,0.256987,-1000.0000,-900.0000,1088.0000,-991.8103,-918.8911,1007.5498,-1021.2630,-895.3074,1007.5379,1088.4361,0.5785,0.5785,0.2884
857,0.274242,1,0.269596,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8903,1007.6159,-1021.2656,-895.3083,1007.6070,1088.4364,0.6794,0.6794,0.2193
858,0.291293,1,0.286648,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8886,1007.7052,-1021.2693,-895.3101,1007.7005,1088.4367,0.8158,0.8158,0.1258
859,0.304504,1,0.299858,-1000.0000,-900.0000,1088.0000,-991.8111,-918.8866,1007.7744,-1021.2724,-895.3120,1007.7728,1088.4370,0.9215,0.9215,0.0535
860,0.318315,1,0.313669,-1000.0000,-900.0000,1088.0000,-991.8110,-918.8852,1007.8258,-1021.2748,-895.3137,1007.8263,1088.4373,1.0000,1.0000,0.0000
861,0.331986,1,0.327340,-1000.0000,-900.0000,1088.0000,-991.8088,-918.8885,1007.8258,-1021.2713,-895.3135,1007.8263,1088.4382,1.0000,1.0000,0.0000
862,0.346299,1,0.341653,-1000.0000,-900.0000,1088.0000,-991.8064,-918.8919,1007.8258,-1021.2678,-895.3132,1007.8263,1088.4391,1.0000,1.0000,0.0000
863,0.359329,1,0.354683,-1000.0000,-900.0000,1088.0000,-991.8056,-918.8920,1007.8258,-1021.2675,-895.3093,1007.8263,1088.4400,1.0000,1.0000,0.0000
864,0.372391,1,0.367745,-1000.0000,-900.0000,1088.0000,-991.8054,-918.8909,1007.8258,-1021.2685,-895.3038,1007.8263,1088.4408,1.0000,1.0000,0.0000
865,0.387030,1,0.382385,-1000.0000,-900.0000,1088.0000,-991.8061,-918.8892,1007.8258,-1021.2695,-895.2988,1007.8263,1088.4417,1.0000,1.0000,0.0000
866,0.399398,1,0.394752,-1000.0000,-900.0000,1088.0000,-991.8095,-918.8870,1007.8258,-1021.2704,-895.2973,1007.8263,1088.4422,1.0000,1.0000,0.0000
867,0.412249,1,0.407604,-1000.0000,-900.0000,1088.0000,-991.8130,-918.8848,1007.8258,-1021.2713,-895.2957,1007.8263,1088.4427,1.0000,1.0000,0.0000
868,0.424923,1,0.420278,-1000.0000,-900.0000,1088.0000,-991.8123,-918.8860,1007.8258,-1021.2719,-895.2952,1007.8263,1088.4430,1.0000,1.0000,0.0000
869,0.437672,1,0.433027,-1000.0000,-900.0000,1088.0000,-991.8094,-918.8890,1007.8258,-1021.2724,-895.2954,1007.8263,1088.4431,1.0000,1.0000,0.0000
870,0.450586,1,0.445940,-1000.0000,-900.0000,1088.0000,-991.8066,-918.8919,1007.8258,-1021.2730,-895.2956,1007.8263,1088.4433,1.0000,1.0000,0.0000
871,0.464177,1,0.459531,-1000.0000,-900.0000,1088.0000,-991.8057,-918.8924,1007.8258,-1021.2740,-895.2967,1007.8263,1088.4438,1.0000,1.0000,0.0000
872,0.477871,1,0.473225,-1000.0000,-900.0000,1088.0000,-991.8048,-918.8928,1007.8258,-1021.2750,-895.2978,1007.8263,1088.4442,1.0000,1.0000,0.0000
873,0.491320,1,0.486675,-1000.0000,-900.0000,1088.0000,-991.8027,-918.8944,1007.8258,-1021.2757,-895.2972,1007.8263,1088.4442,1.0000,1.0000,0.0000
874,0.505079,1,0.500433,-1000.0000,-900.0000,1088.0000,-991.7997,-918.8967,1007.8258,-1021.2760,-895.2954,1007.8263,1088.4438,1.0000,1.0000,0.0000
875,0.517859,1,0.513214,-1000.0000,-900.0000,1088.0000,-991.7973,-918.8984,1007.8258,-1021.2762,-895.2941,1007.8263,1088.4434,1.0000,1.0000,0.0000
876,0.531132,1,0.526487,-1000.0000,-900.0000,1088.0000,-991.7978,-918.8951,1007.8258,-1021.2749,-895.2974,1007.8263,1088.4430,1.0000,1.0000,0.0000
877,0.543698,1,0.539052,-1000.0000,-900.0000,1088.0000,-991.7983,-918.8920,1007.8258,-1021.2737,-895.3006,1007.8263,1088.4427,1.0000,1.0000,0.0000
878,0.558288,1,0.553642,-1000.0000,-900.0000,1088.0000,-991.8022,-918.8886,1007.8258,-1021.2738,-895.2999,1007.8263,1088.4414,1.0000,1.0000,0.0000
879,0.570234,1,0.565588,-1000.0000,-900.0000,1088.0000,-991.8075,-918.8858,1007.8258,-1021.2748,-895.2966,1007.8263,1088.4399,1.0000,1.0000,0.0000
880,0.582420,1,0.577774,-1000.0000,-900.0000,1088.0000,-991.8129,-918.8830,1007.8258,-1021.2758,-895.2933,1007.8263,1088.4384,1.0000,1.0000,0.0000
881,0.595601,1,0.590955,-1000.0000,-900.0000,1088.0000,-991.8113,-918.8832,1007.8258,-1021.2739,-895.2936,1007.8263,1088.4375,1.0000,1.0000,0.0000
882,0.608276,1,0.603630,-1000.0000,-900.0000,1088.0000,-991.8093,-918.8837,1007.8258,-1021.2719,-895.2941,1007.8263,1088.4368,1.0000,1.0000,0.0000
883,0.620625,1,0.615979,-1000.0000,-900.0000,1088.0000,-991.8088,-918.8840,1007.8258,-1021.2711,-895.2942,1007.8263,1088.4363,1.0000,1.0000,0.0000
884,0.633482,1,0.628837,-1000.0000,-900.0000,1088.0000,-991.8113,-918.8840,1007.8258,-1021.2728,-895.2933,1007.8263,1088.4365,1.0000,1.0000,0.0000
885,0.647238,1,0.642593,-1000.0000,-900.0000,1088.0000,-991.8140,-918.8841,1007.8258,-1021.2746,-895.2923,1007.8263,1088.4367,1.0000,1.0000,0.0000
886,0.661150,1,0.656505,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8830,1007.8258,-1021.2765,-895.2910,1007.8263,1088.4370,1.0000,1.0000,0.0000
887,0.673371,1,0.668725,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8818,1007.8258,-1021.2781,-895.2898,1007.8263,1088.4372,1.0000,1.0000,0.0000
888,0.686761,1,0.682115,-1000.0000,-900.0000,1088.0000,-991.8152,-918.8807,1007.8258,-1021.2800,-895.2888,1007.8263,1088.4373,1.0000,1.0000,0.0000
889,0.699144,1,0.694498,-1000.0000,-900.0000,1088.0000,-991.8173,-918.8801,1007.8258,-1021.2816,-895.2885,1007.8263,1088.4371,1.0000,1.0000,0.0000
890,0.712210,1,0.707565,-1000.0000,-900.0000,1088.0000,-991.8196,-918.8795,1007.8258,-1021.2834,-895.2881,1007.8263,1088.4368,1.0000,1.0000,0.0000
891,0.724286,1,0.719641,-1000.0000,-900.0000,1088.0000,-991.8176,-918.8810,1007.8258,-1021.2827,-895.2896,1007.8263,1088.4368,1.0000,1.0000,0.0000
892,0.736646,1,0.732000,-1000.0000,-900.0000,1088.0000,-991.8131,-918.8839,1007.8258,-1021.2807,-895.2921,1007.8263,1088.4369,1.0000,1.0000,0.0000
893,0.749412,1,0.744766,-1000.0000,-900.0000,1088.0000,-991.8084,-918.8869,1007.8258,-1021.2786,-895.2947,1007.8263,1088.4370,1.0000,1.0000,0.0000
894,0.761636,1,0.756991,-1000.0000,-900.0000,1088.0000,-991.8051,-918.8874,1007.8258,-1021.2789,-895.2923,1007.8263,1088.4380,1.0000,1.0000,0.0000
895,0.774725,1,0.770079,-1000.0000,-900.0000,1088.0000,-991.8015,-918.8877,1007.8258,-1021.2793,-895.2896,1007.8263,1088.4391,1.0000,1.0000,0.0000
896,0.787026,1,0.782380,-1000.0000,-900.0000,1088.0000,-991.8007,-918.8888,1007.8258,-1021.2803,-895.2908,1007.8263,1088.4398,1.0000,1.0000,0.0000
897,0.799861,1,0.795215,-1000.0000,-900.0000,1088.0000,-991.8058,-918.8917,1007.8258,-1021.2827,-895.3009,1007.8263,1088.4399,1.0000,1.0000,0.0000
898,0.812499,1,0.807853,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8946,1007.8258,-1021.2850,-895.3109,1007.8263,1088.4400,1.0000,1.0000,0.0000
899,0.824950,1,0.820304,-1000.0000,-900.0000,1088.0000,-991.8105,-918.8934,1007.8258,-1021.2841,-895.3108,1007.8263,1088.4400,1.0000,1.0000,0.0000
900,0.839005,1,0.834360,-1000.0000,-900.0000,1088.0000,-991.8071,-918.8899,1007.8258,-1021.2813,-895.3053,1007.8263,1088.4399,1.0000,1.0000,0.0000
901,0.851722,1,0.847076,-1000.0000,-900.0000,1088.0000,-991.8046,-918.8872,1007.8258,-1021.2788,-895.3006,1007.8263,1088.4398,1.0000,1.0000,0.0000
902,0.865881,1,0.861235,-1000.0000,-900.0000,1088.0000,-991.8053,-918.8872,1007.8258,-1021.2756,-895.2979,1007.8263,1088.4397,1.0000,1.0000,0.0000
903,0.879629,1,0.874983,-1000.0000,-900.0000,1088.0000,-991.8061,-918.8872,1007.8258,-1021.2726,-895.2953,1007.8263,1088.4396,1.0000,1.0000,0.0000
904,0.892225,1,0.887579,-1000.0000,-900.0000,1088.0000,-991.8077,-918.8873,1007.8258,-1021.2707,-895.2943,1007.8263,1088.4394,1.0000,1.0000,0.0000
905,0.906013,1,0.901367,-1000.0000,-900.0000,1088.0000,-991.8099,-918.8874,1007.8258,-1021.2689,-895.2938,1007.8263,1088.4391,1.0000,1.0000,0.0000
906,0.920596,1,0.915950,-1000.0000,-900.0000,1088.0000,-991.8122,-918.8870,1007.8258,-1021.2673,-895.2937,1007.8263,1088.4387,1.0000,1.0000,0.0000
907,0.933155,1,0.928509,-1000.0000,-900.0000,1088.0000,-991.8141,-918.8853,1007.8258,-1021.2664,-895.2943,1007.8263,1088.4380,1.0000,1.0000,0.0000
908,0.946786,1,0.942141,-1000.0000,-900.0000,1088.0000,-991.8161,-918.8835,1007.8258,-1021.2654,-895.2950,1007.8263,1088.4373,1.0000,1.0000,0.0000
909,0.960303,1,0.955658,-1000.0000,-900.0000,1088.0000,-991.8150,-918.8795,1007.8258,-1021.2630,-895.2955,1007.8263,1088.4371,1.0000,1.0000,0.0000
910,0.973281,1,0.968636,-1000.0000,-900.0000,1088.0000,-991.8130,-918.8752,1007.8258,-1021.2603,-895.2959,1007.8263,1088.4370,1.0000,1.0000,0.0000
911,0.985576,1,0.980930,-1000.0000,-900.0000,1088.0000,-991.8117,-918.8715,1007.8258,-1021.2579,-895.2963,1007.8263,1088.4370,1.0000,1.0000,0.0000
912,0.999019,1,0.994373,-1000.0000,-900.0000,1088.0000,-991.8129,-918.8697,1007.8258,-1021.2563,-895.2972,1007.8263,1088.4369,1.0000,1.0000,0.0000
