phase,foot,sole_error,normal_angle,weight,capsule_z
flat,0,0.000000,0.000000,1.000000,1088.000000
flat,1,0.000000,0.000000,1.000000,1088.000000
slope_positive,0,-0.002631,0.087796,1.000000,1088.000000
slope_positive,1,-0.000637,0.131842,1.000000,1088.000000
slope_negative,0,0.001273,0.316697,1.000000,1088.000000
slope_negative,1,0.002078,0.237674,1.000000,1088.000000
split_levels,0,-0.000122,0.783074,1.000000,1088.000000
split_levels,1,0.000122,0.409979,1.000000,1088.000000
missing_one_support,0,999.000000,90.000000,0.000000,1088.000000
missing_one_support,1,0.000000,0.458033,1.000000,1088.000000
land,0,0.000000,0.729082,1.000000,1088.000000
land,1,0.000000,0.210390,1.000000,1088.000000
steep_rejected,0,-30.591873,60.309029,0.000000,1088.000000
steep_rejected,1,-10.168395,60.155716,0.000000,1088.000000
gap_rejected,0,49.350342,0.683543,0.000000,1088.000000
gap_rejected,1,49.321358,0.186869,0.000000,1088.000000
reacquired,0,0.000000,0.096378,1.000000,1088.000000
reacquired,1,0.000000,0.023662,1.000000,1088.000000
wake,0,0.000000,0.081882,1.000000,1088.000000
wake,1,0.000000,0.127415,1.000000,1088.000000
after_teleport,0,0.000000,0.074686,1.000000,1088.000000
after_teleport,1,0.000000,0.129266,1.000000,1088.000000
after_seat,0,0.000000,0.351442,1.000000,1088.000000
after_seat,1,0.000000,0.259821,1.000000,1088.000000
