frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
991,3.013302,2,6000.0000,-1000.0000,90.0000,19.7798,8.6892,6.1324,1,1
992,3.026990,2,6000.0000,-1000.0000,90.0000,19.7792,8.6847,6.1324,1,1
993,3.426990,2,6000.0000,-1000.0000,90.0000,19.7569,8.6673,7.6901,1,1
994,3.433176,2,6000.0000,-1000.0000,90.0000,19.7539,8.6685,7.6125,1,1
995,3.435470,2,6000.0000,-1000.0000,90.0000,19.7537,8.6692,7.5838,1,1
996,3.445243,2,6000.0000,-1000.0000,90.0000,19.7531,8.6720,7.4617,1,1
997,3.456965,2,6000.0000,-1000.0000,90.0000,19.7523,8.6754,7.3153,1,1
998,3.468028,2,6000.0000,-1000.0000,90.0000,19.7520,8.6784,7.1773,1,1
999,3.478746,2,6000.0000,-1000.0000,90.0000,19.7548,8.6797,7.0442,1,1
1000,3.490038,2,6000.0000,-1000.0000,90.0000,19.7577,8.6810,6.9039,1,1
1001,3.500381,2,6000.0000,-1000.0000,90.0000,19.7604,8.6821,6.7753,1,1
1002,3.514380,2,6000.0000,-1000.0000,90.0000,19.7647,8.6780,6.6014,1,1
1003,3.523738,2,6000.0000,-1000.0000,90.0000,19.7676,8.6752,6.4850,1,1
1004,3.533271,2,6000.0000,-1000.0000,90.0000,19.7706,8.6724,6.3662,1,1
1005,3.542846,2,6000.0000,-1000.0000,90.0000,19.7703,8.6710,6.2467,1,1
1006,3.551821,2,6000.0000,-1000.0000,90.0000,19.7700,8.6697,6.1345,1,1
1007,3.562159,2,6000.0000,-1000.0000,90.0000,19.7697,8.6681,6.1324,1,1
1008,3.571541,2,6000.0000,-1000.0000,90.0000,19.7710,8.6683,6.1324,1,1
1009,3.581451,2,6000.0000,-1000.0000,90.0000,19.7738,8.6700,6.1324,1,1
1010,3.590865,2,6000.0000,-1000.0000,90.0000,19.7764,8.6716,6.1324,1,1
1011,3.600442,2,6000.0000,-1000.0000,90.0000,19.7791,8.6732,6.1324,1,1
1012,3.609722,2,6000.0000,-1000.0000,90.0000,19.7812,8.6748,6.1324,1,1
1013,3.619558,2,6000.0000,-1000.0000,90.0000,19.7833,8.6764,6.1324,1,1
1014,3.629119,2,6000.0000,-1000.0000,90.0000,19.7854,8.6780,6.1324,1,1
