frame,time,phase,age,cosmetic,head_drop,pelvis_drop,root_drift
1282,5.046504,4,0.000000,1,0.000000,0.000000,0.000000
1283,5.061140,4,0.014636,1,-0.040618,-0.017424,0.000000
1284,5.070824,4,0.024319,1,-0.010800,0.036152,0.000000
1285,5.082565,4,0.036061,1,0.256506,0.303899,0.000000
1286,5.097215,4,0.050711,1,1.369676,1.267538,0.000000
1287,5.109293,4,0.062789,1,3.034433,2.595659,0.000000
1288,5.122099,4,0.075594,1,5.576661,4.352494,0.000000
1289,5.133261,4,0.086757,1,8.374026,6.084015,0.000000
1290,5.145048,4,0.098544,1,11.715959,8.004710,0.000000
1291,5.156309,4,0.109804,1,13.965765,8.779021,0.000000
1292,5.166707,4,0.120203,1,15.484217,9.029996,0.000000
1293,5.176991,4,0.130487,1,16.729358,9.097134,0.000000
1294,5.187905,4,0.141400,1,17.552759,8.850081,0.000000
1295,5.198177,4,0.151673,1,18.231378,8.511798,0.000000
1296,5.208907,4,0.162402,1,19.044790,8.158506,0.000000
1297,5.219067,4,0.172563,1,19.856944,7.801676,0.000000
1298,5.228852,4,0.182348,1,20.725478,7.442541,0.000000
1299,5.238710,4,0.192205,1,20.181671,7.789845,0.000000
1300,5.249255,4,0.202751,1,19.955389,7.767574,0.000000
1301,5.259899,4,0.213395,1,19.786686,7.728644,0.000000
1302,5.269299,4,0.222795,1,19.759027,7.737193,0.000000
1303,5.279465,4,0.232961,1,19.867227,7.835451,0.000000
1304,5.289536,4,0.243032,1,20.103001,8.024276,0.000000
1305,5.300002,4,0.253498,1,20.469379,8.310532,0.000000
1306,5.312541,4,0.266037,1,21.072116,8.774010,0.000000
1307,5.323217,4,0.276712,1,21.696412,9.236995,0.000000
1308,5.333875,4,0.287370,1,22.427290,9.756385,0.000000
1309,5.342683,4,0.296179,1,23.103549,10.208025,0.000000
1310,5.352560,4,0.306056,1,23.952808,10.758398,0.000000
1311,5.363141,4,0.316637,1,24.975990,11.406489,0.000000
1312,5.372405,4,0.325901,1,25.960499,12.013104,0.000000
1313,5.382107,4,0.335603,1,27.088987,12.699429,0.000000
1314,5.391976,4,0.345472,1,28.338888,13.455391,0.000000
1315,5.401898,4,0.355394,1,29.698701,14.275336,0.000000
1316,5.411612,4,0.365108,1,31.129495,15.136046,0.000000
1317,5.421763,4,0.375259,1,32.725486,16.111504,0.000000
1318,5.432457,4,0.385953,1,34.523818,17.220942,0.000000
1319,5.442428,4,0.395923,1,36.307262,18.321109,0.000000
1320,5.454494,4,0.407990,1,38.615228,19.754397,0.000000
1321,5.467034,4,0.420530,1,41.152462,21.349781,0.000000
1322,5.479798,4,0.433294,1,43.903114,23.098156,0.000000
1323,5.492111,4,0.445606,1,46.735155,24.901421,0.000000
1324,5.504286,4,0.457781,1,49.704667,26.796465,0.000000
1325,5.516486,4,0.469981,1,52.842623,28.811417,0.000000
1326,5.528547,4,0.482043,1,56.100859,30.921988,0.000000
1327,5.541947,4,0.495442,1,59.566645,33.383781,0.000000
1328,5.553868,4,0.507363,1,62.576408,35.688786,0.000000
1329,5.566601,4,0.520096,1,65.884110,38.325482,0.000000
1330,5.578505,4,0.532001,1,68.912820,40.859450,0.000000
1331,5.590461,4,0.543957,1,71.768328,43.451495,0.000000
1332,5.602674,4,0.556170,1,74.535976,46.169859,0.000000
1333,5.614889,4,0.568385,1,77.142387,48.959534,0.000000
1334,5.627843,4,0.581339,1,79.802094,52.008906,0.000000
1335,5.641399,4,0.594895,1,82.443903,55.305774,0.000000
1336,5.654605,4,0.608101,1,84.569317,58.602849,0.000000
1337,5.667901,4,0.621397,1,86.352910,61.887392,0.000000
1338,5.682074,4,0.635570,1,88.162525,65.280208,0.000000
1339,5.694799,4,0.648294,1,89.404885,68.149231,0.000000
1340,5.707429,4,0.660925,1,90.463417,70.823660,0.000000
1341,5.719931,4,0.673426,1,91.249973,73.357207,0.000000
1342,5.732387,4,0.685883,1,91.551295,75.439237,0.000000
1343,5.746294,4,0.699790,1,90.637121,75.768962,0.000000
1344,5.759031,4,0.712527,1,89.610424,75.576057,0.000000
1345,5.772616,4,0.726112,1,88.642717,75.465350,0.000000
1346,5.787305,4,0.740801,1,87.629603,75.372655,0.000000
1347,5.801670,4,0.755165,1,86.582440,75.229743,0.000000
1348,5.814962,4,0.768457,1,85.476510,75.087509,0.000000
