name,frame,sim_time,yaw
static_000,908,7.040986,0.000000
static_001,910,7.242397,0.000000
static_002,912,7.406947,0.000000
static_003,914,7.567965,0.000000
static_004,916,7.725307,0.000000
static_005,918,7.882952,0.000000
static_006,920,8.043454,0.000000
static_007,922,8.202627,0.000000
static_008,924,8.360325,0.000000
static_009,926,8.517071,0.000000
pan_000,1354,14.561714,-24.824241
pan_001,1356,14.766045,-22.270110
pan_002,1358,14.921318,-20.329188
pan_003,1360,15.078281,-18.367149
pan_004,1362,15.238020,-16.370419
pan_005,1364,15.428193,-13.993256
pan_006,1366,15.611981,-11.695905
pan_007,1368,15.771325,-9.704100
pan_008,1370,15.930945,-7.708860
pan_009,1372,16.086196,-5.768222
pan_010,1374,16.243084,-3.807123
pan_011,1376,16.400729,-1.836549
pan_012,1378,16.556426,0.109662
pan_013,1380,16.709375,2.021516
pan_014,1382,16.864394,3.959255
pan_015,1384,17.021788,5.926679
pan_016,1386,17.183895,7.953020
pan_017,1388,17.345794,9.976761
pan_018,1390,17.506838,11.989805
pan_019,1392,17.668040,14.004830
pan_020,1394,17.829687,16.025425
pan_021,1396,17.990433,18.034749
pan_022,1398,18.151888,20.052929
pan_023,1400,18.313410,22.071962
pan_024,1402,18.475047,24.092415
pan_025,1404,18.633639,25.000000
pan_026,1406,18.791464,25.000000
pan_027,1408,18.978713,25.000000
pan_028,1410,19.138255,25.000000
pan_029,1412,19.297155,25.000000
pan_030,1414,19.455051,25.000000
pan_031,1416,19.615804,25.000000
walk_end,1587,21.623253,0.000000
