frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage,motion_blur_quality,dynamic_res,vsync,frame_cap
375,19.781538,305.569614,5.004000,1,0,0.0000,0.0000,88.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
376,15.960536,19.712097,7.992000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
377,45.231111,16.249363,7.992000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
378,18.560432,45.053436,4.305000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
379,19.301908,18.627994,4.228000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
380,19.579575,19.122705,4.149000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
381,21.387063,19.568763,4.751000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
382,27.728862,21.414085,4.751000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
383,16.227521,27.737711,4.162000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
384,14.926604,16.179881,3.789000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
385,12.622324,14.921083,3.761000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
386,16.320293,12.626174,3.872000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
387,13.530874,16.382855,3.821000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
388,13.723727,13.508893,3.628000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
389,15.229571,13.675377,3.832000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
390,12.579852,15.213140,3.682000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
391,12.719086,12.562141,3.722000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
392,15.433924,12.713256,3.581000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
393,13.394521,15.425795,3.581000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
394,15.752052,13.412391,3.486000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
395,12.788616,15.732471,3.486000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
396,14.168937,12.807317,3.681000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
