name,frame,sim_time,yaw
static_000,647,7.050769,0.000000
static_001,649,7.247686,0.000000
static_002,651,7.451928,0.000000
static_003,653,7.627609,0.000000
static_004,655,7.808154,0.000000
static_005,657,7.991166,0.000000
static_006,659,8.186678,0.000000
static_007,661,8.381725,0.000000
static_008,663,8.574334,0.000000
static_009,665,8.768430,0.000000
pan_000,1052,14.800786,-24.791053
pan_001,1054,14.985637,-22.480407
pan_002,1056,15.168235,-20.197942
pan_003,1058,15.349441,-17.932856
pan_004,1060,15.534666,-15.617549
pan_005,1062,15.720116,-13.299428
pan_006,1064,15.904115,-10.999433
pan_007,1066,16.089922,-8.676844
pan_008,1068,16.275677,-6.354908
pan_009,1070,16.458536,-4.069173
pan_010,1072,16.638701,-1.817114
pan_011,1074,16.845408,0.766731
pan_012,1076,17.029874,3.072551
pan_013,1078,17.234961,5.636133
pan_014,1080,17.412287,7.852715
pan_015,1082,17.589047,10.062214
pan_016,1084,17.802199,12.726617
pan_017,1086,18.014025,15.374441
pan_018,1088,18.196107,17.650469
pan_019,1090,18.406549,20.280991
pan_020,1092,18.608878,22.810097
pan_021,1094,18.789654,25.000000
pan_022,1096,18.967552,25.000000
pan_023,1098,19.176790,25.000000
pan_024,1100,19.385323,25.000000
pan_025,1102,19.567864,25.000000
pan_026,1104,19.779647,25.000000
pan_027,1106,19.962288,25.000000
pan_028,1108,20.143592,25.000000
pan_029,1110,20.346646,25.000000
pan_030,1112,20.553961,25.000000
pan_031,1114,20.771353,25.000000
walk_end,1232,22.790660,0.000000
