name,frame,sim_time,yaw
static_000,658,7.043121,0.000000
static_001,660,7.231082,0.000000
static_002,662,7.408022,0.000000
static_003,664,7.582015,0.000000
static_004,666,7.756785,0.000000
static_005,668,7.935760,0.000000
static_006,670,8.125915,0.000000
static_007,672,8.372547,0.000000
static_008,674,8.541774,0.000000
static_009,676,8.719169,0.000000
pan_000,1063,14.761697,-24.800797
pan_001,1065,14.962797,-22.287046
pan_002,1067,15.144407,-20.016925
pan_003,1069,15.323072,-17.783611
pan_004,1071,15.516314,-15.368083
pan_005,1073,15.685915,-13.248067
pan_006,1075,15.868770,-10.962389
pan_007,1077,16.048193,-8.719597
pan_008,1079,16.224114,-6.520580
pan_009,1081,16.403763,-4.274978
pan_010,1083,16.579504,-2.078208
pan_011,1085,16.759217,0.168200
pan_012,1087,16.940868,2.438842
pan_013,1089,17.117693,4.649150
pan_014,1091,17.296640,6.885995
pan_015,1093,17.508875,9.538926
pan_016,1095,17.711548,12.072338
pan_017,1097,17.887739,14.274724
pan_018,1099,18.063777,16.475200
pan_019,1101,18.272593,19.085398
pan_020,1103,18.476388,21.632838
pan_021,1105,18.651721,23.824507
pan_022,1107,18.826420,25.000000
pan_023,1109,19.002937,25.000000
pan_024,1111,19.163279,25.000000
pan_025,1113,19.336127,25.000000
pan_026,1115,19.499060,25.000000
pan_027,1117,19.698460,25.000000
pan_028,1119,19.902172,25.000000
pan_029,1121,20.076660,25.000000
pan_030,1123,20.244007,25.000000
pan_031,1125,20.407974,25.000000
walk_end,1274,22.417366,0.000000
