name,frame,sim_time,yaw
static_000,650,7.043867,0.000000
static_001,652,7.240831,0.000000
static_002,654,7.432787,0.000000
static_003,656,7.652713,0.000000
static_004,658,7.889360,0.000000
static_005,660,8.071499,0.000000
static_006,662,8.265136,0.000000
static_007,664,8.444875,0.000000
static_008,666,8.631569,0.000000
static_009,668,8.813001,0.000000
pan_000,1039,14.840406,-24.856575
pan_001,1041,15.021929,-22.587529
pan_002,1043,15.209084,-20.248097
pan_003,1045,15.395075,-17.923209
pan_004,1047,15.585954,-15.537221
pan_005,1049,15.770003,-13.236606
pan_006,1051,15.955840,-10.913644
pan_007,1053,16.142309,-8.582783
pan_008,1055,16.329954,-6.237219
pan_009,1057,16.518067,-3.885802
pan_010,1059,16.712323,-1.457606
pan_011,1061,16.902856,0.924050
pan_012,1063,17.092542,3.295128
pan_013,1065,17.289855,5.761537
pan_014,1067,17.486129,8.214973
pan_015,1069,17.662106,10.414677
pan_016,1071,17.845899,12.712091
pan_017,1073,18.053682,15.309378
pan_018,1075,18.262931,17.924990
pan_019,1077,18.440721,20.147364
pan_020,1079,18.648369,22.742967
pan_021,1081,18.835795,25.000000
pan_022,1083,19.043368,25.000000
pan_023,1085,19.219013,25.000000
pan_024,1087,19.421635,25.000000
pan_025,1089,19.592863,25.000000
pan_026,1091,19.780046,25.000000
pan_027,1093,19.955300,25.000000
pan_028,1095,20.129130,25.000000
pan_029,1097,20.304453,25.000000
pan_030,1099,20.493359,25.000000
pan_031,1101,20.665156,25.000000
walk_end,1271,22.677521,0.000000
