name,frame,sim_time,yaw
static_000,875,7.025058,0.000000
static_001,877,7.179697,0.000000
static_002,881,7.331684,0.000000
static_003,883,7.492581,0.000000
static_004,885,7.644031,0.000000
static_005,887,7.797394,0.000000
static_006,889,7.953105,0.000000
static_007,891,8.112293,0.000000
static_008,893,8.264564,0.000000
static_009,895,8.423039,0.000000
pan_000,1331,14.456490,-24.840185
pan_001,1333,14.650947,-22.409476
pan_002,1335,14.809964,-20.421760
pan_003,1337,14.965684,-18.475257
pan_004,1339,15.117993,-16.571403
pan_005,1341,15.271755,-14.649372
pan_006,1343,15.452486,-12.390233
pan_007,1345,15.605722,-10.474789
pan_008,1347,15.757843,-8.573275
pan_009,1349,15.936510,-6.339940
pan_010,1351,16.124372,-3.991661
pan_011,1353,16.278194,-2.068881
pan_012,1355,16.430172,-0.169162
pan_013,1357,16.620459,2.209422
pan_014,1359,16.775184,4.143484
pan_015,1361,16.942118,6.230165
pan_016,1363,17.098877,8.189656
pan_017,1365,17.259784,10.200991
pan_018,1367,17.452546,12.610518
pan_019,1369,17.611323,14.595225
pan_020,1371,17.794733,16.887847
pan_021,1373,17.949595,18.823632
pan_022,1375,18.108192,20.806093
pan_023,1377,18.268407,22.808776
pan_024,1379,18.426151,24.780575
pan_025,1381,18.608857,25.000000
pan_026,1383,18.767903,25.000000
pan_027,1385,18.926671,25.000000
pan_028,1387,19.086573,25.000000
pan_029,1389,19.246066,25.000000
pan_030,1391,19.403675,25.000000
pan_031,1393,19.562709,25.000000
walk_end,1535,21.582379,0.000000
