frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage,motion_blur_quality,dynamic_res,vsync,frame_cap
407,16.270199,333.705688,7.557000,1,0,0.0000,0.0000,88.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
408,13.400275,16.224468,7.557000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
409,15.832210,13.365305,13.958000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
410,18.154541,16.419033,6.894000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
411,16.091225,17.614328,6.894000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
412,20.262797,16.023744,6.913000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
413,17.126169,20.275598,6.913000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
414,17.215010,17.068407,6.931000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
415,13.270902,17.349823,6.931000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
416,15.239227,13.223552,6.424000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
417,11.962304,15.283418,6.424000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
418,12.463586,11.939633,6.415000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
419,11.788070,12.410554,6.415000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
420,12.872283,11.801681,6.320000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
421,9.573312,12.961796,6.737000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
422,12.783622,9.481999,6.620000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
423,11.089015,12.767682,6.716000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
424,11.877173,11.033774,6.671000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
425,10.340138,11.861232,6.606000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
426,10.867980,10.302287,6.606000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
427,13.781404,10.862850,6.550000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
428,14.812076,13.787524,6.672000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
429,12.714721,14.818278,6.521000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
430,11.531135,13.016997,6.244000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
431,11.306840,11.302479,6.208000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
432,13.678072,11.271079,6.218000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
433,11.710608,13.647591,6.221000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
434,12.003005,11.716179,6.172000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
435,11.862102,12.001035,6.176000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
436,12.210619,11.884352,6.437000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
437,15.125425,12.202880,6.248000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
438,14.448439,15.238646,6.367000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
439,14.722665,14.430528,6.199000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
440,16.299359,14.687755,6.351000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
441,13.831866,16.299570,6.297000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
442,14.405938,13.870406,6.315000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
443,14.018959,14.406859,6.297000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
444,14.335657,14.021989,6.226000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
445,11.186347,14.415738,6.326000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
446,12.081767,11.056124,6.374000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
447,13.174380,12.244410,6.225000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
448,15.651936,12.930916,6.232000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
