name,frame,sim_time,yaw
static_000,744,7.049350,0.000000
static_001,746,7.232605,0.000000
static_002,748,7.407335,0.000000
static_003,750,7.576012,0.000000
static_004,752,7.746120,0.000000
static_005,754,7.919772,0.000000
static_006,756,8.110990,0.000000
static_007,758,8.291365,0.000000
static_008,760,8.490116,0.000000
static_009,762,8.684014,0.000000
pan_000,1144,14.722071,-24.860013
pan_001,1146,14.905912,-22.561993
pan_002,1148,15.087621,-20.290641
pan_003,1150,15.264355,-18.081455
pan_004,1152,15.439378,-15.893676
pan_005,1154,15.619878,-13.637418
pan_006,1156,15.797100,-11.422148
pan_007,1158,16.000804,-8.875846
pan_008,1160,16.182318,-6.606926
pan_009,1162,16.386450,-4.055278
pan_010,1164,16.575398,-1.693424
pan_011,1166,16.745504,0.432903
pan_012,1168,16.922208,2.641703
pan_013,1170,17.094121,4.790612
pan_014,1172,17.272010,7.014224
pan_015,1174,17.449945,9.238418
pan_016,1176,17.659373,11.856259
pan_017,1178,17.867887,14.462690
pan_018,1180,18.070997,17.001563
pan_019,1182,18.249116,19.228050
pan_020,1184,18.425201,21.429111
pan_021,1186,18.631577,24.008817
pan_022,1188,18.813470,25.000000
pan_023,1190,18.996915,25.000000
pan_024,1192,19.178223,25.000000
pan_025,1194,19.359586,25.000000
pan_026,1196,19.536582,25.000000
pan_027,1198,19.713797,25.000000
pan_028,1200,19.919952,25.000000
pan_029,1202,20.126528,25.000000
pan_030,1204,20.330199,25.000000
pan_031,1206,20.529196,25.000000
walk_end,1336,22.544397,0.000000
