name,frame,sim_time,yaw
static_000,755,7.039605,0.000000
static_001,757,7.229946,0.000000
static_002,759,7.408583,0.000000
static_003,761,7.594143,0.000000
static_004,763,7.764360,0.000000
static_005,765,7.947791,0.000000
static_006,767,8.136148,0.000000
static_007,769,8.333136,0.000000
static_008,771,8.519902,0.000000
static_009,773,8.722672,0.000000
pan_000,1172,14.768060,-24.779520
pan_001,1174,14.959295,-22.389088
pan_002,1176,15.130932,-20.243619
pan_003,1178,15.309003,-18.017738
pan_004,1180,15.499914,-15.631344
pan_005,1182,15.684686,-13.321697
pan_006,1184,15.881156,-10.865816
pan_007,1186,16.047088,-8.791668
pan_008,1188,16.234034,-6.454846
pan_009,1190,16.407905,-4.281463
pan_010,1192,16.568570,-2.273145
pan_011,1194,16.739113,-0.141354
pan_012,1196,16.939151,2.359112
pan_013,1198,17.114801,4.554742
pan_014,1200,17.293521,6.788737
pan_015,1202,17.472054,9.020402
pan_016,1204,17.650296,11.248436
pan_017,1206,17.828992,13.482129
pan_018,1208,18.009266,15.735551
pan_019,1210,18.173197,17.784689
pan_020,1212,18.341689,19.890846
pan_021,1214,18.512406,22.024809
pan_022,1216,18.682722,24.153760
pan_023,1218,18.853996,25.000000
pan_024,1220,19.035135,25.000000
pan_025,1222,19.209041,25.000000
pan_026,1224,19.385989,25.000000
pan_027,1226,19.570953,25.000000
pan_028,1228,19.730027,25.000000
pan_029,1230,19.930445,25.000000
pan_030,1232,20.133126,25.000000
pan_031,1234,20.335471,25.000000
walk_end,1395,22.342419,0.000000
