name,frame,sim_time,yaw
static_000,968,7.029837,0.000000
static_001,970,7.217057,0.000000
static_002,972,7.408488,0.000000
static_003,974,7.569959,0.000000
static_004,976,7.729625,0.000000
static_005,978,7.918098,0.000000
static_006,980,8.076425,0.000000
static_007,982,8.236220,0.000000
static_008,984,8.399629,0.000000
static_009,986,8.589238,0.000000
pan_000,1438,14.625966,-24.856822
pan_001,1440,14.805498,-22.612671
pan_002,1442,14.961411,-20.663759
pan_003,1444,15.117269,-18.715534
pan_004,1446,15.280589,-16.674030
pan_005,1448,15.437941,-14.707129
pan_006,1450,15.619781,-12.434137
pan_007,1452,15.760995,-10.668966
pan_008,1454,15.907437,-8.838438
pan_009,1456,16.086830,-6.596025
pan_010,1458,16.242158,-4.654421
pan_011,1460,16.397709,-2.710032
pan_012,1462,16.553579,-0.761659
pan_013,1464,16.709421,1.186365
pan_014,1466,16.867831,3.166489
pan_015,1468,17.027348,5.160456
pan_016,1470,17.189100,7.182351
pan_017,1472,17.349510,9.187471
pan_018,1474,17.521505,11.337415
pan_019,1476,17.678688,13.302199
pan_020,1478,17.839086,15.307180
pan_021,1480,18.000005,17.318659
pan_022,1482,18.160494,19.324780
pan_023,1484,18.320498,21.324822
pan_024,1486,18.479918,23.317583
pan_025,1488,18.640862,25.000000
pan_026,1490,18.801309,25.000000
pan_027,1492,18.959728,25.000000
pan_028,1494,19.152273,25.000000
pan_029,1496,19.311122,25.000000
pan_030,1498,19.471091,25.000000
pan_031,1500,19.663097,25.000000
walk_end,1639,21.666429,0.000000
