name,frame,sim_time,yaw
static_000,943,7.035277,0.000000
static_001,945,7.213794,0.000000
static_002,947,7.381808,0.000000
static_003,949,7.569552,0.000000
static_004,951,7.760544,0.000000
static_005,953,7.930176,0.000000
static_006,955,8.098516,0.000000
static_007,957,8.270158,0.000000
static_008,959,8.465846,0.000000
static_009,961,8.665052,0.000000
pan_000,1468,14.693229,-24.848888
pan_001,1470,14.868941,-22.652485
pan_002,1472,15.070280,-20.135741
pan_003,1474,15.277341,-17.547480
pan_004,1476,15.451703,-15.367965
pan_005,1478,15.625446,-13.196167
pan_006,1480,15.800515,-11.007805
pan_007,1482,16.006406,-8.434176
pan_008,1484,16.179323,-6.272709
pan_009,1486,16.343633,-4.218838
pan_010,1488,16.509207,-2.149164
pan_011,1490,16.679058,-0.026025
pan_012,1492,16.846586,2.068081
pan_013,1494,17.044200,4.538259
pan_014,1496,17.215003,6.673287
pan_015,1498,17.383955,8.785188
pan_016,1500,17.553423,10.903545
pan_017,1502,17.721847,13.008840
pan_018,1504,17.921394,15.503180
pan_019,1506,18.092947,17.647589
pan_020,1508,18.285362,20.052781
pan_021,1510,18.463210,22.275877
pan_022,1512,18.664447,24.791342
pan_023,1514,18.867150,25.000000
pan_024,1516,19.035394,25.000000
pan_025,1518,19.233820,25.000000
pan_026,1520,19.436510,25.000000
pan_027,1522,19.634623,25.000000
pan_028,1524,19.806598,25.000000
pan_029,1526,19.975223,25.000000
pan_030,1528,20.168805,25.000000
pan_031,1530,20.376385,25.000000
walk_end,1681,22.392576,0.000000
