frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage
796,16.071077,234.518431,0,1,0,0.0000,0.0000,88.0000,0.0000,0,4.0,100.00
797,17.375167,16.047227,0,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00
798,16.585728,17.298275,0,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00
799,16.914396,16.730981,0,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00
800,17.998030,17.027598,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,4.0,100.00
801,19.079044,17.924679,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
802,24.464854,19.025172,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
803,17.379876,24.502015,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
804,12.983959,17.309725,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
805,14.896861,12.994149,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
806,14.387959,14.895281,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
807,14.737798,14.358468,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
808,13.238114,14.766669,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
809,13.841858,13.258094,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
810,13.835427,13.825998,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
811,13.328046,13.871778,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
812,13.100511,13.380657,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
813,13.801597,12.991259,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
814,12.938188,13.765126,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
815,12.516008,12.953638,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
816,12.879906,12.476038,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
817,13.244215,12.878446,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
818,13.191463,13.451368,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
819,13.779156,12.986589,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
820,13.020470,13.777436,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
821,13.666483,13.019070,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
822,13.659954,13.804597,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
823,13.501919,13.646482,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
824,13.325377,13.441020,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
825,13.569411,13.313565,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
826,13.684284,13.613713,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
827,13.107002,13.714094,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
828,13.593032,13.059620,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
829,13.934990,13.564352,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
830,13.657553,13.939470,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
831,12.444937,13.688174,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
832,12.663051,12.402016,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
833,13.262695,12.660192,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
834,12.914936,13.296175,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
835,14.933752,12.847065,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
836,13.482750,14.997364,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
837,13.345717,13.526750,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
838,12.728313,13.304735,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
839,13.756066,12.768514,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
840,14.366599,13.744826,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
841,13.584342,14.339648,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
842,12.817064,13.556562,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
843,12.486838,12.803055,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
844,12.721593,12.521297,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
845,12.401855,12.683613,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
846,13.081721,12.430245,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
847,13.373657,13.083721,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
848,14.252227,13.354468,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
849,15.439533,14.315837,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
850,13.038370,15.434823,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
851,13.263374,13.001699,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
852,13.130803,13.263355,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
853,13.799026,13.117732,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
854,13.526101,13.792257,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
855,13.795316,13.575491,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
856,14.831429,13.735855,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
857,14.231377,14.841270,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
858,13.831898,14.256487,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
859,12.701401,13.796177,0,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
