frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage
796,16.071077,234.518431,4.126000,1,0,0.0000,0.0000,88.0000,0.0000,0,1,100.00
797,17.375167,16.047227,7.877000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00
798,16.585728,17.298275,7.877000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00
799,16.914396,16.730981,4.197000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00
800,17.998030,17.027598,3.969000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,4.0,100.00
801,19.079044,17.924679,3.719000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
802,24.464854,19.025172,3.719000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
803,17.379876,24.502015,4.525000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
804,12.983959,17.309725,4.054000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
805,14.896861,12.994149,3.688000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
806,14.387959,14.895281,3.707000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
807,14.737798,14.358468,3.641000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
808,13.238114,14.766669,3.748000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
809,13.841858,13.258094,3.625000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
810,13.835427,13.825998,3.618000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
811,13.328046,13.871778,3.685000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
812,13.100511,13.380657,3.629000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
813,13.801597,12.991259,3.573000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
814,12.938188,13.765126,3.538000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
815,12.516008,12.953638,3.545000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
816,12.879906,12.476038,3.539000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
817,13.244215,12.878446,3.543000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
818,13.191463,13.451368,3.520000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
819,13.779156,12.986589,3.561000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
820,13.020470,13.777436,3.481000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
821,13.666483,13.019070,3.667000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
822,13.659954,13.804597,3.543000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
823,13.501919,13.646482,3.613000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
824,13.325377,13.441020,3.558000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
825,13.569411,13.313565,3.523000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
826,13.684284,13.613713,3.614000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
827,13.107002,13.714094,3.628000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
828,13.593032,13.059620,3.476000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
829,13.934990,13.564352,3.579000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
830,13.657553,13.939470,3.535000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
831,12.444937,13.688174,3.529000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
832,12.663051,12.402016,3.580000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
833,13.262695,12.660192,3.536000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
834,12.914936,13.296175,3.595000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
835,14.933752,12.847065,3.530000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
836,13.482750,14.997364,3.510000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
837,13.345717,13.526750,3.471000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
838,12.728313,13.304735,3.507000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
839,13.756066,12.768514,3.631000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
840,14.366599,13.744826,3.443000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
841,13.584342,14.339648,3.552000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
842,12.817064,13.556562,3.571000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
843,12.486838,12.803055,3.492000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
844,12.721593,12.521297,3.537000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
845,12.401855,12.683613,3.492000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
846,13.081721,12.430245,3.530000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
847,13.373657,13.083721,3.545000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
848,14.252227,13.354468,3.526000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
849,15.439533,14.315837,3.579000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
850,13.038370,15.434823,3.495000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
851,13.263374,13.001699,3.496000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
852,13.130803,13.263355,3.459000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
853,13.799026,13.117732,3.447000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
854,13.526101,13.792257,3.558000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
855,13.795316,13.575491,3.569000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
856,14.831429,13.735855,3.451000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
857,14.231377,14.841270,3.571000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
858,13.831898,14.256487,3.527000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
859,12.701401,13.796177,3.529000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
860,12.301835,12.699021,3.552000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
861,13.502149,12.306064,3.532000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
862,12.976828,13.500270,3.606000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
863,15.582947,12.980568,3.494000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
864,13.167863,17.510840,3.515000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
865,12.915087,11.289081,3.561000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
866,12.182730,12.896826,3.514000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
867,12.923668,12.174781,3.568000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
868,12.445026,12.924887,3.490000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
869,12.599120,12.464306,3.464000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
870,12.964608,12.593421,3.529000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
871,13.088881,12.971768,3.542000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00
