name,frame,sim_time,yaw
static_000,1332,7.023661,0
static_001,1334,7.435691,0
static_002,1336,7.607352,0
static_003,1338,7.765240,0
static_004,1340,7.921224,0
static_005,1342,8.076776,0
static_006,1344,8.231836,0
static_007,1346,8.391689,0
static_008,1348,8.552044,0
static_009,1350,8.710804,0
pan_000,1837,14.744120,0
pan_001,1839,14.949190,0
pan_002,1841,15.104555,0
pan_003,1843,15.261367,0
pan_004,1845,15.419030,0
pan_005,1847,15.577070,0
pan_006,1849,15.734980,0
pan_007,1851,15.891589,0
pan_008,1853,16.045414,0
pan_009,1855,16.201936,0
pan_010,1857,16.358725,0
pan_011,1859,16.516853,0
pan_012,1861,16.672119,0
pan_013,1863,16.832929,0
pan_014,1865,16.986968,0
pan_015,1867,17.146929,0
pan_016,1869,17.303010,0
pan_017,1871,17.448862,0
pan_018,1873,17.601074,0
pan_019,1875,17.757818,0
pan_020,1877,17.910934,0
pan_021,1879,18.060948,0
pan_022,1881,18.213438,0
pan_023,1883,18.368495,0
pan_024,1885,18.522641,0
pan_025,1887,18.674111,0
pan_026,1889,18.824423,0
pan_027,1891,18.978587,0
pan_028,1893,19.131488,0
pan_029,1895,19.285637,0
pan_030,1897,19.470183,0
pan_031,1899,19.624985,0
walk_end,2063,21.629433,0
