name,frame,sim_time,yaw
static_000,918,7.036012,0.000000
static_001,920,7.206441,0.000000
static_002,922,7.390338,0.000000
static_003,924,7.578254,0.000000
static_004,926,7.741261,0.000000
static_005,928,7.938155,0.000000
static_006,930,8.100484,0.000000
static_007,932,8.264919,0.000000
static_008,934,8.423489,0.000000
static_009,936,8.612955,0.000000
pan_000,1388,14.655921,-24.823354
pan_001,1390,14.841834,-22.499448
pan_002,1392,15.019266,-20.281550
pan_003,1394,15.206058,-17.946641
pan_004,1396,15.363406,-15.979799
pan_005,1398,15.516647,-14.064284
pan_006,1400,15.670614,-12.139695
pan_007,1402,15.825674,-10.201440
pan_008,1404,15.979110,-8.283492
pan_009,1406,16.133836,-6.349423
pan_010,1408,16.288969,-4.410254
pan_011,1410,16.444841,-2.461861
pan_012,1412,16.602589,-0.490010
pan_013,1414,16.789119,1.841622
pan_014,1416,16.946178,3.804848
pan_015,1418,17.134460,6.158379
pan_016,1420,17.292294,8.131306
pan_017,1422,17.449144,10.091934
pan_018,1424,17.607284,12.068675
pan_019,1426,17.764954,14.039560
pan_020,1428,17.923345,16.019446
pan_021,1430,18.082906,18.013955
pan_022,1432,18.241627,19.997971
pan_023,1434,18.403463,22.020916
pan_024,1436,18.568224,24.080424
pan_025,1438,18.731425,25.000000
pan_026,1440,18.893576,25.000000
pan_027,1442,19.090716,25.000000
pan_028,1444,19.251646,25.000000
pan_029,1446,19.412899,25.000000
pan_030,1448,19.573295,25.000000
pan_031,1450,19.735656,25.000000
walk_end,1598,21.746153,0.000000
