name,frame,sim_time,yaw
static_000,742,7.059861,0.000000
static_001,744,7.254532,0.000000
static_002,746,7.446028,0.000000
static_003,748,7.634697,0.000000
static_004,750,7.834599,0.000000
static_005,752,8.046384,0.000000
static_006,754,8.235489,0.000000
static_007,756,8.430105,0.000000
static_008,758,8.616646,0.000000
static_009,760,8.798684,0.000000
pan_000,1134,14.849777,-24.796973
pan_001,1136,15.025610,-22.599054
pan_002,1138,15.197780,-20.446927
pan_003,1140,15.398818,-17.933964
pan_004,1142,15.568403,-15.814149
pan_005,1144,15.739548,-13.674835
pan_006,1146,15.910767,-11.534600
pan_007,1148,16.085328,-9.352579
pan_008,1150,16.257141,-7.204920
pan_009,1152,16.460188,-4.666828
pan_010,1154,16.662984,-2.131885
pan_011,1156,16.868154,0.432747
pan_012,1158,17.073214,2.995996
pan_013,1160,17.250089,5.206931
pan_014,1162,17.413917,7.254778
pan_015,1164,17.578439,9.311307
pan_016,1166,17.751761,11.477833
pan_017,1168,17.916664,13.539123
pan_018,1170,18.114065,16.006631
pan_019,1172,18.319206,18.570889
pan_020,1174,18.531075,21.219252
pan_021,1176,18.708564,23.437862
pan_022,1178,18.887425,25.000000
pan_023,1180,19.100687,25.000000
pan_024,1182,19.284049,25.000000
pan_025,1184,19.488879,25.000000
pan_026,1186,19.693150,25.000000
pan_027,1188,19.869985,25.000000
pan_028,1190,20.050353,25.000000
pan_029,1192,20.243752,25.000000
pan_030,1194,20.449777,25.000000
pan_031,1196,20.654913,25.000000
walk_end,1321,22.665789,0.000000
