name,frame,sim_time,yaw
static_000,802,7.044196,0.000000
static_001,804,7.241977,0.000000
static_002,806,7.414248,0.000000
static_003,808,7.614677,0.000000
static_004,810,7.784383,0.000000
static_005,812,7.983748,0.000000
static_006,814,8.152821,0.000000
static_007,816,8.324193,0.000000
static_008,818,8.493204,0.000000
static_009,820,8.667225,0.000000
pan_000,1241,14.692013,-24.852153
pan_001,1243,14.895765,-22.305251
pan_002,1245,15.074443,-20.071770
pan_003,1247,15.241211,-17.987168
pan_004,1249,15.406313,-15.923399
pan_005,1251,15.575555,-13.807871
pan_006,1253,15.772038,-11.351840
pan_007,1255,15.943086,-9.213733
pan_008,1257,16.140406,-6.747229
pan_009,1259,16.340730,-4.243181
pan_010,1261,16.509088,-2.138710
pan_011,1263,16.713286,0.413761
pan_012,1265,16.883090,2.536318
pan_013,1267,17.090423,5.127982
pan_014,1269,17.292339,7.651923
pan_015,1271,17.491228,10.138040
pan_016,1273,17.689914,12.621610
pan_017,1275,17.891942,15.146968
pan_018,1277,18.066436,17.328145
pan_019,1279,18.239048,19.485793
pan_020,1281,18.411224,21.637994
pan_021,1283,18.583224,23.787987
pan_022,1285,18.787485,25.000000
pan_023,1287,18.962084,25.000000
pan_024,1289,19.132870,25.000000
pan_025,1291,19.306976,25.000000
pan_026,1293,19.483280,25.000000
pan_027,1295,19.682696,25.000000
pan_028,1297,19.857490,25.000000
pan_029,1299,20.031354,25.000000
pan_030,1301,20.228937,25.000000
pan_031,1303,20.399729,25.000000
walk_end,1429,22.406295,0.000000
