name,frame,sim_time,yaw
static_000,952,7.045781,0.000000
static_001,954,7.209236,0.000000
static_002,956,7.366797,0.000000
static_003,958,7.547233,0.000000
static_004,960,7.698500,0.000000
static_005,962,7.852892,0.000000
static_006,964,8.005564,0.000000
static_007,966,8.160600,0.000000
static_008,968,8.343519,0.000000
static_009,970,8.498500,0.000000
pan_000,1446,14.521812,-24.825475
pan_001,1448,14.701677,-22.577155
pan_002,1450,14.852141,-20.696358
pan_003,1452,15.004643,-18.790082
pan_004,1454,15.157062,-16.884851
pan_005,1456,15.309631,-14.977735
pan_006,1458,15.462747,-13.063783
pan_007,1460,15.616894,-11.136949
pan_008,1462,15.772733,-9.188965
pan_009,1464,15.928118,-7.246643
pan_010,1466,16.113245,-4.932565
pan_011,1468,16.267899,-2.999382
pan_012,1470,16.422518,-1.066646
pan_013,1472,16.578674,0.885298
pan_014,1474,16.728237,2.754844
pan_015,1476,16.878047,4.627470
pan_016,1478,17.028095,6.503059
pan_017,1480,17.181340,8.418631
pan_018,1482,17.333742,10.323647
pan_019,1484,17.483702,12.198149
pan_020,1486,17.635425,14.094693
pan_021,1488,17.783123,15.940909
pan_022,1490,17.938278,17.880348
pan_023,1492,18.094532,19.833529
pan_024,1494,18.250591,21.784262
pan_025,1496,18.403982,23.701653
pan_026,1498,18.583066,25.000000
pan_027,1500,18.736027,25.000000
pan_028,1502,18.891501,25.000000
pan_029,1504,19.046733,25.000000
pan_030,1506,19.204183,25.000000
pan_031,1508,19.390876,25.000000
walk_end,1652,21.398240,0.000000
