name,frame,sim_time,yaw
static_000,897,7.033027,0.000000
static_001,899,7.197329,0.000000
static_002,901,7.360926,0.000000
static_003,903,7.514701,0.000000
static_004,905,7.677125,0.000000
static_005,907,7.846037,0.000000
static_006,909,8.014584,0.000000
static_007,911,8.186138,0.000000
static_008,913,8.371539,0.000000
static_009,915,8.561530,0.000000
pan_000,1370,14.588304,-24.850952
pan_001,1372,14.787176,-22.365046
pan_002,1374,14.947044,-20.366691
pan_003,1376,15.103488,-18.411148
pan_004,1378,15.259711,-16.458354
pan_005,1380,15.417455,-14.486560
pan_006,1382,15.575819,-12.507015
pan_007,1384,15.735550,-10.510367
pan_008,1386,15.895994,-8.504817
pan_009,1388,16.060888,-6.443645
pan_010,1390,16.257688,-3.983642
pan_011,1392,16.417422,-1.986976
pan_012,1394,16.564746,-0.145426
pan_013,1396,16.723310,1.836626
pan_014,1398,16.877424,3.763049
pan_015,1400,17.023655,5.590946
pan_016,1402,17.179099,7.533987
pan_017,1404,17.332723,9.454287
pan_018,1406,17.487552,11.389647
pan_019,1408,17.674361,13.724768
pan_020,1410,17.856487,16.001345
pan_021,1412,18.011648,17.940847
pan_022,1414,18.169291,19.911391
pan_023,1416,18.321984,21.820053
pan_024,1418,18.474291,23.723889
pan_025,1420,18.633808,25.000000
pan_026,1422,18.790243,25.000000
pan_027,1424,18.972408,25.000000
pan_028,1426,19.134841,25.000000
pan_029,1428,19.295014,25.000000
pan_030,1430,19.456659,25.000000
pan_031,1432,19.618322,25.000000
walk_end,1583,21.625924,0.000000
