frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
1,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
2,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
3,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
4,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
5,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
6,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
7,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
8,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
9,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
10,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
11,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
12,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
13,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
14,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
15,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
16,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
17,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
18,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
19,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
20,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
21,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
22,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
23,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
24,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
25,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
26,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
27,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
28,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
29,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
30,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
31,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
32,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
33,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
34,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
35,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
36,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
37,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
38,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
39,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
40,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
41,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
42,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
43,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
44,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
45,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
46,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
47,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
48,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
49,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
50,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
51,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
52,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
53,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
54,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
55,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
56,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
57,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
58,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
59,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
60,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
61,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
62,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
63,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
64,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720
