frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height,feature_sm6,nanite_supported,nanite_enabled,vsm_enabled,lumen_supported
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
0,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
1,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
2,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
3,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
4,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
5,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
6,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
7,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
8,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
9,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
10,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
11,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
12,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
13,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
14,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
15,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
17,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
18,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
19,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
20,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
21,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
22,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
23,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
24,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
25,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
26,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
27,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
28,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
29,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
30,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
31,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
32,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
33,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
34,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
35,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
36,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
37,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
38,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
39,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
40,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
41,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
42,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
43,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
44,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
45,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
