name,frame,sim_time,yaw
static_000,708,7.042344,0.000000
static_001,710,7.234948,0.000000
static_002,712,7.411781,0.000000
static_003,714,7.597301,0.000000
static_004,716,7.779478,0.000000
static_005,718,7.974067,0.000000
static_006,720,8.175646,0.000000
static_007,722,8.353065,0.000000
static_008,724,8.528840,0.000000
static_009,726,8.711806,0.000000
pan_000,1116,14.752126,-24.846837
pan_001,1118,14.926307,-22.669580
pan_002,1120,15.117823,-20.275625
pan_003,1122,15.293327,-18.081827
pan_004,1124,15.466263,-15.920129
pan_005,1126,15.667737,-13.401702
pan_006,1128,15.865688,-10.927308
pan_007,1130,16.038230,-8.770536
pan_008,1132,16.242208,-6.220810
pan_009,1134,16.413691,-4.077280
pan_010,1136,16.585560,-1.928909
pan_011,1138,16.760415,0.256778
pan_012,1140,16.967271,2.842469
pan_013,1142,17.146196,5.079036
pan_014,1144,17.324065,7.302403
pan_015,1146,17.500254,9.504768
pan_016,1148,17.703428,12.044441
pan_017,1150,17.882571,14.283729
pan_018,1152,18.093562,16.921112
pan_019,1154,18.305159,19.566077
pan_020,1156,18.483175,21.791274
pan_021,1158,18.696767,24.461169
pan_022,1160,18.906538,25.000000
pan_023,1162,19.095200,25.000000
pan_024,1164,19.270127,25.000000
pan_025,1166,19.479703,25.000000
pan_026,1168,19.655496,25.000000
pan_027,1170,19.865538,25.000000
pan_028,1172,20.073898,25.000000
pan_029,1174,20.312074,25.000000
pan_030,1176,20.489004,25.000000
pan_031,1178,20.671436,25.000000
walk_end,1300,22.675131,0.000000
