name,frame,sim_time,yaw
static_000,783,7.044442,0.000000
static_001,785,7.248682,0.000000
static_002,787,7.452693,0.000000
static_003,789,7.651002,0.000000
static_004,791,7.851328,0.000000
static_005,793,8.022436,0.000000
static_006,795,8.225640,0.000000
static_007,797,8.408637,0.000000
static_008,799,8.607802,0.000000
static_009,801,8.810633,0.000000
pan_000,1183,14.865178,-24.791073
pan_001,1185,15.061524,-22.336751
pan_002,1187,15.230060,-20.230058
pan_003,1189,15.432272,-17.702401
pan_004,1191,15.636269,-15.152445
pan_005,1193,15.844534,-12.549134
pan_006,1195,16.045683,-10.034769
pan_007,1197,16.250085,-7.479737
pan_008,1199,16.451240,-4.965298
pan_009,1201,16.624771,-2.796171
pan_010,1203,16.801668,-0.584958
pan_011,1205,16.978709,1.628055
pan_012,1207,17.155539,3.838432
pan_013,1209,17.329954,6.018622
pan_014,1211,17.506373,8.223859
pan_015,1213,17.683759,10.441184
pan_016,1215,17.894888,13.080292
pan_017,1217,18.070317,15.273161
pan_018,1219,18.248442,17.499722
pan_019,1221,18.427172,19.733848
pan_020,1223,18.602708,21.928046
pan_021,1225,18.810904,24.530500
pan_022,1227,18.986398,25.000000
pan_023,1229,19.161510,25.000000
pan_024,1231,19.335055,25.000000
pan_025,1233,19.508245,25.000000
pan_026,1235,19.678433,25.000000
pan_027,1237,19.847764,25.000000
pan_028,1239,20.019056,25.000000
pan_029,1241,20.219875,25.000000
pan_030,1243,20.422110,25.000000
pan_031,1245,20.599285,25.000000
walk_end,1366,22.613268,0.000000
