name,frame,sim_time,yaw
static_000,821,7.041157,0.000000
static_001,823,7.246847,0.000000
static_002,825,7.447700,0.000000
static_003,827,7.620463,0.000000
static_004,829,7.796896,0.000000
static_005,831,8.000848,0.000000
static_006,833,8.204290,0.000000
static_007,835,8.375646,0.000000
static_008,837,8.546424,0.000000
static_009,839,8.746056,0.000000
pan_000,1253,14.779901,-24.823310
pan_001,1255,14.987393,-22.229667
pan_002,1257,15.188400,-19.717076
pan_003,1259,15.388963,-17.210040
pan_004,1261,15.555220,-15.131823
pan_005,1263,15.749226,-12.706749
pan_006,1265,15.954434,-10.141644
pan_007,1267,16.115689,-8.125967
pan_008,1269,16.315608,-5.626972
pan_009,1271,16.517034,-3.109148
pan_010,1273,16.692306,-0.918244
pan_011,1275,16.894016,1.603122
pan_012,1277,17.073070,3.841302
pan_013,1279,17.276639,6.385911
pan_014,1281,17.454909,8.614295
pan_015,1283,17.664995,11.240361
pan_016,1285,17.848578,13.535152
pan_017,1287,18.023506,15.721746
pan_018,1289,18.226020,18.253170
pan_019,1291,18.396929,20.389540
pan_020,1293,18.568208,22.530530
pan_021,1295,18.744250,24.731050
pan_022,1297,18.917287,25.000000
pan_023,1299,19.121957,25.000000
pan_024,1301,19.326596,25.000000
pan_025,1303,19.500418,25.000000
pan_026,1305,19.677406,25.000000
pan_027,1307,19.854526,25.000000
pan_028,1309,20.056135,25.000000
pan_029,1311,20.257993,25.000000
pan_030,1313,20.462925,25.000000
pan_031,1315,20.635151,25.000000
walk_end,1464,22.645571,0.000000
