name,frame,sim_time,yaw
static_000,843,7.039606,0.000000
static_001,845,7.252009,0.000000
static_002,847,7.426704,0.000000
static_003,849,7.628201,0.000000
static_004,851,7.795820,0.000000
static_005,853,7.961975,0.000000
static_006,855,8.158615,0.000000
static_007,857,8.330949,0.000000
static_008,859,8.502499,0.000000
static_009,861,8.673952,0.000000
pan_000,1293,14.698700,-24.814750
pan_001,1295,14.894825,-22.363186
pan_002,1297,15.061272,-20.282603
pan_003,1299,15.260960,-17.786503
pan_004,1301,15.425204,-15.733452
pan_005,1303,15.582894,-13.762334
pan_006,1305,15.751272,-11.657601
pan_007,1307,15.915014,-9.610830
pan_008,1309,16.110068,-7.172654
pan_009,1311,16.275888,-5.099899
pan_010,1313,16.440022,-3.048225
pan_011,1315,16.606870,-0.962628
pan_012,1317,16.771850,1.099617
pan_013,1319,16.977554,3.670918
pan_014,1321,17.152976,5.863700
pan_015,1323,17.357651,8.422136
pan_016,1325,17.531093,10.590157
pan_017,1327,17.733929,13.125603
pan_018,1329,17.939332,15.693149
pan_019,1331,18.106478,17.782471
pan_020,1333,18.290092,20.077640
pan_021,1335,18.495472,22.644895
pan_022,1337,18.672391,24.856386
pan_023,1339,18.883734,25.000000
pan_024,1341,19.053209,25.000000
pan_025,1343,19.228594,25.000000
pan_026,1345,19.400507,25.000000
pan_027,1347,19.599075,25.000000
pan_028,1349,19.769251,25.000000
pan_029,1351,19.969627,25.000000
pan_030,1353,20.140986,25.000000
pan_031,1355,20.342114,25.000000
walk_end,1480,22.356460,0.000000
