frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage,motion_blur_quality,dynamic_res,vsync,frame_cap
733,21.558103,212.946841,4.125000,1,0,0.0000,0.0000,88.0000,0.0000,0,1.0,100.00,0.0,0.0,0.0,0.0
734,18.504988,21.738438,7.753000,1,0,0.0000,0.0000,90.0000,0.0000,0,1.0,100.00,0.0,0.0,0.0,0.0
735,17.418465,18.458957,7.753000,1,0,0.0000,0.0000,90.0000,0.0000,0,1.0,100.00,0.0,0.0,0.0,0.0
736,16.980745,17.375454,4.119000,1,0,0.0000,0.0000,90.0000,0.0000,0,1.0,100.00,0.0,0.0,0.0,0.0
737,17.507017,17.096468,3.782000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,1.0,100.00,0.0,0.0,0.0,0.0
738,16.144837,17.467425,3.451000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
739,25.000458,16.097556,4.083000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
740,20.531821,25.504109,4.083000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
741,12.289985,20.095633,3.347000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
742,12.228283,12.291234,3.347000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
743,11.626340,12.546360,3.426000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
744,11.546928,11.177590,3.335000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
745,10.558108,11.570449,3.527000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
746,11.716641,10.510196,3.355000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
747,10.719521,11.740493,3.429000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
748,10.083017,10.719330,3.383000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
749,9.942854,10.088367,3.381000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
750,11.130049,9.897323,3.255000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
751,11.929347,11.132829,3.337000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
752,10.111437,11.923197,3.279000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
753,10.210120,10.097247,3.151000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
754,10.045326,10.204960,3.239000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
755,10.306052,10.094907,3.198000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
756,9.832582,10.316572,3.226000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
757,10.166858,9.769470,3.235000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
758,9.710898,10.242520,3.250000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
759,9.575747,9.699799,3.330000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
760,10.000205,9.581666,3.303000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
761,36.283620,9.989655,3.347000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
762,10.304103,36.252190,3.372000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
763,10.422573,10.375343,3.427000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
764,9.930764,10.322112,3.185000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
765,10.770162,9.886833,3.243000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
766,10.239070,10.863834,3.276000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
767,10.474765,10.227639,3.203000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
768,10.568078,10.508497,3.136000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
769,9.838071,10.488345,3.251000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
770,10.873344,9.856952,3.204000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
771,10.896175,10.875354,3.256000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
772,10.490725,10.906625,3.274000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
773,10.974386,10.506586,3.131000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
774,11.178731,10.935345,3.307000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
775,12.367156,11.135129,3.237000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
776,12.930038,12.375547,3.213000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,1.0,100.00,0.0,0.0,0.0,0.0
