name,frame,sim_time,yaw
static_000,1238,7.031212,0.000000
static_001,1240,7.441507,0.000000
static_002,1242,7.600849,0.000000
static_003,1244,7.758202,0.000000
static_004,1246,7.916649,0.000000
static_005,1248,8.079201,0.000000
static_006,1250,8.239757,0.000000
static_007,1252,8.399757,0.000000
static_008,1254,8.557908,0.000000
static_009,1256,8.749337,0.000000
pan_000,1696,14.793315,-24.829825
pan_001,1698,14.992687,-22.337681
pan_002,1700,15.150190,-20.368892
pan_003,1702,15.308551,-18.389381
pan_004,1704,15.472090,-16.345147
pan_005,1706,15.628146,-14.394435
pan_006,1708,15.783443,-12.453225
pan_007,1710,15.940298,-10.492538
pan_008,1712,16.093952,-8.571871
pan_009,1714,16.245603,-6.676223
pan_010,1716,16.399287,-4.755182
pan_011,1718,16.552441,-2.840755
pan_012,1720,16.707906,-0.897442
pan_013,1722,16.864475,1.059674
pan_014,1724,17.024982,3.066013
pan_015,1726,17.181342,5.020506
pan_016,1728,17.335803,6.951269
pan_017,1730,17.494134,8.930404
pan_018,1732,17.655080,10.942229
pan_019,1734,17.818802,12.988755
pan_020,1736,17.981250,15.019360
pan_021,1738,18.180175,17.505920
pan_022,1740,18.344288,19.557340
pan_023,1742,18.527549,21.848099
pan_024,1744,18.688971,23.865877
pan_025,1746,18.846728,25.000000
pan_026,1748,19.004245,25.000000
pan_027,1750,19.163083,25.000000
pan_028,1752,19.325930,25.000000
pan_029,1754,19.479648,25.000000
pan_030,1756,19.633842,25.000000
pan_031,1758,19.791306,25.000000
walk_end,1906,21.802078,0.000000
