frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1112,3.013415,2,0.000000,-0.000000,-18.000000,-18.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779795,8.689164,6.132371
1113,3.027138,2,0.013723,0.000000,-16.353218,-16.353216,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779194,8.684678,6.132371
1114,3.041033,2,0.027618,0.000000,-14.685812,-14.685812,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778489,8.680322,6.132371
1115,3.054700,2,0.041285,0.000000,-13.045817,-13.045816,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777729,8.676178,6.132371
1116,3.069499,2,0.056084,0.000000,-11.269886,-11.269886,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776495,8.673378,6.132371
1117,3.083492,2,0.070077,0.000000,-9.590807,-9.590806,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773687,8.677471,6.132371
1118,3.095496,2,0.082081,0.000000,-8.150258,-8.150257,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771279,8.680991,6.132371
1119,3.107132,2,0.093717,0.000000,-6.753955,-6.753955,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.772230,8.682805,6.132371
1120,3.119803,2,0.106388,0.000000,-5.233468,-5.233467,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.775536,8.683688,6.132371
1121,3.131486,2,0.118071,0.000000,-3.831429,-3.831429,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778585,8.684502,6.132371
1122,3.141852,2,0.128437,0.000000,-2.587528,-2.587528,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778603,8.684465,6.132371
1123,3.153094,2,0.139679,0.000000,-1.238493,-1.238493,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777987,8.684242,6.132371
1124,3.166395,2,0.152980,0.000000,-0.000000,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777259,8.683977,6.132371
