frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
961,3.011138,2,6000.0000,-1000.0000,90.0000,19.7799,8.6899,6.1324,1,1
962,3.023793,2,6000.0000,-1000.0000,90.0000,19.7793,8.6858,6.1324,1,1
963,3.423793,2,6000.0000,-1000.0000,90.0000,19.7584,8.6666,7.6905,1,1
964,3.432478,2,6000.0000,-1000.0000,90.0000,19.7543,8.6684,7.5814,1,1
965,3.434423,2,6000.0000,-1000.0000,90.0000,19.7538,8.6689,7.5571,1,1
966,3.446548,2,6000.0000,-1000.0000,90.0000,19.7530,8.6724,7.4056,1,1
967,3.460046,2,6000.0000,-1000.0000,90.0000,19.7521,8.6763,7.2371,1,1
968,3.472502,2,6000.0000,-1000.0000,90.0000,19.7531,8.6789,7.0820,1,1
969,3.484844,2,6000.0000,-1000.0000,90.0000,19.7563,8.6804,6.9287,1,1
970,3.496954,2,6000.0000,-1000.0000,90.0000,19.7595,8.6819,6.7781,1,1
971,3.509386,2,6000.0000,-1000.0000,90.0000,19.7632,8.6795,6.6236,1,1
972,3.521723,2,6000.0000,-1000.0000,90.0000,19.7670,8.6758,6.4702,1,1
973,3.534537,2,6000.0000,-1000.0000,90.0000,19.7706,8.6722,6.3105,1,1
974,3.553689,2,6000.0000,-1000.0000,90.0000,19.7700,8.6694,6.1324,1,1
975,3.567478,2,6000.0000,-1000.0000,90.0000,19.7698,8.6676,6.1324,1,1
976,3.580884,2,6000.0000,-1000.0000,90.0000,19.7736,8.6699,6.1324,1,1
977,3.593384,2,6000.0000,-1000.0000,90.0000,19.7771,8.6720,6.1324,1,1
978,3.606552,2,6000.0000,-1000.0000,90.0000,19.7805,8.6742,6.1324,1,1
979,3.619295,2,6000.0000,-1000.0000,90.0000,19.7833,8.6764,6.1324,1,1
980,3.632314,2,6000.0000,-1000.0000,90.0000,19.7861,8.6785,6.1324,1,1
981,3.644764,2,6000.0000,-1000.0000,90.0000,19.7893,8.6776,6.1324,1,1
982,3.656916,2,6000.0000,-1000.0000,90.0000,19.7924,8.6764,6.1324,1,1
983,3.668994,2,6000.0000,-1000.0000,90.0000,19.7948,8.6751,6.1324,1,1
984,3.681170,2,6000.0000,-1000.0000,90.0000,19.7943,8.6734,6.1324,1,1
985,3.694226,2,6000.0000,-1000.0000,90.0000,19.7937,8.6716,6.1324,1,1
986,3.706438,2,6000.0000,-1000.0000,90.0000,19.7919,8.6708,6.1324,1,1
987,3.719353,2,6000.0000,-1000.0000,90.0000,19.7887,8.6708,6.1324,1,1
988,3.731449,2,6000.0000,-1000.0000,90.0000,19.7858,8.6708,6.1324,1,1
989,3.743906,2,6000.0000,-1000.0000,90.0000,19.7881,8.6703,6.1324,1,1
990,3.756832,2,6000.0000,-1000.0000,90.0000,19.7915,8.6698,6.1324,1,1
991,3.769658,2,6000.0000,-1000.0000,90.0000,19.7947,8.6689,6.1324,1,1
992,3.783234,2,6000.0000,-1000.0000,90.0000,19.7973,8.6666,6.1324,1,1
993,3.795870,2,6000.0000,-1000.0000,90.0000,19.7998,8.6646,6.1324,1,1
