frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
603,0.259257427,15.642035,226.819242,1,2800.0000,-450.0000,108.1046,0.0000,0.0000,0.0000,0.0000,48.7146,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3096641536
604,0.277710353,18.452926,16.667677,1,2800.0000,-450.0000,107.0231,0.0000,0.0000,0.0000,0.0000,64.8863,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3097141248
605,0.296884853,19.174500,17.735860,1,2800.0000,-450.0000,105.5679,0.0000,0.0000,0.0000,0.0000,82.0486,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3099414528
606,0.312920437,16.035584,19.227342,1,2800.0000,-450.0000,103.6336,0.0000,0.0000,0.0000,0.0000,100.6004,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3099881472
607,0.328429549,15.509112,16.668528,1,2800.0000,-450.0000,101.6894,0.0000,0.0000,0.0000,0.0000,116.6432,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3100286976
608,0.343967223,15.537674,16.718848,1,2800.0000,-450.0000,99.4709,0.0000,0.0000,0.0000,0.0000,132.6940,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3100512256
609,0.359401243,15.434020,16.667317,1,2800.0000,-450.0000,96.9932,0.0000,0.0000,0.0000,0.0000,148.6554,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3100676096
610,0.372332970,12.931727,16.668807,1,2800.0000,-450.0000,94.6842,0.0000,0.0000,0.0000,0.0000,138.5220,4,58.9932,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3100778496
611,0.389359755,17.026785,16.667828,1,2800.0000,-450.0000,92.5669,0.0000,0.0000,0.0000,-0.0000,127.0281,4,56.6842,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3100913664
612,0.402614959,13.255204,16.668927,1,2800.0000,-450.0000,90.6557,0.0000,0.0000,0.0000,-0.0000,114.6569,4,54.5669,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3100991488
613,0.418186033,15.571074,16.667817,1,2800.0000,-450.0000,88.9584,0.0000,0.0000,0.0000,-0.0000,101.8323,4,52.6557,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101143040
614,0.434968123,16.782090,16.668998,1,2800.0000,-450.0000,87.4763,0.0000,0.0000,0.0000,-0.0000,88.9134,4,50.9584,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101241344
615,0.452927658,17.959535,16.668656,1,2800.0000,-450.0000,86.2061,0.0000,0.0000,0.0000,-0.0000,76.2037,4,49.4763,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101347840
616,0.470433623,17.505965,16.668718,1,2800.0000,-450.0000,85.1401,0.0000,0.0000,0.0000,-0.0000,63.9494,4,48.2061,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101433856
617,0.488532491,18.098868,16.668768,1,2800.0000,-450.0000,84.2676,0.0000,0.0000,0.0000,-0.0000,52.3454,4,47.1401,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101507584
618,0.506631668,18.099177,16.668526,1,2800.0000,-450.0000,83.5752,0.0000,0.0000,0.0000,-0.0000,41.5393,4,46.2676,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101581312
619,0.520114628,13.482960,16.667118,1,2800.0000,-450.0000,83.0479,0.0000,0.0000,0.0000,-0.0000,31.6368,4,45.5752,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101642752
620,0.535888756,15.774128,16.667887,1,2800.0000,-450.0000,82.6695,0.0000,0.0000,0.0000,-0.0000,22.7036,4,45.0479,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101700096
621,0.553743189,17.854433,16.669207,1,2800.0000,-450.0000,82.4232,0.0000,0.0000,0.0000,-0.0000,14.7741,4,44.6695,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3101978624
622,0.569890735,16.147546,16.668888,1,2800.0000,-450.0000,82.2923,0.0000,0.0000,0.0000,-0.0000,7.8554,4,44.4232,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3102072832
623,0.587876451,17.985716,16.668127,1,2800.0000,-450.0000,82.2601,0.0000,0.0000,0.0000,-0.0000,1.9305,4,44.2923,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3102142464
624,0.606606081,18.729630,16.669027,1,2800.0000,-450.0000,82.3107,0.0000,0.0000,0.0000,0.0000,3.0376,4,44.2601,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3102187520
625,0.622483092,15.877011,16.667917,1,2800.0000,-450.0000,82.4291,0.0000,0.0000,0.0000,0.0000,7.0995,4,44.3107,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3102240768
626,0.636622665,14.139573,16.667418,1,2800.0000,-450.0000,82.6010,0.0000,0.0000,0.0000,0.0000,10.3185,4,44.4291,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3102257152
627,0.654603540,17.980875,16.668457,1,2800.0000,-450.0000,82.8138,0.0000,0.0000,0.0000,0.0000,12.7656,4,44.6010,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3102429184
