frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
603,0.267436732,12.738123,225.033333,1,2800.0000,-450.0000,108.1046,0.0000,0.0000,0.0000,0.0000,48.7152,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080650752
604,0.287737707,20.300975,16.668397,1,2800.0000,-450.0000,107.0230,0.0000,0.0000,0.0000,0.0000,64.8875,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080876032
605,0.304935535,17.197828,16.667497,1,2800.0000,-450.0000,105.6726,0.0000,0.0000,0.0000,0.0000,81.0186,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081547776
606,0.321282545,16.347010,17.252730,1,2800.0000,-450.0000,103.9875,0.0000,0.0000,0.0000,0.0000,97.6729,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081728000
607,0.337245237,15.962692,16.667077,1,2800.0000,-450.0000,102.0921,0.0000,0.0000,0.0000,0.0000,113.7216,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081924608
608,0.350905050,13.659813,16.668727,1,2800.0000,-450.0000,99.9297,0.0000,0.0000,0.0000,0.0000,129.7318,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082108928
609,0.366747570,15.842520,16.667908,1,2800.0000,-450.0000,97.5011,0.0000,0.0000,0.0000,0.0000,145.7011,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082141696
610,0.379833861,13.086291,16.806189,1,2800.0000,-450.0000,95.2042,0.0000,0.0000,0.0000,0.0000,136.6682,4,59.5011,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082272768
611,0.398646214,18.812353,16.668348,1,2800.0000,-450.0000,93.1011,0.0000,0.0000,0.0000,-0.0000,126.1786,4,57.2042,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082366976
612,0.412965540,14.319326,16.667357,1,2800.0000,-450.0000,91.1899,0.0000,0.0000,0.0000,0.0000,114.6624,4,55.1011,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082465280
613,0.427708017,14.742477,16.740529,1,2800.0000,-450.0000,89.4741,0.0000,0.0000,0.0000,-0.0000,102.4947,4,53.1899,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082530816
614,0.445535079,17.827062,16.669157,1,2800.0000,-450.0000,87.9714,0.0000,0.0000,0.0000,-0.0000,90.1499,4,51.4741,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082620928
615,0.463745529,18.210450,16.668247,1,2800.0000,-450.0000,86.6731,0.0000,0.0000,0.0000,-0.0000,77.8904,4,49.9714,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082665984
616,0.479861684,16.116155,16.767440,1,2800.0000,-450.0000,85.5681,0.0000,0.0000,0.0000,0.0000,65.9023,4,48.6731,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082719232
617,0.496061401,16.199717,16.667846,1,2800.0000,-450.0000,84.6591,0.0000,0.0000,0.0000,-0.0000,54.5385,4,47.5681,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082760192
618,0.512652307,16.590906,16.668498,1,2800.0000,-450.0000,83.9276,0.0000,0.0000,0.0000,-0.0000,43.8830,4,46.6590,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082813440
619,0.530792946,18.140639,16.668428,1,2800.0000,-450.0000,83.3600,0.0000,0.0000,0.0000,-0.0000,34.0529,4,45.9276,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082887168
620,0.545622794,14.829848,16.668406,1,2800.0000,-450.0000,82.9412,0.0000,0.0000,0.0000,-0.0000,25.1268,4,45.3600,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083005952
621,0.563695111,18.072317,16.667138,1,2800.0000,-450.0000,82.6553,0.0000,0.0000,0.0000,-0.0000,17.1507,4,44.9412,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083051008
622,0.580173684,16.478573,16.667607,1,2800.0000,-450.0000,82.4863,0.0000,0.0000,0.0000,-0.0000,10.1402,4,44.6553,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083091968
623,0.595156225,14.982541,16.668207,1,2800.0000,-450.0000,82.4182,0.0000,0.0000,0.0000,0.0000,4.0877,4,44.4863,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083145216
624,0.613797815,18.641590,16.668307,1,2800.0000,-450.0000,82.4354,0.0000,0.0000,0.0000,0.0000,1.0339,4,44.4182,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083235328
625,0.629269456,15.471641,16.668288,1,2800.0000,-450.0000,82.5232,0.0000,0.0000,0.0000,0.0000,5.2683,4,44.4354,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083264000
626,0.645974414,16.704958,16.668626,1,2800.0000,-450.0000,82.6677,0.0000,0.0000,0.0000,0.0000,8.6713,4,44.5232,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083341824
627,0.662454387,16.479973,16.667258,1,2800.0000,-450.0000,82.8562,0.0000,0.0000,0.0000,0.0000,11.3075,4,44.6677,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083378688
628,0.679159035,16.704648,16.668777,1,2800.0000,-450.0000,83.0770,0.0000,0.0000,0.0000,0.0000,13.2484,4,44.8562,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3083444224
