name,frame,sim_time,yaw
static_000,1338,7.035896,0.000000
static_001,1340,7.450225,0.000000
static_002,1342,7.629403,0.000000
static_003,1344,7.784626,0.000000
static_004,1346,7.941231,0.000000
static_005,1348,8.129677,0.000000
static_006,1350,8.308345,0.000000
static_007,1353,8.465129,0.000000
static_008,1355,8.643404,0.000000
static_009,1357,8.794107,0.000000
pan_000,1814,14.824087,-24.835235
pan_001,1816,15.012430,-22.480941
pan_002,1818,15.159907,-20.637487
pan_003,1820,15.306881,-18.800306
pan_004,1822,15.456039,-16.935837
pan_005,1824,15.604289,-15.082713
pan_006,1826,15.752411,-13.231182
pan_007,1828,15.900366,-11.381748
pan_008,1830,16.047917,-9.537356
pan_009,1832,16.192171,-7.734183
pan_010,1834,16.363291,-5.595188
pan_011,1836,16.507840,-3.788323
pan_012,1838,16.653631,-1.965938
pan_013,1840,16.800534,-0.129641
pan_014,1842,16.946318,1.692658
pan_015,1844,17.096097,3.564897
pan_016,1846,17.244739,5.422922
pan_017,1848,17.394691,7.297320
pan_018,1850,17.542655,9.146869
pan_019,1852,17.688740,10.972935
pan_020,1854,17.838792,12.848575
pan_021,1856,17.991071,14.752062
pan_022,1858,18.139623,16.608963
pan_023,1860,18.289925,18.487737
pan_024,1862,18.438573,20.345843
pan_025,1864,18.588623,22.221467
pan_026,1866,18.744586,24.171003
pan_027,1868,18.896679,25.000000
pan_028,1870,19.047099,25.000000
pan_029,1872,19.200364,25.000000
pan_030,1874,19.355166,25.000000
pan_031,1876,19.511909,25.000000
walk_end,2030,21.524021,0.000000
