name,frame,sim_time,yaw
static_000,1197,7.029837,0.000000
static_001,1199,7.442345,0.000000
static_002,1201,7.624771,0.000000
static_003,1203,7.780261,0.000000
static_004,1205,7.937675,0.000000
static_005,1207,8.093108,0.000000
static_006,1209,8.248077,0.000000
static_007,1211,8.406937,0.000000
static_008,1213,8.563682,0.000000
static_009,1215,8.718642,0.000000
pan_000,1660,14.749285,-24.840674
pan_001,1662,14.939973,-22.457074
pan_002,1664,15.099236,-20.466287
pan_003,1666,15.251281,-18.565718
pan_004,1668,15.405418,-16.639013
pan_005,1670,15.559803,-14.709194
pan_006,1672,15.712641,-12.798719
pan_007,1674,15.865615,-10.886545
pan_008,1676,16.021147,-8.942397
pan_009,1678,16.173980,-7.031983
pan_010,1680,16.330082,-5.080713
pan_011,1682,16.487146,-3.117410
pan_012,1684,16.645302,-1.140454
pan_013,1686,16.803276,0.834214
pan_014,1688,16.960156,2.795212
pan_015,1690,17.119139,4.782500
pan_016,1692,17.277277,6.759232
pan_017,1694,17.434570,8.725392
pan_018,1696,17.590824,10.678569
pan_019,1698,17.748469,12.649127
pan_020,1700,17.905039,14.606251
pan_021,1702,18.064480,16.599270
pan_022,1704,18.223601,18.588284
pan_023,1706,18.384022,20.593540
pan_024,1708,18.542844,22.578812
pan_025,1710,18.702104,24.569571
pan_026,1712,18.862737,25.000000
pan_027,1714,19.023147,25.000000
pan_028,1716,19.180400,25.000000
pan_029,1718,19.338743,25.000000
pan_030,1720,19.495704,25.000000
pan_031,1722,19.651943,25.000000
walk_end,1877,21.669272,0.000000
