name,frame,sim_time,yaw
static_000,1462,7.016683,0.000000
static_001,1464,7.425507,0.000000
static_002,1469,7.584512,0.000000
static_003,1471,7.740170,0.000000
static_004,1474,7.890882,0.000000
static_005,1477,8.045258,0.000000
static_006,1479,8.196558,0.000000
static_007,1483,8.351119,0.000000
static_008,1485,8.504439,0.000000
static_009,1489,8.655322,0.000000
pan_000,1981,14.688259,-24.880719
pan_001,1983,14.840312,-22.980054
pan_002,1985,14.987313,-21.142536
pan_003,1987,15.136395,-19.279013
pan_004,1989,15.286001,-17.408940
pan_005,1991,15.435898,-15.535224
pan_006,1993,15.582516,-13.702503
pan_007,1995,15.729245,-11.868385
pan_008,1997,15.878370,-10.004330
pan_009,1999,16.026779,-8.149213
pan_010,2001,16.174122,-6.307426
pan_011,2003,16.322763,-4.449408
pan_012,2005,16.477090,-2.520332
pan_013,2007,16.628833,-0.623543
pan_014,2009,16.778636,1.248997
pan_015,2011,16.927048,3.104154
pan_016,2013,17.079701,5.012314
pan_017,2015,17.230386,6.895870
pan_018,2017,17.379474,8.759470
pan_019,2019,17.530872,10.651954
pan_020,2021,17.679647,12.511642
pan_021,2023,17.831162,14.405568
pan_022,2025,17.990288,16.394649
pan_023,2027,18.151957,18.415513
pan_024,2029,18.309927,20.390133
pan_025,2031,18.463477,22.309512
pan_026,2033,18.615733,24.212709
pan_027,2035,18.768186,25.000000
pan_028,2037,18.919318,25.000000
pan_029,2039,19.071036,25.000000
pan_030,2041,19.224836,25.000000
pan_031,2043,19.381260,25.000000
walk_end,2206,21.398621,0.000000
