name,frame,sim_time,yaw
static_000,1401,7.027417,0.000000
static_001,1403,7.439306,0.000000
static_002,1405,7.592482,0.000000
static_003,1407,7.777098,0.000000
static_004,1409,7.934536,0.000000
static_005,1411,8.089842,0.000000
static_006,1413,8.272087,0.000000
static_007,1415,8.422650,0.000000
static_008,1417,8.574025,0.000000
static_009,1419,8.728702,0.000000
pan_000,1915,14.759190,-24.882825
pan_001,1917,14.939381,-22.630445
pan_002,1919,15.123573,-20.328040
pan_003,1921,15.301541,-18.103446
pan_004,1923,15.452559,-16.215716
pan_005,1925,15.604196,-14.320259
pan_006,1927,15.753138,-12.458485
pan_007,1929,15.899808,-10.625103
pan_008,1931,16.050690,-8.739078
pan_009,1933,16.199590,-6.877828
pan_010,1935,16.350685,-4.989143
pan_011,1937,16.501069,-3.109346
pan_012,1939,16.650880,-1.236705
pan_013,1941,16.805707,0.698628
pan_014,1943,16.956543,2.584079
pan_015,1945,17.105441,4.445310
pan_016,1947,17.258139,6.354031
pan_017,1949,17.408964,8.239343
pan_018,1951,17.560659,10.135530
pan_019,1953,17.713591,12.047186
pan_020,1955,17.864514,13.933722
pan_021,1957,18.048846,16.237876
pan_022,1959,18.203486,18.170876
pan_023,1961,18.377698,20.348518
pan_024,1963,18.525414,22.194975
pan_025,1965,18.677807,24.099881
pan_026,1967,18.862486,25.000000
pan_027,1969,19.016737,25.000000
pan_028,1971,19.173030,25.000000
pan_029,1973,19.328556,25.000000
pan_030,1975,19.484609,25.000000
pan_031,1977,19.638089,25.000000
walk_end,2132,21.652591,0.000000
