frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage
814,17.455792,215.094986,3.789000,1,0,0.0000,0.0000,88.0000,0.0000,0,2.0,100.00
815,15.898248,17.439360,7.176000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00
816,17.684156,15.912929,7.176000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00
817,16.104293,17.626815,3.894000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00
818,16.225896,16.225405,3.703000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,2.0,100.00
819,15.428167,16.157714,3.059000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
820,24.374248,15.468709,3.976000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
821,15.375858,24.388789,3.976000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
822,13.376865,15.432648,3.670000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
823,14.802675,13.400476,3.245000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
824,14.979448,14.673161,3.333000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
825,15.351437,15.029700,3.242000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
826,11.852902,15.271916,3.406000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
827,11.999945,12.070856,3.290000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
828,12.021366,11.824631,3.193000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
829,11.915413,12.022866,3.239000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
830,11.609938,11.898863,3.206000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
831,11.714898,11.698079,3.150000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
832,12.118499,11.619608,3.140000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
833,11.746899,12.139888,3.106000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
834,11.358293,11.734239,3.211000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
835,11.519034,11.342562,3.094000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
836,11.518586,11.528855,3.124000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
837,12.009535,11.523975,3.160000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
838,12.449195,11.991035,3.146000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
839,11.642508,12.480185,3.186000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
840,13.243121,11.652019,3.173000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
841,11.842282,13.243401,3.268000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
842,12.620098,11.830122,3.197000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
843,12.146999,12.658590,3.147000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
844,12.686030,12.134178,3.154000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
845,12.492586,12.660899,3.091000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
846,12.693409,12.549317,3.166000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
847,13.014787,13.149650,3.154000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
848,12.306963,12.597888,3.099000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
849,12.531246,12.250160,3.156000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
850,12.871874,12.482596,3.181000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
851,11.894403,12.890614,3.071000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
852,11.198428,11.980505,3.238000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
853,11.301151,11.088116,3.145000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
854,11.865832,11.347312,3.072000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
855,12.184570,11.740040,3.089000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
856,12.468005,12.164978,3.074000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
857,11.531335,12.508796,3.192000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
858,11.989235,11.525116,3.149000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
859,12.806292,12.064716,3.214000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
860,12.435515,12.774432,3.155000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
861,24.255256,12.438484,3.097000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
862,12.538467,24.294967,3.186000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
863,12.190669,12.480066,3.122000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
864,12.277421,12.214510,3.135000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
865,12.145928,12.242730,3.196000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
866,12.276471,12.155878,3.155000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
867,12.329303,12.276922,3.121000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
868,12.340943,12.339622,3.143000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
869,12.756151,12.395404,3.137000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
870,12.220940,12.767802,3.111000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
871,12.637989,12.217719,3.089000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
872,12.469285,12.672510,3.076000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
873,12.000285,12.439165,3.070000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
874,12.159799,12.029575,3.128000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
875,11.943704,12.134869,3.132000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
876,12.530557,11.947205,3.064000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
877,11.706719,12.516725,3.130000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
878,11.660438,11.635669,3.080000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
879,12.284411,11.604366,3.143000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
880,11.961345,12.436985,3.156000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
881,10.811670,11.899343,3.102000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
882,11.484165,10.785219,3.180000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
883,11.328360,11.518695,3.116000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
884,12.203210,11.302531,3.149000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
885,11.902813,12.210559,3.172000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
886,12.310712,11.911564,3.066000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
887,12.475956,12.299672,3.086000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
888,13.070448,12.501646,3.110000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
889,12.444854,13.047407,3.146000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
890,13.234133,12.449056,3.101000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
891,13.079858,13.256881,3.157000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
892,13.216921,13.075559,3.098000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
893,12.394833,13.218801,3.101000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
894,12.884814,12.360322,3.146000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
895,12.056937,12.887475,3.179000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
896,12.956896,12.048706,3.139000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
897,12.072996,12.961276,3.192000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
898,12.404955,12.072827,3.111000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
899,13.051188,12.433965,3.138000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
900,13.433065,13.071488,2.862000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
901,12.397863,13.416495,3.100000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
902,11.544926,12.415645,2.887000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
903,12.218830,11.517374,2.813000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
904,12.720101,12.211000,2.921000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
905,13.126359,12.737451,2.978000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
906,12.453126,13.117079,2.900000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
907,12.830852,12.499966,2.945000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
908,12.268372,12.799803,3.033000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
909,12.541536,12.284901,2.944000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
910,12.218250,12.518836,2.844000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
911,12.296452,12.224591,2.911000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
912,13.271062,12.294721,2.942000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
913,13.583910,13.286742,2.945000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
914,11.881842,13.581830,2.888000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
915,12.599468,11.896653,2.867000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
916,16.101363,12.536106,2.889000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
917,13.749782,16.121363,2.985000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
918,15.730735,13.734503,2.867000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
919,13.125219,15.761555,2.847000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
920,12.049227,13.103229,2.892000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
921,12.646648,12.048926,2.876000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
922,13.521738,12.675250,2.973000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
923,12.241561,13.479926,2.892000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
924,12.151798,12.239651,2.812000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
925,11.583017,12.159898,2.909000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
926,12.395683,11.580087,2.809000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
927,12.109548,12.396793,2.878000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
928,12.938735,12.107349,2.868000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00
