name,frame,sim_time,yaw
static_000,1303,7.033587,0.000000
static_001,1305,7.446857,0.000000
static_002,1307,7.600992,0.000000
static_003,1309,7.758593,0.000000
static_004,1311,7.913851,0.000000
static_005,1313,8.066687,0.000000
static_006,1315,8.246447,0.000000
static_007,1317,8.403327,0.000000
static_008,1319,8.589790,0.000000
static_009,1321,8.745427,0.000000
pan_000,1847,14.770917,-24.849136
pan_001,1849,14.951668,-22.589752
pan_002,1851,15.100558,-20.728616
pan_003,1853,15.248051,-18.884959
pan_004,1855,15.395707,-17.039263
pan_005,1857,15.543179,-15.195861
pan_006,1859,15.693607,-13.315503
pan_007,1861,15.840900,-11.474351
pan_008,1863,15.985243,-9.670063
pan_009,1865,16.134703,-7.801811
pan_010,1867,16.284462,-5.929824
pan_011,1869,16.435126,-4.046518
pan_012,1871,16.583248,-2.194995
pan_013,1873,16.731262,-0.344826
pan_014,1875,16.880718,1.523376
pan_015,1877,17.056433,3.719819
pan_016,1879,17.207573,5.609072
pan_017,1881,17.358722,7.498430
pan_018,1883,17.511048,9.402506
pan_019,1885,17.665373,11.331564
pan_020,1887,17.819708,13.260759
pan_021,1889,17.973213,15.179562
pan_022,1891,18.126082,17.090424
pan_023,1893,18.281544,19.033699
pan_024,1895,18.432917,20.925870
pan_025,1897,18.583865,22.812714
pan_026,1899,18.734371,24.694035
pan_027,1901,18.883551,25.000000
pan_028,1903,19.036251,25.000000
pan_029,1905,19.190853,25.000000
pan_030,1907,19.345417,25.000000
pan_031,1909,19.498595,25.000000
walk_end,2064,21.513787,0.000000
