frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage
815,10.872652,206.462669,3.897000,1,0,0.0000,0.0000,88.0000,0.0000,0,4.0,67.00
816,17.863351,10.857102,7.142000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,67.00
817,14.044700,17.843491,7.142000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,67.00
818,14.624932,14.011249,3.839000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,67.00
819,13.963229,14.608251,3.630000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,4.0,67.00
820,14.069460,14.113292,3.174000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
821,19.719231,13.949428,3.280000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
822,14.092451,19.762242,3.972000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
823,10.449953,14.166882,3.683000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
824,11.052456,10.418613,3.419000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
825,11.822913,11.012115,3.219000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
826,8.648355,11.800942,3.219000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
827,10.252918,8.679755,3.421000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
828,9.054944,10.191398,3.210000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
829,12.858754,9.070883,3.243000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
830,11.530257,12.869785,3.334000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
831,10.858131,11.534987,3.253000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
832,11.684100,10.885393,3.188000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
833,11.651839,11.677489,3.225000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
834,11.582417,11.643108,3.236000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
835,11.939845,11.661140,3.146000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
836,12.145259,11.848092,3.170000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
837,11.891174,12.141420,3.150000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
838,11.557687,11.890193,3.191000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
839,12.029997,11.587708,3.192000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
840,11.790632,12.028137,3.239000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
841,11.874914,11.814442,3.141000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
842,11.837782,11.840013,3.278000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
843,11.224670,11.820673,3.212000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
844,11.596648,11.222169,3.207000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
845,10.830011,11.595077,3.225000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
846,11.297291,10.748220,3.227000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
847,11.803262,11.285531,3.115000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
848,10.955704,11.899984,3.241000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
849,12.026947,10.869992,3.181000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
850,11.047016,12.021057,3.097000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
851,11.722510,11.042996,3.225000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
852,11.285611,11.896264,3.152000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
853,12.326283,11.133718,3.239000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
854,12.576949,12.310453,3.247000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
855,11.318402,12.569958,3.192000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
856,12.401615,11.456935,3.132000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
857,12.504457,12.533698,3.198000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
858,12.239141,12.438605,3.214000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
859,12.394765,12.234272,3.145000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
860,12.638019,12.363473,3.147000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
861,12.045647,12.631351,3.206000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
862,12.676431,12.035417,3.107000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
863,12.786934,12.643479,3.213000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
864,12.728792,12.775373,3.174000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
865,12.433925,12.727322,3.178000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,67.00
