frame,phase,rig_visible,dormant,updates,wheel_error,axle_error,spin_error,link_error,root_error,paint_error,body_visible,cosmetic_collision
595,1,1,0,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
596,1,1,0,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
597,1,1,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
598,1,1,0,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
599,1,1,0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
600,1,1,0,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
601,1,1,0,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
602,1,1,0,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
603,1,1,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
604,1,1,0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
605,1,1,0,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
606,1,1,0,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
607,1,1,0,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
608,1,1,0,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
609,1,1,0,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
610,1,1,0,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
611,1,1,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
612,1,1,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
613,1,1,0,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
614,1,1,0,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
615,1,1,0,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
616,1,1,0,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
617,1,1,0,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
618,1,1,0,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
619,1,1,0,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
620,1,1,0,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
621,1,1,0,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
622,1,1,0,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
623,1,1,0,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
624,1,1,0,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
625,1,1,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
626,1,1,0,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
627,1,1,0,34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
628,1,1,0,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
629,1,1,0,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
630,1,1,0,37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
631,1,1,0,38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
632,1,1,0,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
633,1,1,0,40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
634,1,1,0,41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
635,1,1,0,42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
636,1,1,0,43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
637,1,1,0,44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
638,1,1,0,45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
639,1,1,0,46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
640,1,1,0,47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
641,1,1,0,48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
642,1,1,0,49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
643,1,1,0,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
644,1,1,0,51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
645,1,1,0,52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
646,1,1,0,53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
647,1,1,0,54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
648,1,1,0,55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
