frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
602,0.274177740,17.954311,227.666704,1,2800.0000,-450.0000,108.1046,0.0000,0.0000,0.0000,0.0000,48.7146,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3075674112
603,0.294041972,19.864232,18.092984,1,2800.0000,-450.0000,106.9057,0.0000,0.0000,0.0000,0.0000,66.2654,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3076296704
604,0.307768853,13.726881,19.819851,1,2800.0000,-450.0000,105.2124,0.0000,0.0000,0.0000,0.0000,85.4341,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077124096
605,0.322139958,14.371105,16.667634,1,2800.0000,-450.0000,103.5204,0.0000,0.0000,0.0000,0.0000,101.5140,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077423104
606,0.335936490,13.796532,16.668213,1,2800.0000,-450.0000,101.5610,0.0000,0.0000,0.0000,0.0000,117.5542,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077390336
607,0.351493171,15.556681,16.667064,1,2800.0000,-450.0000,99.3350,0.0000,0.0000,0.0000,0.0000,133.5532,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077521408
608,0.368500632,17.007461,16.668034,1,2800.0000,-450.0000,96.8430,0.0000,0.0000,0.0000,0.0000,149.5131,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077648384
609,0.382660143,14.159511,16.668734,1,2800.0000,-450.0000,94.5254,0.0000,0.0000,0.0000,0.0000,139.0351,4,58.8430,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077701632
610,0.399453359,16.793216,16.668444,1,2800.0000,-450.0000,92.4045,0.0000,0.0000,0.0000,-0.0000,127.2430,4,56.5254,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077804032
611,0.415783246,16.329887,16.667733,1,2800.0000,-450.0000,90.4940,0.0000,0.0000,0.0000,-0.0000,114.6204,4,54.4045,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077849088
612,0.434499393,18.716147,16.667524,1,2800.0000,-450.0000,88.8008,0.0000,0.0000,0.0000,-0.0000,101.5870,4,52.4940,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077918720
