frame,wall_seconds,wall_delta_ms,sim_delta_ms,stage,phase,cycle,game_ms,render_ms,rhi_ms,gpu_ms,game_wait_ms,render_wait_ms,swap_ms,pawn_count,autonomous_pawns,player_x,player_y,player_z,view_yaw,health,ammo,pressure,active_audio,active_vfx
829,0.000742705,0.742705,42.527205,warmup,terminal,0,43.087002,7.658000,2.414000,4.414000,0.001000,0.011000,0.011000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
830,0.008205863,7.463158,5.915164,warmup,terminal,1,4.718000,9.780000,2.414000,4.414000,0.000000,31.485001,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
831,0.019350627,11.144764,7.358956,warmup,terminal,1,6.453000,8.866000,2.768000,4.414000,0.696000,0.015000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
832,0.031637586,12.286959,11.232966,warmup,terminal,1,3.234000,11.543000,2.373000,4.422000,8.559000,0.417000,0.010000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
833,0.044664500,13.026914,12.370080,warmup,terminal,1,3.278000,12.798000,2.492000,4.413000,8.734000,0.805000,0.038000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
834,0.056702983,12.038483,12.893381,warmup,terminal,1,3.768000,11.121000,2.548000,4.400000,9.940000,0.825000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
835,0.070137496,13.434513,12.041664,warmup,terminal,1,3.112000,11.498000,2.315000,4.383000,8.257000,0.816000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
836,0.083509968,13.372472,13.487474,warmup,terminal,1,3.443000,13.922000,3.468000,4.416000,10.163000,0.518000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
837,0.096796187,13.286219,13.342510,warmup,terminal,1,3.731000,12.935000,3.355000,4.404000,9.858000,0.430000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
838,0.110672089,13.875902,13.361792,warmup,terminal,1,3.692000,12.394000,2.993000,4.422000,9.597000,0.819000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
839,0.124187684,13.515595,13.887842,warmup,terminal,1,3.841000,13.480000,2.917000,4.391000,10.065000,0.732000,0.024000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
840,0.139975675,15.787991,13.449093,warmup,terminal,1,3.753000,13.284000,3.378000,4.420000,9.779000,0.471000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
841,0.154452181,14.476506,15.803843,warmup,terminal,1,3.811000,14.955000,3.096000,4.414000,11.970000,0.448000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
842,0.168404534,13.952353,14.458714,warmup,terminal,1,3.888000,14.228000,3.308000,4.428000,10.698000,0.757000,0.018000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
843,0.182354668,13.950134,13.956164,warmup,terminal,1,3.499000,13.749000,3.229000,4.442000,10.172000,0.447000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
844,0.195991344,13.636676,13.972954,warmup,terminal,1,4.162000,13.441000,3.541000,4.448000,9.994000,1.027000,0.117000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
845,0.210160683,14.169339,13.683828,warmup,terminal,1,3.917000,12.879000,3.360000,4.437000,9.731000,0.692000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
