name,frame,sim_time,yaw
static_000,1058,7.047698,0.000000
static_001,1060,7.463586,0.000000
static_002,1062,7.631751,0.000000
static_003,1064,7.802176,0.000000
static_004,1066,8.001726,0.000000
static_005,1068,8.165755,0.000000
static_006,1070,8.333074,0.000000
static_007,1072,8.501225,0.000000
static_008,1074,8.681202,0.000000
static_009,1076,8.857936,0.000000
pan_000,1514,14.897727,-24.795473
pan_001,1516,15.110200,-22.139565
pan_002,1518,15.286660,-19.933812
pan_003,1520,15.458570,-17.784934
pan_004,1522,15.632343,-15.612770
pan_005,1524,15.808605,-13.409490
pan_006,1526,15.985035,-11.204117
pan_007,1528,16.165169,-8.952452
pan_008,1530,16.372176,-6.364862
pan_009,1532,16.547622,-4.171778
pan_010,1534,16.722040,-1.991556
pan_011,1536,16.894444,0.163496
pan_012,1538,17.065135,2.297130
pan_013,1540,17.268207,4.835528
pan_014,1542,17.439818,6.980663
pan_015,1544,17.644992,9.545343
pan_016,1546,17.839540,11.977195
pan_017,1548,18.044629,14.540805
pan_018,1550,18.214008,16.658044
pan_019,1552,18.383494,18.776611
pan_020,1554,18.556208,20.935538
pan_021,1556,18.722263,23.011231
pan_022,1558,18.891668,25.000000
pan_023,1560,19.065477,25.000000
pan_024,1562,19.235336,25.000000
pan_025,1564,19.407554,25.000000
pan_026,1566,19.578164,25.000000
pan_027,1568,19.747146,25.000000
pan_028,1570,19.917167,25.000000
pan_029,1572,20.084067,25.000000
pan_030,1574,20.253034,25.000000
pan_031,1576,20.442919,25.000000
walk_end,1700,22.459043,0.000000
