name,frame,sim_time,yaw
static_000,1099,7.042872,0.000000
static_001,1101,7.459492,0.000000
static_002,1103,7.634450,0.000000
static_003,1105,7.811545,0.000000
static_004,1107,7.981991,0.000000
static_005,1109,8.186665,0.000000
static_006,1111,8.357894,0.000000
static_007,1113,8.551514,0.000000
static_008,1115,8.753677,0.000000
static_009,1117,8.921552,0.000000
pan_000,1535,14.971808,-24.790919
pan_001,1537,15.177553,-22.219105
pan_002,1539,15.345130,-20.124390
pan_003,1541,15.514850,-18.002894
pan_004,1543,15.678443,-15.957986
pan_005,1545,15.846307,-13.859679
pan_006,1547,16.018147,-11.711677
pan_007,1549,16.188806,-9.578449
pan_008,1551,16.356499,-7.482288
pan_009,1553,16.528687,-5.329928
pan_010,1555,16.696033,-3.238107
pan_011,1557,16.863265,-1.147711
pan_012,1559,17.086140,1.638228
pan_013,1561,17.288352,4.165874
pan_014,1563,17.491313,6.702893
pan_015,1565,17.660034,8.811898
pan_016,1567,17.831679,10.957461
pan_017,1569,18.005195,13.126420
pan_018,1571,18.175783,15.258771
pan_019,1573,18.347694,17.407659
pan_020,1575,18.520636,19.569426
pan_021,1577,18.724099,22.112722
pan_022,1579,18.891351,24.203361
pan_023,1581,19.063645,25.000000
pan_024,1583,19.235313,25.000000
pan_025,1585,19.431079,25.000000
pan_026,1587,19.606472,25.000000
pan_027,1589,19.784955,25.000000
pan_028,1591,19.961065,25.000000
pan_029,1593,20.160937,25.000000
pan_030,1595,20.333976,25.000000
pan_031,1597,20.504203,25.000000
walk_end,1727,22.518333,0.000000
