frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
241,0.317027569,21.423199,265.526622,1,0,0,0,0,0.000,0,0,0,1953513472
242,0.410830974,93.803405,21.351779,1,0,0,0,0,0.000,0,0,0,1959137280
243,0.431888957,21.057983,93.831965,1,0,0,0,0,0.000,0,0,0,1964584960
244,0.476534646,44.645689,21.069283,1,0,0,0,0,0.000,0,0,0,1967304704
245,0.500111142,23.576496,44.612158,1,0,0,0,0,0.000,0,0,0,1967677440
246,0.517449715,17.338573,23.577717,1,0,0,0,0,0.000,0,0,0,1969029120
247,0.532408016,14.958301,17.325782,1,0,0,0,0,0.000,0,0,0,1973248000
248,0.548383739,15.975723,16.769950,1,0,0,0,0,0.000,0,0,0,1976385536
249,0.561911829,13.528090,17.468215,1,0,0,0,0,0.000,0,0,0,1976946688
250,0.574729255,12.817426,16.787301,1,0,0,0,0,0.000,0,0,0,1977204736
251,0.595643724,20.914469,17.464614,1,0,0,0,0,0.000,0,0,0,1977393152
252,0.611422103,15.778379,17.615799,1,0,0,0,0,0.000,0,0,0,1981571072
253,0.628781726,17.359623,18.275422,1,0,0,0,0,0.000,0,0,0,1981710336
254,0.643971852,15.190126,18.942327,1,0,0,0,0,0.000,0,0,0,1981865984
255,0.659942515,15.970663,16.666958,1,0,0,0,0,0.000,0,0,0,1981878272
256,0.676714025,16.771510,16.667539,1,0,0,0,0,0.000,0,0,0,1981878272
257,0.692725359,16.011334,16.667267,1,0,0,0,0,0.000,0,0,0,1981878272
258,0.709588201,16.862842,16.667538,1,0,0,0,0,0.000,0,0,0,1981878272
259,0.729535950,19.947749,16.667139,1,0,0,0,0,0.000,0,0,0,1981882368
260,0.743394798,13.858848,17.310361,1,0,0,0,0,0.000,0,0,0,1981882368
261,0.759807290,16.412492,16.667248,1,0,0,0,0,0.000,0,0,0,1981882368
262,0.777489680,17.682390,16.678558,1,0,0,0,0,0.000,0,0,0,1981886464
263,0.794876953,17.387273,16.667138,1,0,0,0,0,0.000,0,0,0,1981898752
264,0.812263376,17.386423,16.667568,1,0,0,0,0,0.000,0,0,0,1981902848
265,0.826709507,14.446131,16.666928,1,0,0,0,0,0.000,0,0,0,1981902848
266,0.845945380,19.235873,16.667688,1,0,0,0,0,0.000,0,0,0,1981911040
267,0.861399452,15.454072,16.667078,1,0,0,0,0,0.000,0,0,0,1981943808
268,0.878947218,17.547766,16.666878,1,0,0,0,0,0.000,0,0,0,1981952000
269,0.896403054,17.455836,16.667498,1,0,0,0,0,0.000,0,0,0,1981952000
270,0.910908245,14.505191,16.667368,1,0,0,0,0,0.000,0,0,0,1981964288
271,0.926744265,15.836020,16.667038,1,0,0,0,0,0.000,0,0,0,1981964288
272,0.944112568,17.368303,16.666988,1,0,0,0,0,0.000,0,0,0,1981964288
273,0.962021993,17.909425,16.666978,1,0,0,0,0,0.000,0,0,0,1981964288
274,0.977569807,15.547814,16.667588,1,0,0,0,0,0.000,0,0,0,1981964288
275,0.994760436,17.190629,16.667768,1,0,0,0,0,0.000,0,0,0,1981964288
276,1.011109687,16.349251,16.667378,1,0,0,0,0,0.000,0,0,0,1981968384
277,1.028982681,17.872994,17.200390,1,0,0,0,0,0.000,0,0,0,1981968384
278,1.044274709,15.292028,16.667617,1,0,0,0,0,0.000,0,0,0,1981976576
279,1.062437270,18.162561,16.707579,1,0,0,0,0,0.000,0,0,0,1981976576
280,1.080928767,18.491497,16.667119,1,0,0,0,0,0.000,0,0,0,1981976576
281,1.097938302,17.009535,16.667377,1,0,0,0,0,0.000,0,0,0,1981976576
282,1.115781616,17.843314,16.667618,1,0,0,0,0,0.000,0,0,0,1981976576
283,1.132079805,16.298189,16.672879,1,0,0,0,0,0.000,0,0,0,1981976576
284,1.146305251,14.225446,16.773719,1,0,0,0,0,0.000,0,0,0,1981976576
285,1.165571565,19.266314,16.666958,1,0,0,0,0,0.000,0,0,0,1981976576
286,1.178020082,12.448517,16.667059,1,0,0,0,0,0.000,0,0,0,1981976576
287,1.198369859,20.349777,16.667267,1,0,0,0,0,0.000,0,0,0,1981976576
288,1.216006328,17.636469,18.633911,1,0,0,0,0,0.000,0,0,0,1981976576
289,1.233600946,17.594618,16.667048,1,0,0,0,0,0.000,0,0,0,1981976576
290,1.246045953,12.445007,16.667367,1,0,0,0,0,0.000,0,0,0,1981976576
291,1.262864035,16.818082,16.667589,1,0,0,0,0,0.000,0,0,0,1982066688
292,1.279752807,16.888772,16.666828,1,0,0,0,0,0.000,0,0,0,1982119936
293,1.295785632,16.032825,16.667467,1,0,0,0,0,0.000,0,0,0,1982119936
294,1.312661764,16.876132,16.667239,1,0,0,0,0,0.000,0,0,0,1982119936
295,1.332783906,20.122142,16.666938,1,0,0,0,0,0.000,0,0,0,1983328256
296,1.346864939,14.081033,16.667397,1,0,0,0,0,0.000,0,0,0,1984524288
297,1.367486521,20.621582,18.892266,1,0,0,0,0,0.000,0,0,0,1985142784
298,1.382326530,14.840009,16.667138,1,0,0,0,0,0.000,0,0,0,1985306624
299,1.407112032,24.785502,19.366216,1,0,0,0,0,0.000,0,0,0,1985900544
300,1.419005008,11.892976,16.674528,1,0,0,0,0,0.000,0,0,0,1986641920
301,1.437550637,18.545629,16.667829,1,0,0,0,0,0.000,0,0,0,1987788800
302,1.454292286,16.741649,17.174238,1,0,0,0,0,0.000,0,0,0,1992146944
303,1.469593355,15.301069,16.667608,1,0,0,0,0,0.000,0,0,0,1994100736
304,1.487553140,17.959785,19.547510,1,0,0,0,0,0.000,0,0,0,1994293248
305,1.510915622,23.362482,18.004077,1,0,0,0,0,0.000,0,0,0,1994317824
306,1.526580048,15.664426,17.145978,1,0,0,0,0,0.000,0,0,0,1994326016
307,1.541130501,14.550453,16.690099,1,0,0,0,0,0.000,0,0,0,1994326016
308,1.556273096,15.142595,16.667367,1,0,0,0,0,0.000,0,0,0,1997205504
309,1.574538888,18.265792,16.855822,1,0,0,0,0,0.000,0,0,0,2000244736
310,1.590375658,15.836770,16.667208,1,0,0,0,0,0.000,0,0,0,2002001920
311,1.606873183,16.497525,16.667649,1,0,0,0,0,0.000,0,0,0,2005266432
312,1.632702838,25.829655,19.899426,1,0,0,0,0,0.000,0,0,0,2013884416
313,1.644046761,11.343923,16.667419,1,0,0,0,0,0.000,0,0,0,2013962240
314,1.660988115,16.941354,16.667598,1,0,0,0,0,0.000,0,0,0,2015117312
315,1.676678503,15.690388,16.667037,1,0,0,0,0,0.000,0,0,0,2017726464
316,1.694936695,18.258192,16.667099,1,0,0,0,0,0.000,0,0,0,2017734656
317,1.712190915,17.254220,16.676758,1,0,0,0,0,0.000,0,0,0,2017738752
318,1.726140225,13.949310,16.667367,1,0,0,0,0,0.000,0,0,0,2017988608
319,1.743080498,16.940273,16.667519,1,0,0,0,0,0.000,0,0,0,2020982784
320,1.761538314,18.457816,16.667608,1,0,0,0,0,0.000,0,0,0,2024763392
321,1.779821438,18.283124,17.926235,1,0,0,0,0,0.000,0,0,0,2024841216
322,1.794667596,14.846158,17.130198,1,0,0,0,0,0.000,0,0,0,2024853504
323,1.812997540,18.329944,16.778380,1,0,0,0,0,0.000,0,0,0,2024906752
324,1.832334705,19.337165,16.801731,1,0,0,0,0,0.000,0,0,0,2024910848
325,1.848532973,16.198268,16.667378,1,0,0,0,0,0.000,0,0,0,2024910848
326,1.861598183,13.065210,16.757850,1,0,0,0,0,0.000,0,0,0,2024910848
327,1.880304205,18.706022,16.994595,1,0,0,0,0,0.000,0,0,0,2024910848
328,1.897576696,17.272491,17.007615,1,0,0,0,0,0.000,0,0,0,2024910848
329,1.914919479,17.342783,16.995855,1,0,0,0,0,0.000,0,0,0,2024910848
330,1.931507345,16.587866,16.998866,1,0,0,0,0,0.000,0,0,0,2024910848
331,1.947018819,15.511474,16.999775,1,0,0,0,0,0.000,0,0,0,2024910848
332,1.964320530,17.301711,16.999035,1,0,0,0,0,0.000,0,0,0,2024910848
333,1.982660334,18.339804,17.001495,1,0,0,0,0,0.000,0,0,0,2024910848
334,1.999653439,16.993105,17.006815,1,0,0,0,0,0.000,0,0,0,2024910848
335,2.014504358,14.850919,16.666987,1,0,0,0,0,0.000,0,0,0,2024910848
336,2.031719027,17.214669,16.667019,1,0,0,0,0,0.000,0,0,0,2024910848
337,2.047640529,15.921502,16.667058,1,0,0,0,0,0.000,0,0,0,2022813696
338,2.065311109,17.670580,16.667067,1,0,0,0,0,0.000,0,0,0,2022813696
339,2.081356554,16.045445,16.667699,1,0,0,0,0,0.000,0,0,0,2021765120
340,2.100394013,19.037459,16.667338,1,0,0,0,0,0.000,0,0,0,2019667968
341,2.115153930,14.759917,16.667627,1,0,0,0,0,0.000,0,0,0,2019667968
342,2.131651014,16.497084,16.666909,1,0,0,0,0,0.000,0,0,0,2019667968
343,2.148088017,16.437003,16.667038,1,0,0,0,0,0.000,0,0,0,2019667968
344,2.164294825,16.206808,16.667307,1,0,0,0,0,0.000,0,0,0,2019667968
345,2.181522265,17.227440,16.667139,1,0,0,0,0,0.000,0,0,0,2019667968
346,2.200187416,18.665151,17.038565,1,0,0,0,0,0.000,0,0,0,2019667968
347,2.222143538,21.956122,17.307912,1,0,0,0,0,0.000,0,0,0,2019667968
348,2.234438341,12.294803,16.694549,1,0,0,0,0,0.000,0,0,0,2019667968
349,2.250948406,16.510065,17.192979,1,0,0,0,0,0.000,0,0,0,2019667968
350,2.269798821,18.850415,16.690319,1,0,0,0,0,0.000,0,0,0,2019680256
351,2.285225492,15.426671,16.666818,1,0,0,0,0,0.000,0,0,0,2019680256
352,2.301338498,16.113006,18.061938,2,0,0,0,0,0.000,0,0,0,2019680256
353,2.318629600,17.291102,16.667507,2,0,0,0,0,0.000,0,0,0,2019680256
354,2.334103252,15.473652,16.667158,2,0,0,0,0,0.000,0,0,0,2019680256
355,2.354987931,20.884679,16.667189,2,2,2,1,1,156.000,1,0,0,2019680256
356,2.369312348,14.324417,16.811380,2,2,2,1,1,156.000,1,0,0,2019680256
357,2.386286523,16.974175,16.990355,2,2,2,1,1,156.000,1,0,0,2020728832
358,2.402052542,15.766019,16.667358,2,2,2,1,1,156.000,1,0,0,2021781504
359,2.418844792,16.792250,16.667349,2,2,2,1,1,156.000,1,0,0,2022834176
360,2.435976500,17.131708,16.667127,2,2,2,1,1,156.000,1,0,0,2023882752
361,2.452263640,16.287140,16.667318,2,2,2,1,1,156.000,1,0,0,2024935424
362,2.471084544,18.820904,17.658810,2,2,2,1,1,156.000,1,0,0,2024935424
363,2.490043422,18.958878,18.205141,2,2,2,1,1,156.000,1,0,0,2024939520
364,2.507342403,17.298981,16.676428,2,2,2,1,1,156.000,1,0,0,2024939520
365,2.521578978,14.236575,16.667547,2,2,2,1,1,156.000,1,0,0,2024939520
366,2.541983997,20.405019,20.444240,2,2,2,1,1,156.000,1,0,0,2024939520
367,2.561356523,19.372526,16.667637,2,2,2,1,1,156.000,1,0,0,2024939520
368,2.577182593,15.826070,16.933884,2,2,2,1,1,156.000,1,0,0,2024939520
369,2.592515282,15.332689,16.667298,2,2,2,1,1,156.000,1,0,0,2024939520
370,2.611009840,18.494558,16.667549,3,4,4,1,3,296.000,3,0,0,2025005056
371,2.630588100,19.578260,16.955554,3,4,4,1,3,296.000,3,0,0,2025005056
372,2.642493845,11.905745,16.667797,3,4,4,1,3,296.000,3,0,0,2025005056
373,2.663526097,21.032252,17.010086,3,4,4,1,3,296.000,3,0,0,2025005056
374,2.679846697,16.320600,16.683918,3,4,4,1,3,296.000,3,0,0,2025005056
375,2.695782540,15.935843,17.631338,3,4,4,1,3,296.000,3,0,0,2025005056
376,2.710709010,14.926470,16.667619,3,4,4,1,3,296.000,3,0,0,2025005056
377,2.726932099,16.223089,16.798021,3,4,4,1,3,296.000,3,0,0,2025005056
378,2.745481797,18.549698,16.667188,3,4,4,1,3,296.000,3,0,0,2025005056
379,2.761212296,15.730499,16.693118,3,4,4,1,3,296.000,3,0,0,2025005056
380,2.777085767,15.873471,16.690419,3,4,4,1,3,296.000,3,0,0,2025005056
381,2.793880267,16.794500,16.819191,3,4,4,1,3,296.000,3,0,0,2025005056
382,2.811780291,17.900024,18.654920,3,4,4,1,3,296.000,3,0,0,2025005056
383,2.828797157,17.016866,16.735350,3,4,4,1,3,296.000,3,0,0,2025005056
384,2.848049320,19.252163,16.666958,3,4,4,1,3,296.000,3,0,0,2025005056
385,2.862537992,14.488672,16.667217,3,4,4,1,3,296.000,3,0,0,2025005056
