frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
773,0.229418315,16.451753,206.912410,1,0,0,0,0,0.000,0,0,0,2920771584
774,0.245038320,15.620005,16.521074,1,0,0,0,0,0.000,0,0,0,2921226240
775,0.260614012,15.575692,15.611064,1,0,0,0,0,0.000,0,0,0,2921701376
776,0.276799969,16.185957,15.527782,1,0,0,0,0,0.000,0,0,0,2922770432
777,0.292025364,15.225395,16.169037,1,0,0,0,0,0.000,0,0,0,2923024384
778,0.308254352,16.228988,15.213425,1,0,0,0,0,0.000,0,0,0,2923495424
779,0.322415184,14.160832,16.557864,1,0,0,0,0,0.000,0,0,0,2923937792
780,0.337086208,14.671024,13.941268,1,0,0,0,0,0.000,0,0,0,2924158976
781,0.351195849,14.109641,14.758565,1,0,0,0,0,0.000,0,0,0,2924417024
782,0.367133050,15.937201,14.078010,1,0,0,0,0,0.000,0,0,0,2924552192
783,0.382985479,15.852429,15.937312,1,0,0,0,0,0.000,0,0,0,2924650496
784,0.396215091,13.229612,15.835739,1,0,0,0,0,0.000,0,0,0,2924875776
785,0.410107997,13.892906,13.182960,1,0,0,0,0,0.000,0,0,0,2924953600
786,0.423238996,13.130999,13.909017,1,0,0,0,0,0.000,0,0,0,2924990464
787,0.437141553,13.902557,13.289022,1,0,0,0,0,0.000,0,0,0,2925043712
788,0.450216521,13.074968,13.875906,1,0,0,0,0,0.000,0,0,0,2925088768
789,0.465897676,15.681155,13.004127,1,0,0,0,0,0.000,0,0,0,2925125632
790,0.480528789,14.631113,15.710476,1,0,0,0,0,0.000,0,0,0,2925211648
791,0.494537227,14.008438,14.556210,1,0,0,0,0,0.000,0,0,0,2925240320
792,0.508933294,14.396067,14.018059,1,0,0,0,0,0.000,0,0,0,2925314048
793,0.521578513,12.645219,14.481900,1,0,0,0,0,0.000,0,0,0,2925359104
794,0.534093839,12.515326,12.503605,1,0,0,0,0,0.000,0,0,0,2925420544
795,0.546680376,12.586537,12.576258,1,0,0,0,0,0.000,0,0,0,2925498368
796,0.559609181,12.928805,12.527045,1,0,0,0,0,0.000,0,0,0,2925514752
797,0.572931675,13.322494,12.954496,1,0,0,0,0,0.000,0,0,0,2925580288
798,0.586920273,13.988598,13.367125,1,0,0,0,0,0.000,0,0,0,2925678592
799,0.600468512,13.548239,13.992538,1,0,0,0,0,0.000,0,0,0,2925723648
