frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
886,0.178115906,178.115906,7.695340,0,0.000,0.000,88.000,15,15,2939682816,100.000,60,0.000,2
887,0.192795200,14.679294,170.612221,0,0.000,0.000,88.000,15,15,2941472768,100.000,60,0.000,2
888,0.210086021,17.290821,14.652262,0,0.000,0.000,90.000,15,15,2942095360,100.000,60,0.000,2
889,0.222237268,12.151247,17.279812,0,0.000,0.000,90.000,15,15,2943275008,100.000,60,0.000,2
890,0.237114756,14.877488,12.226939,0,0.000,0.000,90.000,15,15,2943565824,100.000,60,0.000,2
891,0.251956243,14.841487,14.873568,0,0.000,0.000,90.000,15,15,2944000000,100.000,60,0.000,2
892,0.265388159,13.431916,14.860656,0,0.000,0.000,90.000,15,15,2944552960,100.000,60,0.000,2
893,0.277543368,12.155209,13.411307,0,0.000,0.000,90.000,15,15,2945302528,100.000,60,0.000,2
894,0.290089524,12.546156,12.172768,0,0.000,0.000,90.000,15,15,2945466368,100.000,60,0.000,2
895,0.301480905,11.391381,12.542997,0,0.000,0.000,90.000,15,15,2945552384,100.000,60,0.000,2
896,0.313084471,11.603566,11.231087,0,0.000,0.000,90.000,15,15,2945658880,100.000,60,0.000,2
897,0.325039534,11.955063,11.546084,0,0.000,0.000,90.000,15,15,2945732608,100.000,60,0.000,2
898,0.337220163,12.180629,11.943233,0,0.000,0.000,90.000,15,15,2945810432,100.000,60,0.000,2
899,0.348356728,11.136565,12.183039,0,0.000,0.000,90.000,15,15,2945863680,100.000,60,0.000,2
900,0.359728929,11.372201,11.107645,0,0.000,0.000,90.000,15,15,2945888256,100.000,60,0.000,2
901,0.370435574,10.706645,11.431172,0,0.000,0.000,90.000,15,15,2945957888,100.000,60,0.000,2
902,0.380746082,10.310508,10.678505,0,0.000,0.000,90.000,15,15,2945994752,100.000,60,0.000,2
903,0.391830837,11.084755,10.311927,0,0.000,0.000,90.000,15,15,2946007040,100.000,60,0.000,2
904,0.402811819,10.980982,11.074804,0,0.000,0.000,90.000,15,15,2946064384,100.000,60,0.000,2
905,0.414629049,11.817230,10.996873,0,0.000,0.000,90.000,15,15,2946113536,100.000,60,0.000,2
906,0.425689523,11.060474,12.170788,0,0.000,0.000,90.000,15,15,2946125824,100.000,60,0.000,2
907,0.436202814,10.513291,11.046963,0,0.000,0.000,90.000,15,15,2946228224,100.000,60,0.000,2
908,0.446880080,10.677266,10.365539,0,0.000,0.000,90.000,15,15,2946265088,100.000,60,0.000,2
909,0.458482945,11.602865,10.666125,0,0.000,0.000,90.000,15,15,2946297856,100.000,60,0.000,2
910,0.470154763,11.671818,11.574075,0,0.000,0.000,90.000,15,15,2946351104,100.000,60,0.000,2
911,0.481835390,11.680627,11.770310,0,0.000,0.000,90.000,15,15,2946396160,100.000,60,0.000,2
912,0.493211611,11.376221,11.669257,0,0.000,0.000,90.000,15,15,2946428928,100.000,60,0.000,2
913,0.504571352,11.359741,11.342290,0,0.000,0.000,90.000,15,15,2946490368,100.000,60,0.000,2
914,0.515529712,10.958360,11.360360,0,0.000,0.000,90.000,15,15,2946519040,100.000,60,0.000,2
915,0.525970093,10.440381,10.894090,0,0.000,0.000,90.000,15,15,2946584576,100.000,60,0.000,2
916,0.535326679,9.356586,10.508702,0,0.000,0.000,90.000,15,15,2946650112,100.000,60,0.000,2
917,0.544788058,9.461379,9.304975,0,0.000,0.000,90.000,15,15,2946654208,100.000,60,0.000,2
918,0.559333398,14.545340,9.493529,0,0.000,0.000,90.000,15,15,2946707456,100.000,60,0.000,2
919,0.572714133,13.380735,14.540901,0,0.000,0.000,90.000,15,15,2946752512,100.000,60,0.000,2
920,0.583646604,10.932471,13.400275,0,0.000,0.000,90.000,15,15,2946760704,100.000,60,0.000,2
921,0.593488931,9.842327,10.903000,0,0.000,0.000,90.000,15,15,2946809856,100.000,60,0.000,2
922,0.603863180,10.374249,9.790776,0,0.000,0.000,90.000,15,15,2946863104,100.000,60,0.000,2
923,0.613514022,9.650842,10.430590,0,0.000,0.000,90.000,15,15,2946891776,100.000,60,0.000,2
924,0.622093251,8.579229,9.700044,0,0.000,0.000,90.000,15,15,2946953216,100.000,60,0.000,2
925,0.631981099,9.887848,8.567068,0,0.000,0.000,90.000,15,15,2946969600,100.000,60,0.000,2
926,0.641731785,9.750686,9.863368,0,0.000,0.000,90.000,15,15,2947014656,100.000,60,0.000,2
927,0.651271654,9.539869,9.792566,0,0.000,0.000,90.000,15,15,2947022848,100.000,60,0.000,2
928,0.660173721,8.902067,9.304085,0,0.000,0.000,90.000,15,15,2947076096,100.000,60,0.000,2
929,0.669573537,9.399816,8.892896,0,0.000,0.000,90.000,15,15,2947088384,100.000,60,0.000,2
930,0.678383142,8.809605,9.361537,0,0.000,0.000,90.000,15,15,2947137536,100.000,60,0.000,2
931,0.687424131,9.040989,8.806193,0,0.000,0.000,90.000,15,15,2947141632,100.000,60,0.000,2
932,0.696039511,8.615380,9.096931,0,0.000,0.000,90.000,15,15,2947198976,100.000,60,0.000,2
933,0.704496267,8.456756,8.531208,0,0.000,0.000,90.000,15,15,2947207168,100.000,60,0.000,2
934,0.713212060,8.715793,8.472997,0,0.000,0.000,90.000,15,15,2947264512,100.000,60,0.000,2
935,0.721504192,8.292132,8.695841,0,0.000,0.000,90.000,15,15,2947272704,100.000,60,0.000,2
936,0.730155523,8.651331,8.302094,0,0.000,0.000,90.000,15,15,2947325952,100.000,60,0.000,2
937,0.738419035,8.263512,8.667180,0,0.000,0.000,90.000,15,15,2947338240,100.000,60,0.000,2
938,0.746923123,8.504088,8.410216,0,0.000,0.000,90.000,15,15,2947395584,100.000,60,0.000,2
939,0.756811941,9.888818,8.548948,0,0.000,0.000,90.000,15,15,2947399680,100.000,60,0.000,2
