id,title,canonical_filename,manifest_visual_status,website_use,migration_status
01,Core Engine Command Center,biella_engine_ui_system_poster.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
02,AI Agent Orchestration & Workflow,biella_engine_ai_orchestration_dashboard.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
03,"3D Editor, Viewports & Scene Tools",biella_engine_editor_ui_kit_sheet.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
04,"Asset Pipeline, Materials & Animation",biella_engine_asset_pipeline_dashboard.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
05,"Rendering, Lighting, Shaders & VFX",neon_rendering_and_vfx_control_sheet.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
06,"Multiplayer, Networking & Live Ops",neon_multiplayer_live_ops_dashboard.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
07,"NPC AI, Behavior & Simulation",neon_npc_ai_simulation_dashboard.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
08,"Worldbuilding, Missions & Progression",neon_worldbuilding_missions_progression_dashboard.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
09,"HUD, UX, Typography & Icons",biella_engine_hud_ux_system_design_sheet.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
10,"Devices, Props, Drones & Hardware",futuristic_game_engine_hardware_catalog_sheet.png,APPROVED_REFERENCE,reference,SOURCE_BYTES_UNRESOLVED
11,Unified AI Tool Hub,biella_unified_ai_tool_hub_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
12,Google Drive Task Archive,biella_google_drive_task_archive_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
13,NVIDIA Compute Control,biella_nvidia_compute_control_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
14,OpenAI Developers Workflow,biella_openai_developers_workflow_transparent.png,VISUAL_LOCK_FINAL,candidate,SOURCE_BYTES_UNRESOLVED
